Name,TaxID,Lineage,Count,Proportion_All(%),Proportion_Classified(%)
Aalivirus apekidu,2169685,Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Aalivirus,3,0.00130568,0.00133567
Aarhusvirus katbat,2732763,Viruses;Uroviricota;Caudoviricetes;Autographivirales;Autotranscriptaviridae;Aarhusvirus,4,0.00174091,0.0017809
Aarhusvirus luksen,2732764,Viruses;Uroviricota;Caudoviricetes;Autographivirales;Autotranscriptaviridae;Aarhusvirus,6,0.00261136,0.00267134
Aarhusvirus mysterion,2732765,Viruses;Uroviricota;Caudoviricetes;Autographivirales;Autotranscriptaviridae;Aarhusvirus,1,0.000435227,0.000445224
Abaiavirus POA1180,3059692,Viruses;Uroviricota;Caudoviricetes;;;Abaiavirus,78,0.0339477,0.0347275
Abalone shriveling syndrome-associated virus,491893,Viruses;Uroviricota;Caudoviricetes;;;,35,0.015233,0.0155828
Abbeymikolonvirus abbeymikolon,2734213,Viruses;Uroviricota;Caudoviricetes;;;Abbeymikolonvirus,47,0.0204557,0.0209255
Abelson murine leukemia virus,11788,Viruses;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Gammaretrovirus,3,0.00130568,0.00133567
Abidjanvirus Ab18,3425956,Viruses;Uroviricota;Caudoviricetes;;Mesyanzhinovviridae;Abidjanvirus,19,0.00826932,0.00845926
Abidjanvirus Ab19,3425957,Viruses;Uroviricota;Caudoviricetes;;Mesyanzhinovviridae;Abidjanvirus,16,0.00696364,0.00712359
Abidjanvirus PaMx11,3425958,Viruses;Uroviricota;Caudoviricetes;;Mesyanzhinovviridae;Abidjanvirus,93,0.0404761,0.0414058
Abidjanvirus ZC01,2955228,Viruses;Uroviricota;Caudoviricetes;;Mesyanzhinovviridae;Abidjanvirus,15,0.00652841,0.00667836
Abisko virus,2025595,Viruses;;;;;,1,0.000435227,0.000445224
Abouovirus abouo,1984774,Viruses;Uroviricota;Caudoviricetes;;;Abouovirus,4,0.00174091,0.0017809
Acadevirus PM116,2733576,Viruses;Uroviricota;Caudoviricetes;Autographivirales;Autosignataviridae;Acadevirus,1,0.000435227,0.000445224
Acadevirus PM85,2733574,Viruses;Uroviricota;Caudoviricetes;Autographivirales;Autosignataviridae;Acadevirus,2,0.000870455,0.000890448
Acadevirus PM93,2733575,Viruses;Uroviricota;Caudoviricetes;Autographivirales;Autosignataviridae;Acadevirus,1,0.000435227,0.000445224
Acadevirus Pm5460,2733577,Viruses;Uroviricota;Caudoviricetes;Autographivirales;Autosignataviridae;Acadevirus,2,0.000870455,0.000890448
Acadianvirus acadian,1982901,Viruses;Uroviricota;Caudoviricetes;;;Acadianvirus,60,0.0261136,0.0267134
Acadianvirus baee,1982902,Viruses;Uroviricota;Caudoviricetes;;;Acadianvirus,118,0.0513568,0.0525364
Acadianvirus reprobate,1982903,Viruses;Uroviricota;Caudoviricetes;;;Acadianvirus,144,0.0626727,0.0641123
Acadianvirus serendipitous,2955229,Viruses;Uroviricota;Caudoviricetes;;;Acadianvirus,163,0.070942,0.0725715
Acajnonavirus acj9,2843630,Viruses;Uroviricota;Caudoviricetes;Pantevenvirales;Straboviridae;Acajnonavirus,59,0.0256784,0.0262682
Acamarivirus solis,3425973,Viruses;Cressdnaviricota;Arfiviricetes;Saturnivirales;Mahapunaviridae;Acamarivirus,1,0.000435227,0.000445224
Acanthamoeba castellanii medusavirus,2080449,Viruses;;;;;,2037,0.886558,0.906921
Acanvirus Rheph16,3059694,Viruses;Uroviricota;Caudoviricetes;;Schitoviridae;Acanvirus,2,0.000870455,0.000890448
Acanvirus Rheph22,3059695,Viruses;Uroviricota;Caudoviricetes;;Schitoviridae;Acanvirus,1,0.000435227,0.000445224
Acanvirus Y26,3059696,Viruses;Uroviricota;Caudoviricetes;;Schitoviridae;Acanvirus,1,0.000435227,0.000445224
Acanvirus Y38,3059697,Viruses;Uroviricota;Caudoviricetes;;Schitoviridae;Acanvirus,2,0.000870455,0.000890448
Aceathervirus RM10,3425976,Viruses;Uroviricota;Caudoviricetes;;;Aceathervirus,8,0.00348182,0.00356179
Achromobacter phage JWF,1589748,Viruses;Uroviricota;Caudoviricetes;;;,458,0.199334,0.203913
Achromobacter phage phiAxp-1,1610509,Viruses;Uroviricota;Caudoviricetes;;;,25,0.0108807,0.0111306
Acidianus tailed spindle virus,1797140,Viruses;;;;Bicaudaviridae;,19,0.00826932,0.00845926
Acinetobacter phage Ac42,762660,Viruses;Uroviricota;Caudoviricetes;Pantevenvirales;Straboviridae;,111,0.0483102,0.0494199
Acinetobacter phage YMC13/03/R2096,1560342,Viruses;Uroviricota;Caudoviricetes;;;,24,0.0104455,0.0106854
Acinetobacter phage phiAC-1,1229760,Viruses;Uroviricota;Caudoviricetes;;;,6,0.00261136,0.00267134
Acinetobacter phage vB_AbaM_Acibel004,1481186,Viruses;Uroviricota;Caudoviricetes;;;Saclayvirus,37,0.0161034,0.0164733
Acinetobacter phage vB_AbaM_phiAbaA1,1605379,Viruses;Uroviricota;Caudoviricetes;;;Saclayvirus,14,0.00609318,0.00623314
Acinetobacter phage vB_AbaS_TRS1,1852629,Viruses;Uroviricota;Caudoviricetes;;;,9,0.00391705,0.00400702
Acionnavirus monteraybay,2734078,Viruses;Uroviricota;Caudoviricetes;Pantevenvirales;Kyanoviridae;Acionnavirus,24,0.0104455,0.0106854
Acridvirus hangzhouense,3059698,Viruses;Negarnaviricota;Monjiviricetes;Mononegavirales;Lispiviridae;Acridvirus,1,0.000435227,0.000445224
Actinidia cytorhabdovirus JS27,2839003,Viruses;Negarnaviricota;Monjiviricetes;Mononegavirales;Rhabdoviridae;,1,0.000435227,0.000445224
Actinovirus bernense,3051403,Viruses;Negarnaviricota;Bunyaviricetes;Elliovirales;Hantaviridae;Actinovirus,5,0.00217614,0.00222612
Actinovirus halieutaeae,3051404,Viruses;Negarnaviricota;Bunyaviricetes;Elliovirales;Hantaviridae;Actinovirus,2,0.000870455,0.000890448
