LEVEL	NAME	TAXID	READ_COUNT	TOTAL_BP_MAPPED	ANI_CI95	COVERED_SIG_LEN	BEST_SIG_COV	DEPTH	REL_ABUNDANCE	PARENT_NAME	PARENT_TAXID	TOTAL_READ_LEN	READ_IDT	TOTAL_BP_MISMATCH	TOTAL_BP_INDEL	ANI_NAIVE	ANI_CI95_LH	SIG_COV	MAPPED_SIG_LEN	TOTAL_SIG_LEN	COVERED_SIG_DEPTH	COVERED_MAPPED_SIG_COV	ZSCORE	GENOMIC_CONTENT_EST	ABUNDANCE	REL_ABUNDANCE_DEPTH	REL_ABUNDANCE_GC	SIG_LEVEL	GENOME_COUNT	GENOME_SIZE	NOTE
superkingdom	Bacteria	2	185440	91757872	0.989794	30844094	0.524479	52.090469	1.000000	root	1	683156442	0.131230	2106975	864766	0.989945	[0.987767-0.991822]	0.015519	32893860	1987504999	2.974893	0.937685	0.952183	0.000000	52.090469	1.000000		species	1130	0	
phylum	Pseudomonadota	1224	110090	49840927	0.989794	15493556	0.353571	28.898818	0.554781	Bacteria	2	405645887	0.119896	1205451	455430	0.989945	[0.987767-0.991822]	0.014600	16427111	1061222742	3.216881	0.943170	1.352140	0.000000	28.898818	0.554781		species	666	0	
phylum	Bacillota	1239	25150	19368512	0.987359	3490764	0.524479	11.231086	0.215607	Bacteria	2	90823562	0.207858	490084	209809	0.987510	[0.985029-0.989688]	0.013127	3779868	265924575	5.548502	0.923515	0.952183	0.000000	11.231086	0.215607		species	152	0	
phylum	Actinomycetota	201174	29825	10058831	0.989669	5331147	0.300710	6.358432	0.122065	Bacteria	2	111647346	0.088208	210669	96386	0.990008	[0.986849-0.992489]	0.018610	5556030	286466068	1.886804	0.959525	1.524945	0.000000	6.358432	0.122065		species	162	0	
phylum	Bacteroidota	976	9919	5911217	0.988957	2662385	0.293497	2.781215	0.053392	Bacteria	2	37201153	0.156064	105465	49675	0.989555	[0.985207-0.992708]	0.015892	2895024	167531306	2.220271	0.919642	1.551513	0.000000	2.781215	0.053392		species	71	0	
phylum	Thermodesulfobacteriota	200940	2642	2551633	0.987419	1254663	0.106040	0.754412	0.014483	Bacteria	2	9759998	0.257482	38612	20743	0.987508	[0.985461-0.989377]	0.015590	1386866	80479159	2.033720	0.904675	2.903523	0.000000	0.754412	0.014483		species	27	0	
phylum	Chlorobiota	1090	2271	715956	0.987935	279305	0.292582	0.749989	0.014398	Bacteria	2	8209699	0.086153	8665	5171	0.987897	[0.987187-0.988683]	0.292582	281297	954622	2.563348	0.992919	1.554943	0.000000	0.749989	0.014398		species	1	0	
phylum	Campylobacterota	29547	1402	413171	0.988450	261626	0.145268	0.439905	0.008445	Bacteria	2	4990903	0.081516	6334	4366	0.988656	[0.985984-0.990915]	0.019558	268504	13377081	1.579243	0.974384	2.425660	0.000000	0.439905	0.008445		species	14	0	
phylum	Chloroflexota	200795	592	831062	0.986620	657053	0.270363	0.341965	0.006565	Bacteria	2	2145499	0.382147	11167	6666	0.986563	[0.986085-0.987154]	0.270363	756438	2430258	1.264833	0.868614	1.642779	0.000000	0.341965	0.006565		species	1	0	
phylum	Planctomycetota	203682	1764	1239358	0.986546	766648	0.112712	0.201035	0.003859	Bacteria	2	6216812	0.196336	18772	10345	0.986504	[0.985709-0.987382]	0.021804	837347	35160446	1.616593	0.915568	2.805741	0.000000	0.201035	0.003859		species	6	0	
phylum	Deinococcota	1297	780	329645	0.987091	168236	0.038872	0.140487	0.002697	Bacteria	2	2872450	0.113189	4514	2430	0.987835	[0.982579-0.991603]	0.018154	173522	9266996	1.959420	0.969537	4.972472	0.000000	0.140487	0.002697		species	4	0	
phylum	Myxococcota	2818505	633	255596	0.987757	242769	0.029762	0.062065	0.001191	Bacteria	2	2297881	0.109521	3929	1947	0.988207	[0.984245-0.99127]	0.006040	256049	40192233	1.052836	0.948135	5.709638	0.000000	0.062065	0.001191		species	9	0	
phylum	Fusobacteriota	32066	115	22303	0.984213	20231	0.026113	0.062002	0.001190	Bacteria	2	441047	0.049108	644	160	0.992501	[0.970267-0.998159]	0.004153	21299	4871476	1.102417	0.949857	6.106973	0.000000	0.062002	0.001190		species	9	0	
phylum	Gemmatimonadota	142182	128	87597	0.987441	85203	0.022589	0.023223	0.000446	Bacteria	2	455511	0.190066	1020	609	0.988356	[0.982567-0.992315]	0.022589	93249	3771959	1.028098	0.913715	6.578013	0.000000	0.023223	0.000446		species	1	0	
phylum	Bdellovibrionota	3018035	37	55945	0.984224	54389	0.021849	0.022474	0.000431	Bacteria	2	118321	0.466071	799	525	0.985718	[0.977326-0.991123]	0.021849	66904	2489312	1.028609	0.812941	6.690939	0.000000	0.022474	0.000431		species	1	0	
phylum	Verrucomicrobiota	74201	73	58619	0.986649	58619	0.013232	0.013372	0.000257	Bacteria	2	269627	0.215042	638	391	0.989031	[0.978922-0.994377]	0.006554	73776	8944438	1.000000	0.794554	8.635628	0.000000	0.013372	0.000257		species	2	0	
phylum	Spirochaetota	203691	13	16074	0.969977	16074	0.006434	0.006434	0.000124	Bacteria	2	42417	0.374166	203	110	0.987371	[0.942607-0.997347]	0.006434	19150	2498285	1.000000	0.839373	12.426744	0.000000	0.006434	0.000124		species	1	0	
phylum	Cyanobacteriota	1117	6	1426	0.765764	1426	0.003408	0.003555	0.000068	Bacteria	2	18329	0.077309	9	3	0.993166	[0.531581-0.999947]	0.000741	1426	1924043	1.000000	1.000000	17.099579	0.000000	0.003555	0.000068		species	3	0	
class	Gammaproteobacteria	1236	34113	16443985	0.989049	5412067	0.353571	11.400828	0.218866	Pseudomonadota	1224	125807292	0.127408	415107	145712	0.990152	[0.984134-0.993963]	0.012478	5715790	433740127	3.038393	0.946862	1.352140	0.000000	11.400828	0.218866		species	340	0	
class	Betaproteobacteria	28216	38891	15533581	0.989794	5009875	0.261552	8.799242	0.168922	Pseudomonadota	1224	141769009	0.106619	418332	150017	0.989945	[0.987767-0.991822]	0.017865	5364901	280426890	3.100593	0.933824	1.680277	0.000000	8.799242	0.168922		species	143	0	
class	Alphaproteobacteria	28211	37086	17863361	0.989188	5071614	0.172355	8.698748	0.166993	Pseudomonadota	1224	138069586	0.126685	372012	159701	0.989873	[0.985248-0.993128]	0.014613	5346420	347055725	3.522224	0.948600	2.191339	0.000000	8.698748	0.166993		species	183	0	
class	Bacilli	91061	16839	11135418	0.986691	1504424	0.524479	8.075469	0.155028	Bacillota	1239	60755006	0.178443	294112	120868	0.986889	[0.984036-0.989345]	0.011379	1560122	132215096	7.401782	0.964299	0.952183	0.000000	8.075469	0.155028		species	98	0	
class	Actinomycetes	1760	28659	9195667	0.989669	4861059	0.300710	5.989198	0.114977	Actinomycetota	201174	107302193	0.083842	199279	89488	0.990008	[0.986849-0.992489]	0.018054	5034317	269256857	1.891700	0.965585	1.524945	0.000000	5.989198	0.114977		species	153	0	
class	Clostridia	186801	8066	8055270	0.987359	1931775	0.292070	3.052526	0.058600	Bacillota	1239	29226081	0.269511	178528	86601	0.987510	[0.985029-0.989688]	0.017106	2154596	112932153	4.169880	0.896583	1.556869	0.000000	3.052526	0.058600		species	40	0	
