LEVEL	NAME	TAXID	READ_COUNT	TOTAL_BP_MAPPED	ANI_CI95	COVERED_SIG_LEN	BEST_SIG_COV	DEPTH	REL_ABUNDANCE
superkingdom	Bacteria	2	185440	91757872	0.989794	30844094	0.524479	52.090469	1.000000
phylum	Pseudomonadota	1224	110090	49840927	0.989794	15493556	0.353571	28.898818	0.554781
phylum	Bacillota	1239	25150	19368512	0.987359	3490764	0.524479	11.231086	0.215607
phylum	Actinomycetota	201174	29825	10058831	0.989669	5331147	0.300710	6.358432	0.122065
phylum	Bacteroidota	976	9919	5911217	0.988957	2662385	0.293497	2.781215	0.053392
phylum	Thermodesulfobacteriota	200940	2642	2551633	0.987419	1254663	0.106040	0.754412	0.014483
phylum	Chlorobiota	1090	2271	715956	0.987935	279305	0.292582	0.749989	0.014398
phylum	Campylobacterota	29547	1402	413171	0.988450	261626	0.145268	0.439905	0.008445
phylum	Chloroflexota	200795	592	831062	0.986620	657053	0.270363	0.341965	0.006565
phylum	Planctomycetota	203682	1764	1239358	0.986546	766648	0.112712	0.201035	0.003859
phylum	Deinococcota	1297	780	329645	0.987091	168236	0.038872	0.140487	0.002697
phylum	Myxococcota	2818505	633	255596	0.987757	242769	0.029762	0.062065	0.001191
phylum	Fusobacteriota	32066	115	22303	0.984213	20231	0.026113	0.062002	0.001190
phylum	Gemmatimonadota	142182	128	87597	0.987441	85203	0.022589	0.023223	0.000446
phylum	Bdellovibrionota	3018035	37	55945	0.984224	54389	0.021849	0.022474	0.000431
phylum	Verrucomicrobiota	74201	73	58619	0.986649	58619	0.013232	0.013372	0.000257
phylum	Spirochaetota	203691	13	16074	0.969977	16074	0.006434	0.006434	0.000124
phylum	Cyanobacteriota	1117	6	1426	0.765764	1426	0.003408	0.003555	0.000068
class	Gammaproteobacteria	1236	34113	16443985	0.989049	5412067	0.353571	11.400828	0.218866
class	Betaproteobacteria	28216	38891	15533581	0.989794	5009875	0.261552	8.799242	0.168922
