LEVEL	NAME	TAXID	READ_COUNT	TOTAL_BP_MAPPED	ANI_CI95	COVERED_SIG_LEN	BEST_SIG_COV	DEPTH	REL_ABUNDANCE
superkingdom	Viruses	10239	162074325	20990706328	0.993063	6404418	1.000000	5106172.378572	0.999597
superkingdom	Bacteria	2	34315533	2070722020	0.996994	96174811	1.000000	2024.546159	0.000396
superkingdom	Archaea	2157	751821	50921943	0.987597	1225687	0.202850	33.702597	0.000007
phylum	Lenarviricota	2732407	119628386	16108522575	0.993063	1172490	1.000000	4179199.290133	0.818131
phylum	Kitrinoviricota	2732406	39680333	4572652788	0.991902	560088	1.000000	889870.543588	0.174203
phylum	Pisuviricota	2732408	554931	73347528	0.990550	503178	1.000000	11054.627820	0.002164
phylum	Shahe picorna-like virus 12 - no_g_rank - no_f_rank - no_o_rank - no_c_rank - no_p_rank	Shahe picorna-like virus 12 - no_g_rank - no_f_rank - no_o_rank - no_c_rank - no_p_rank	581235	55371612	0.935390	2508	0.323571	7143.802348	0.001398
phylum	Hubei picorna-like virus 61 - no_g_rank - no_f_rank - no_o_rank - no_c_rank - no_p_rank	Hubei picorna-like virus 61 - no_g_rank - no_f_rank - no_o_rank - no_c_rank - no_p_rank	420023	58971497	0.948643	8481	1.000000	6953.365995	0.001361
phylum	Uroviricota	2731618	840021	75450854	0.990930	3790749	1.000000	3133.392839	0.000613
phylum	Wuhan insect virus 23 - no_g_rank - no_f_rank - no_o_rank - no_c_rank - no_p_rank	Wuhan insect virus 23 - no_g_rank - no_f_rank - no_o_rank - no_c_rank - no_p_rank	56378	7843726	0.966514	2803	0.997509	2791.361566	0.000546
phylum	Wenzhou picorna-like virus 47 - no_g_rank - no_f_rank - no_o_rank - no_c_rank - no_p_rank	Wenzhou picorna-like virus 47 - no_g_rank - no_f_rank - no_o_rank - no_c_rank - no_p_rank	109734	14950008	0.937711	8084	0.999629	1848.646964	0.000362
phylum	Pseudomonadota	1224	8293515	640591301	0.993126	44313559	0.677895	1250.707304	0.000245
phylum	Changjiang zhaovirus-like virus 1 - no_g_rank - no_f_rank - no_o_rank - no_c_rank - no_p_rank	Changjiang zhaovirus-like virus 1 - no_g_rank - no_f_rank - no_o_rank - no_c_rank - no_p_rank	47067	5867487	0.919390	6322	0.944569	876.660242	0.000172
phylum	Albetovirus - no_f_rank - no_o_rank - no_c_rank - no_p_rank	Albetovirus - no_f_rank - no_o_rank - no_c_rank - no_p_rank	5518	776739	0.977666	2423	0.992629	636.149877	0.000125
phylum	Ubei picorna-like virus 3 - no_g_rank - no_f_rank - no_o_rank - no_c_rank - no_p_rank	Ubei picorna-like virus 3 - no_g_rank - no_f_rank - no_o_rank - no_c_rank - no_p_rank	37153	5029492	0.960009	8678	0.999885	579.501325	0.000113
phylum	Duplornaviricota	2732405	41531	4473894	0.992712	61807	0.989258	316.632703	0.000062
phylum	Hubei picorna-like virus 62 - no_g_rank - no_f_rank - no_o_rank - no_c_rank - no_p_rank	Hubei picorna-like virus 62 - no_g_rank - no_f_rank - no_o_rank - no_c_rank - no_p_rank	13739	1404060	0.927373	4214	0.858248	285.959267	0.000056
phylum	Hubei picorna-like virus 63 - no_g_rank - no_f_rank - no_o_rank - no_c_rank - no_p_rank	Hubei picorna-like virus 63 - no_g_rank - no_f_rank - no_o_rank - no_c_rank - no_p_rank	13280	1193864	0.931228	4232	0.852538	240.504432	0.000047
phylum	Bacillota	1239	2512750	178244451	0.993931	15385117	0.242985	189.180819	0.000037
phylum	Bacteroidota	976	7720887	455089314	0.996994	20165385	0.816509	178.570892	0.000035
phylum	Campylobacterota	29547	3559906	160825025	0.986847	5868941	0.555583	152.531255	0.000030
phylum	Virtovirus - no_f_rank - no_o_rank - no_c_rank - no_p_rank	Virtovirus - no_f_rank - no_o_rank - no_c_rank - no_p_rank	1139	150926	0.976110	1206	0.992593	124.218930	0.000024
phylum	Lucerne transient streak virus satellite RNA - no_g_rank - no_f_rank - no_o_rank - no_c_rank - no_p_rank	Lucerne transient streak virus satellite RNA - no_g_rank - no_f_rank - no_o_rank - no_c_rank - no_p_rank	335	36399	0.937100	291	0.898148	112.342593	0.000022
phylum	Hubei tombus-like virus 19 - no_g_rank - no_f_rank - no_o_rank - no_c_rank - no_p_rank	Hubei tombus-like virus 19 - no_g_rank - no_f_rank - no_o_rank - no_c_rank - no_p_rank	3897	540565	0.942218	4824	0.990961	111.044577	0.000022
phylum	Spirochaetota	203691	6029753	264266774	0.986444	3185016	0.305357	91.260435	0.000018
phylum	Hubei sobemo-like virus 1 - no_g_rank - no_f_rank - no_o_rank - no_c_rank - no_p_rank	Hubei sobemo-like virus 1 - no_g_rank - no_f_rank - no_o_rank - no_c_rank - no_p_rank	2471	332564	0.913147	1872	0.478528	85.011247	0.000017
phylum	Cucumber mosaic virus satellite RNA - no_g_rank - no_f_rank - no_o_rank - no_c_rank - no_p_rank	Cucumber mosaic virus satellite RNA - no_g_rank - no_f_rank - no_o_rank - no_c_rank - no_p_rank	215	26294	0.936471	324	0.964286	78.255952	0.000015
phylum	Tomato bushy stunt virus satellite RNA - no_g_rank - no_f_rank - no_o_rank - no_c_rank - no_p_rank	Tomato bushy stunt virus satellite RNA - no_g_rank - no_f_rank - no_o_rank - no_c_rank - no_p_rank	368	52254	0.941465	787	0.958587	63.646772	0.000012
phylum	Hubei tombus-like virus 2 - no_g_rank - no_f_rank - no_o_rank - no_c_rank - no_p_rank	Hubei tombus-like virus 2 - no_g_rank - no_f_rank - no_o_rank - no_c_rank - no_p_rank	2559	309083	0.951001	5369	0.982973	56.587880	0.000011
phylum	Actinomycetota	201174	940002	70484956	0.989538	1844797	0.217515	50.941971	0.000010
phylum	Cossaviricota	2732415	1276	168425	0.971048	7220	0.992765	43.733662	0.000009
phylum	Changjiang tombus-like virus 11 - no_g_rank - no_f_rank - no_o_rank - no_c_rank - no_p_rank	Changjiang tombus-like virus 11 - no_g_rank - no_f_rank - no_o_rank - no_c_rank - no_p_rank	1169	155290	0.932056	2432	0.674245	43.052398	0.000008
phylum	Negarnaviricota	2497569	3390	427049	0.991293	50540	0.936228	35.487532	0.000007
phylum	Sclerophthora macrospora virus A - no_g_rank - no_f_rank - no_o_rank - no_c_rank - no_p_rank	Sclerophthora macrospora virus A - no_g_rank - no_f_rank - no_o_rank - no_c_rank - no_p_rank	1281	168734	0.957119	5806	0.990785	28.794198	0.000006
