Contig_ID	Length(bp)	Mapped_Reads	RPM	RPKM
contig_1	3588	10	60.6748	16.9105
contig_10	6363	15	91.0122	14.3034
contig_100	6260	91	552.1409	88.2014
contig_1000	5397	8	48.5399	8.9939
contig_1001	3711	16	97.0797	26.1600
contig_1002	11327	19	115.2822	10.1776
contig_1003	7356	21	127.4171	17.3215
contig_1004	5290	5	30.3374	5.7349
contig_1005	5030	6	36.4049	7.2376
contig_1006	16958	74	448.9937	26.4768
contig_1007	9219	65	394.3864	42.7797
contig_1008	3157	4	24.2699	7.6877
contig_1009	4684	20	121.3497	25.9073
contig_101	18459	56	339.7790	18.4072
contig_1010	19789	48	291.2392	14.7172
contig_1011	11977	20	121.3497	10.1319
contig_1012	3523	3	18.2024	5.1667
contig_1013	8125	9	54.6073	6.7209
contig_1014	3633	7	42.4724	11.6907
contig_1015	5284	6	36.4049	6.8896
contig_1016	9233	66	400.4538	43.3720
contig_1017	7919	15	91.0122	11.4929
contig_1018	8704	16	97.0797	11.1535
contig_1019	4912	7	42.4724	8.6467
contig_102	3392	5	30.3374	8.9438
contig_1020	5950	50	303.3741	50.9872
contig_1021	3526	6	36.4049	10.3247
contig_1022	43194	85	515.7360	11.9400
contig_1023	6797	15	91.0122	13.3901
contig_1024	5086	4	24.2699	4.7719
contig_1025	13142	3105	18839.5333	1433.5362
contig_1026	5618	10	60.6748	10.8001
contig_1027	9358	17	103.1472	11.0224
contig_1028	4122	14	84.9448	20.6077
contig_1029	13108	19	115.2822	8.7948
contig_103	17352	43	260.9017	15.0358
contig_1030	9865	44	266.9692	27.0623
contig_1031	8569	17	103.1472	12.0373
contig_1032	7811	61	370.1164	47.3840
contig_1033	8923	10	60.6748	6.7998
contig_1034	9018	17	103.1472	11.4379
contig_1035	25754	104	631.0182	24.5018
contig_1036	29515	50	303.3741	10.2786
contig_1037	14646	20	121.3497	8.2855
contig_1038	3730	13	78.8773	21.1467
contig_1039	8302	32	194.1594	23.3871
contig_104	17441	68	412.5888	23.6563
contig_1040	3681	17	103.1472	28.0215
contig_1041	21690	34	206.2944	9.5110
contig_1042	9965	76	461.1287	46.2748
contig_1043	21316	41	248.7668	11.6704
contig_1044	13263	2021	12262.3822	924.5557
contig_1045	3700	9	54.6073	14.7587
contig_1046	17211	94	570.3434	33.1383
contig_1047	8592	61	370.1164	43.0769
contig_1048	3980	5	30.3374	7.6225
contig_1049	3106	10	60.6748	19.5347
contig_105	11740	14	84.9448	7.2355
contig_1050	4127	6	36.4049	8.8212
contig_1051	11336	46	279.1042	24.6210
contig_1052	7794	16	97.0797	12.4557
contig_1053	8674	14	84.9448	9.7930
contig_1054	3708	4	24.2699	6.5453
contig_1055	9508	32	194.1594	20.4206
contig_1056	33755	133	806.9752	23.9068
contig_1057	39139	265	1607.8829	41.0813
contig_1058	21802	123	746.3004	34.2308
contig_1059	27117	960	5824.7832	214.8019
contig_106	18981	30	182.0245	9.5898
contig_1060	54109	3172	19246.0546	355.6905
contig_1061	55425	198	1201.3615	21.6754
contig_1062	27417	875	5309.0472	193.6407
contig_1063	24674	126	764.5028	30.9841
contig_1064	11919	294	1783.8399	149.6636
contig_1065	157845	2144	13008.6826	82.4143
contig_1066	7546	344	2087.2140	276.5987
contig_1067	83876	1949	11825.5235	140.9882
contig_1068	32214	114	691.6930	21.4718
contig_1069	141480	1104	6698.5007	47.3459
contig_107	11507	55	333.7115	29.0007
contig_1070	165536	1119	6789.5130	41.0153
contig_1071	47015	1316	7984.8070	169.8353
contig_1072	10358	376	2281.3734	220.2523
contig_1073	17371	263	1595.7479	91.8628
contig_1074	20724	96	582.4783	28.1065
contig_1075	60272	285	1729.2325	28.6905
contig_1076	13319	93	564.2759	42.3662
contig_1077	7470	23	139.5521	18.6817
contig_1078	23712	374	2269.2385	95.7000
contig_1079	55790	1668	10120.5609	181.4046
contig_108	5414	12	72.8098	13.4484
contig_1080	36348	102	618.8832	17.0266
contig_1081	83659	492	2985.2014	35.6830
contig_1082	12016	688	4174.4280	347.4058
contig_1083	26813	142	861.5825	32.1330
contig_1084	22855	29	175.9570	7.6988
contig_1085	22243	824	4999.6056	224.7721
contig_1086	39632	1032	6261.6420	157.9946
contig_1087	21683	860	5218.0350	240.6510
contig_1088	27941	79	479.3311	17.1551
contig_1089	28243	565	3428.1276	121.3797
contig_109	7271	21	127.4171	17.5240
contig_1090	11326	799	4847.9186	428.0345
contig_1091	78866	1102	6686.3658	84.7813
contig_1092	12462	114	691.6930	55.5042
contig_1093	162968	6884	41768.5498	256.2991
contig_1094	9521	76	461.1287	48.4328
contig_1095	10072	45	273.0367	27.1085
contig_1096	6939	211	1280.2388	184.4990
contig_1097	43266	117	709.8955	16.4077
contig_1098	63744	781	4738.7039	74.3396
contig_1099	20508	561	3403.8577	165.9771
contig_11	15133	45	273.0367	18.0425
contig_110	5088	7	42.4724	8.3476
contig_1100	47229	522	3167.2259	67.0610
contig_1101	26049	3347	20307.8641	779.6024
contig_1102	11094	129	782.7052	70.5521
contig_1103	19278	811	4920.7283	255.2510
contig_1104	18975	43	260.9017	13.7498
contig_1105	122332	3787	22977.5564	187.8295
contig_1106	28350	50	303.3741	10.7010
contig_1107	7621	20	121.3497	15.9231
contig_1108	8528	30	182.0245	21.3443
contig_1109	19040	46	279.1042	14.6588
contig_111	16807	34	206.2944	12.2743
contig_1110	68217	517	3136.8885	45.9840
contig_1111	31157	114	691.6930	22.2002
contig_1112	13014	863	5236.2374	402.3542
contig_1113	18447	177	1073.9444	58.2178
contig_1114	14595	82	497.5336	34.0893
contig_1115	9346	18	109.2147	11.6857
contig_1116	10494	486	2948.7965	280.9983
contig_1117	86500	364	2208.5636	25.5325
contig_1118	59482	466	2827.4469	47.5345
contig_1119	49778	643	3901.3913	78.3758
contig_112	7904	15	91.0122	11.5147
contig_1120	8889	55	333.7115	37.5421
contig_1121	32559	276	1674.6252	51.4336
contig_1122	7751	34	206.2944	26.6152
contig_1123	16429	645	3913.5262	238.2084
contig_1124	16702	81	491.4661	29.4256
contig_1125	41804	1445	8767.5123	209.7290
contig_1126	47303	2050	12438.3392	262.9503
contig_1127	18820	1087	6595.3535	350.4439
contig_1128	13084	29	175.9570	13.4483
contig_1129	32620	431	2615.0850	80.1681
contig_113	11751	19	115.2822	9.8104
contig_1130	18798	265	1607.8829	85.5348
contig_1131	34511	1093	6631.7584	192.1636
contig_1132	21110	36	218.4294	10.3472
contig_1133	7541	618	3749.7042	497.2423
contig_1134	19063	38	230.5643	12.0949
contig_1135	38154	2507	15211.1787	398.6785
contig_1136	31418	649	3937.7962	125.3357
contig_1137	7655	2755	16715.9144	2183.6596
contig_1138	17534	39	236.6318	13.4956
contig_1139	12730	98	594.6133	46.7096
contig_114	7301	37	224.4969	30.7488
contig_1140	37657	841	5102.7528	135.5061
contig_1141	12356	472	2863.8518	231.7782
contig_1142	6883	33	200.2269	29.0901
contig_1143	18134	1973	11971.1431	660.1491
contig_1144	83833	1034	6273.7769	74.8366
contig_1145	83407	227	1377.3185	16.5132
contig_1146	12271	1549	9398.5305	765.9140
contig_1147	7063	2486	15083.7616	2135.6027
contig_1148	21115	47	285.1717	13.5056
contig_1149	9925	21	127.4171	12.8380
contig_115	16689	69	418.6563	25.0858
contig_1150	21575	2177	13208.9095	612.2322
contig_1151	53599	1296	7863.4574	146.7090
contig_1152	25358	51	309.4416	12.2029
contig_1153	17156	119	722.0304	42.0862
contig_1154	13586	136	825.1776	60.7373
contig_1155	32160	727	4411.0598	137.1598
contig_1156	8641	57	345.8465	40.0239
contig_1157	7217	253	1535.0731	212.7024
contig_1158	74007	436	2645.4224	35.7456
contig_1159	32410	58	351.9140	10.8582
contig_116	6183	36	218.4294	35.3274
contig_1160	93617	598	3628.3546	38.7574
contig_1161	17718	29	175.9570	9.9310
contig_1162	15771	45	273.0367	17.3126
contig_1163	11300	2364	14343.5287	1269.3388
contig_1164	25390	131	794.8402	31.3052
contig_1165	21982	1057	6413.3290	291.7537
contig_1166	13055	24	145.6196	11.1543
contig_1167	50236	1318	7996.9420	159.1875
contig_1168	26802	1787	10842.5913	404.5441
contig_1169	28523	279	1692.8276	59.3496
contig_117	1755	27	163.8220	93.3459
contig_1170	10498	169	1025.4045	97.6762
contig_1171	7286	1279	7760.3102	1065.0988
contig_1172	8637	427	2590.8150	299.9670
contig_1173	18155	239	1450.1283	79.8749
contig_1174	34963	247	1498.6682	42.8644
contig_1175	11550	230	1395.5210	120.8243
contig_1176	39508	203	1231.6990	31.1759
contig_1177	62082	196	1189.2266	19.1557
contig_1178	18521	1227	7444.8011	401.9654
contig_1179	19428	1891	11473.6095	590.5708
contig_118	10128	23	139.5521	13.7788
contig_1180	9691	199	1207.4290	124.5928
contig_1181	14716	353	2141.8213	145.5437
contig_1182	10677	18	109.2147	10.2290
contig_1183	30458	1293	7845.2549	257.5762
contig_1184	15228	30	182.0245	11.9533
contig_1185	163312	1002	6079.6175	37.2270
contig_1186	91080	3695	22419.3480	246.1501
contig_1187	11365	48	291.2392	25.6260
contig_1188	71359	5446	33043.5099	463.0602
contig_1189	15131	48	291.2392	19.2478
contig_119	6800	16	97.0797	14.2764
contig_1190	202410	3979	24142.5130	119.2753
contig_1191	8038	18	109.2147	13.5873
contig_1192	43105	302	1832.3797	42.5097
contig_1193	18148	206	1249.9014	68.8727
contig_1194	6447	1752	10630.2294	1648.8645
contig_1195	10521	388	2354.1832	223.7604
contig_1196	82377	399	2420.9255	29.3884
contig_1197	23642	680	4125.8881	174.5152
contig_1198	8304	261	1583.6129	190.7048
contig_1199	30652	183	1110.3493	36.2244
contig_12	14721	23	139.5521	9.4798
contig_120	4347	20	121.3497	27.9157
contig_1200	10881	65	394.3864	36.2454
contig_1201	29327	392	2378.4532	81.1011
contig_1202	104248	1110	6734.9056	64.6047
contig_1203	56459	521	3161.1584	55.9903
contig_1204	46238	573	3476.6675	75.1907
contig_1205	53682	697	4229.0353	78.7794
contig_1206	6863	541	3282.5081	478.2906
contig_1207	39870	299	1814.1773	45.5023
contig_1208	40334	495	3003.4039	74.4633
contig_1209	9133	61	370.1164	40.5252
contig_121	7592	26	157.7545	20.7790
contig_1210	15154	83	503.6011	33.2322
contig_1211	261217	4914	29815.6092	114.1412
contig_1212	6167	1043	6328.3843	1026.1690
contig_1213	45006	222	1346.9811	29.9289
contig_122	5947	19	115.2822	19.3849
contig_123	8307	55	333.7115	40.1723
contig_124	6446	8	48.5399	7.5302
contig_125	5003	20	121.3497	24.2554
contig_126	7387	13	78.8773	10.6778
contig_127	16641	85	515.7360	30.9919
contig_128	17411	72	436.8587	25.0910
contig_129	10164	12	72.8098	7.1635
contig_13	4289	4	24.2699	5.6586
contig_130	5015	76	461.1287	91.9499
contig_131	10964	22	133.4846	12.1748
contig_132	17445	33	200.2269	11.4776
contig_133	21283	42	254.8343	11.9736
contig_134	5315	59	357.9815	67.3531
contig_135	9524	34	206.2944	21.6605
contig_136	6813	15	91.0122	13.3586
contig_137	6158	7	42.4724	6.8971
contig_138	52459	302	1832.3797	34.9297
contig_139	3242	171	1037.5395	320.0307
contig_14	22809	46	279.1042	12.2366
contig_140	9022	17	103.1472	11.4329
contig_141	10323	18	109.2147	10.5797
contig_142	13812	44	266.9692	19.3288
contig_143	11499	23	139.5521	12.1360
contig_144	12502	58	351.9140	28.1486
contig_145	5771	23	139.5521	24.1816
contig_146	5374	5	30.3374	5.6452
contig_147	7204	12	72.8098	10.1069
contig_148	8968	25	151.6871	16.9143
contig_149	28076	133	806.9752	28.7425
contig_15	13199	38	230.5643	17.4683
contig_150	13263	53	321.5766	24.2461
contig_151	40168	254	1541.1406	38.3674
contig_152	5511	14	84.9448	15.4137
contig_153	7918	28	169.8895	21.4561
contig_154	9845	34	206.2944	20.9542
contig_155	11716	35	212.3619	18.1258
contig_156	9433	21	127.4171	13.5076
contig_157	177424	1336	8106.1567	45.6881
contig_158	5588	20	121.3497	21.7161
contig_159	18703	42	254.8343	13.6253
contig_16	3287	12	72.8098	22.1508
contig_160	15867	51	309.4416	19.5022
contig_161	23117	58	351.9140	15.2232
contig_162	12931	55	333.7115	25.8071
contig_163	17149	26	157.7545	9.1991
contig_164	9842	17	103.1472	10.4803
contig_165	8649	15	91.0122	10.5229
contig_166	7873	57	345.8465	43.9282
contig_167	3762	12	72.8098	19.3540
contig_168	6274	10	60.6748	9.6708
contig_169	3861	16	97.0797	25.1437
contig_17	15299	25	151.6871	9.9148
