Contig_ID	Length(bp)	Mapped_Reads	RPM	RPKM
k141_10	1072	50	12.3199	11.4924
k141_100	1049	37	9.1167	8.6908
k141_10000	1168	40	9.8559	8.4383
k141_100001	1143	57	14.0446	12.2875
k141_100009	1231	26	6.4063	5.2042
k141_100015	1081	31	7.6383	7.0660
k141_100018	1192	38	9.3631	7.8549
k141_10002	2169	94	23.1613	10.6783
k141_100020	3887	144	35.4812	9.1282
k141_100026	1084	25	6.1599	5.6826
k141_100028	1311	42	10.3487	7.8937
k141_100033	1087	21	5.1743	4.7602
k141_100038	1648	37	9.1167	5.5320
k141_100042	1746	68	16.7550	9.5962
k141_100046	1956	75	18.4798	9.4477
k141_100051	1131	25	6.1599	5.4464
k141_100056	14311	1104	272.0225	19.0079
k141_100058	3173	122	30.0605	9.4738
k141_100059	1166	46	11.3343	9.7206
k141_100060	1246	32	7.8847	6.3280
k141_100063	1017	23	5.6671	5.5724
k141_100066	1151	30	7.3919	6.4222
k141_100071	3763	175	43.1195	11.4588
k141_100075	1535	38	9.3631	6.0997
k141_100081	1021	26	6.4063	6.2746
k141_100086	1055	31	7.6383	7.2401
k141_10009	1008	39	9.6095	9.5332
k141_100090	2138	83	20.4510	9.5655
k141_100091	1092	29	7.1455	6.5435
k141_100093	1550	47	11.5807	7.4714
k141_100104	1188	32	7.8847	6.6370
k141_100105	1391	37	9.1167	6.5541
k141_100111	1800	95	23.4077	13.0043
k141_100112	1271	35	8.6239	6.7851
k141_100115	3365	217	53.4682	15.8895
k141_100116	2645	97	23.9005	9.0361
k141_10012	1735	78	19.2190	11.0772
k141_100120	1650	49	12.0735	7.3172
k141_100131	2162	65	16.0158	7.4079
k141_100138	1922	58	14.2910	7.4355
k141_100139	1250	60	14.7838	11.8271
k141_10014	1579	57	14.0446	8.8946
k141_100144	1324	30	7.3919	5.5830
k141_100147	1775	88	21.6830	12.2157
k141_10015	1223	43	10.5951	8.6632
k141_100151	1130	38	9.3631	8.2859
k141_100154	1861	112	27.5965	14.8288
k141_100155	1365	46	11.3343	8.3035
k141_100166	1839	67	16.5086	8.9770
k141_100170	1115	39	9.6095	8.6184
k141_100176	1463	56	13.7982	9.4315
k141_100178	1643	58	14.2910	8.6981
k141_100179	1029	34	8.3775	8.1414
k141_100180	1358	39	9.6095	7.0762
k141_100182	1932	74	18.2334	9.4376
k141_100185	1461	30	7.3919	5.0595
k141_100191	1653	82	20.2046	12.2230
k141_100193	1548	28	6.8991	4.4568
k141_100199	1142	30	7.3919	6.4728
k141_100200	1379	66	16.2622	11.7928
k141_100202	3594	104	25.6253	7.1300
k141_100206	1447	51	12.5663	8.6844
k141_100209	1029	19	4.6815	4.5496
k141_100213	4480	204	50.2650	11.2199
k141_100221	1316	36	8.8703	6.7403
k141_100223	1173	40	9.8559	8.4023
k141_100230	3335	134	33.0172	9.9002
k141_100231	1273	37	9.1167	7.1616
k141_100233	5431	237	58.3961	10.7524
k141_100235	2152	107	26.3645	12.2512
k141_10024	1307	28	6.8991	5.2786
k141_100240	3334	102	25.1325	7.5382
k141_100243	2059	67	16.5086	8.0178
k141_100254	1022	38	9.3631	9.1615
k141_100268	1064	31	7.6383	7.1789
k141_100269	3565	158	38.9308	10.9203
k141_100274	1542	45	11.0879	7.1906
k141_100280	1221	52	12.8127	10.4936
k141_100283	1019	13	3.2032	3.1434
k141_100286	2329	69	17.0014	7.2999
k141_100287	1258	65	16.0158	12.7312
k141_100291	1564	49	12.0735	7.7196
k141_100295	1410	39	9.6095	6.8152
k141_100296	1342	46	11.3343	8.4458
k141_100298	5680	268	66.0344	11.6258
k141_100299	1953	90	22.1757	11.3547
k141_1003	2877	117	28.8285	10.0203
k141_10030	1138	24	5.9135	5.1964
k141_100302	1557	55	13.5518	8.7038
k141_100307	1109	23	5.6671	5.1101
k141_100314	1817	60	14.7838	8.1364
k141_100319	1223	61	15.0302	12.2896
k141_100325	1113	42	10.3487	9.2980
k141_100329	1795	65	16.0158	8.9225
k141_100333	2745	85	20.9438	7.6298
k141_100339	1001	26	6.4063	6.3999
k141_10034	2456	70	17.2478	7.0227
k141_100340	3449	118	29.0749	8.4299
k141_100353	1870	53	13.0591	6.9834
k141_10036	1018	26	6.4063	6.2931
k141_100360	2972	99	24.3933	8.2077
k141_100361	1285	25	6.1599	4.7937
k141_100364	1213	29	7.1455	5.8908
k141_100366	1374	38	9.3631	6.8145
k141_100368	1057	20	4.9279	4.6622
k141_100374	1236	52	12.8127	10.3662
k141_100375	2478	101	24.8861	10.0428
k141_100378	1476	41	10.1023	6.8444
k141_100379	1048	29	7.1455	6.8182
k141_100384	1464	43	10.5951	7.2371
k141_100385	2799	126	31.0460	11.0918
k141_100387	6019	353	86.9782	14.4506
k141_100390	1170	24	5.9135	5.0543
k141_100392	1014	22	5.4207	5.3459
k141_100395	1174	33	8.1311	6.9260
k141_100399	1852	52	12.8127	6.9183
k141_100400	2166	93	22.9149	10.5794
k141_100404	1101	29	7.1455	6.4900
k141_100406	1513	53	13.0591	8.6312
k141_100407	1223	51	12.5663	10.2749
k141_100409	2039	60	14.7838	7.2505
k141_10041	1481	46	11.3343	7.6531
k141_100410	1504	37	9.1167	6.0616
k141_100419	1074	33	8.1311	7.5709
k141_10042	1028	21	5.1743	5.0334
k141_100420	1124	28	6.8991	6.1380
k141_100421	1278	37	9.1167	7.1336
k141_100428	1384	30	7.3919	5.3410
k141_10043	1405	41	10.1023	7.1902
k141_100430	1421	41	10.1023	7.1093
k141_100431	1955	95	23.4077	11.9733
k141_100432	1156	20	4.9279	4.2629
k141_100436	2806	90	22.1757	7.9030
k141_100438	1187	34	8.3775	7.0577
k141_100442	2987	118	29.0749	9.7338
k141_100447	1349	50	12.3199	9.1326
k141_100449	1875	72	17.7406	9.4617
k141_100454	1200	21	5.1743	4.3120
k141_100455	2328	80	19.7118	8.4673
k141_100458	1329	46	11.3343	8.5284
k141_100459	1434	43	10.5951	7.3885
k141_100460	2034	64	15.7694	7.7529
k141_100463	1213	45	11.0879	9.1409
k141_10047	1059	38	9.3631	8.8414
k141_100473	1292	38	9.3631	7.2470
k141_100475	3315	123	30.3069	9.1423
k141_100476	1103	45	11.0879	10.0525
k141_100479	1880	48	11.8271	6.2910
k141_10048	1927	74	18.2334	9.4621
k141_100489	1182	34	8.3775	7.0876
k141_100491	3058	160	39.4235	12.8919
k141_100493	1158	31	7.6383	6.5961
k141_100496	1648	48	11.8271	7.1766
k141_100497	1069	31	7.6383	7.1453
k141_100498	1542	52	12.8127	8.3091
k141_100502	1029	26	6.4063	6.2258
k141_100503	1846	48	11.8271	6.4069
k141_100506	3400	187	46.0763	13.5518
k141_10051	1257	30	7.3919	5.8806
k141_100510	1045	24	5.9135	5.6589
k141_100511	1399	46	11.3343	8.1017
k141_10052	1899	53	13.0591	6.8768
k141_100520	1316	30	7.3919	5.6170
k141_100525	1128	40	9.8559	8.7375
k141_100526	1195	47	11.5807	9.6909
k141_100528	2368	80	19.7118	8.3242
k141_100529	1370	49	12.0735	8.8127
k141_100535	1704	62	15.2766	8.9652
k141_100537	1232	49	12.0735	9.7999
k141_100539	1044	18	4.4351	4.2482
k141_10054	1395	50	12.3199	8.8314
k141_100540	3702	167	41.1483	11.1152
k141_100543	1264	38	9.3631	7.4075
k141_100547	1486	28	6.8991	4.6427
k141_100555	1235	31	7.6383	6.1849
k141_10056	1045	21	5.1743	4.9515
k141_100560	2684	131	32.2780	12.0261
k141_100561	3892	177	43.6123	11.2056
k141_100565	1263	31	7.6383	6.0478
k141_100567	4442	245	60.3673	13.5901
k141_100568	1829	91	22.4221	12.2592
k141_100569	1253	24	5.9135	4.7195
k141_10057	1142	17	4.1888	3.6679
k141_100582	1065	28	6.8991	6.4780
k141_100587	1768	64	15.7694	8.9194
k141_10059	2674	104	25.6253	9.5831
k141_100590	1672	81	19.9582	11.9367
k141_100592	1376	35	8.6239	6.2674
k141_100593	2687	122	30.0605	11.1874
k141_100595	2354	86	21.1902	9.0018
k141_100596	2645	114	28.0893	10.6198
k141_100597	1518	34	8.3775	5.5188
k141_100600	2467	98	24.1469	9.7880
k141_100603	2327	124	30.5533	13.1299
k141_100611	3213	144	35.4812	11.0430
k141_100615	1452	45	11.0879	7.6363
k141_100620	2208	75	18.4798	8.3695
k141_100623	1008	28	6.8991	6.8444
k141_100628	1045	25	6.1599	5.8947
k141_100629	1668	95	23.4077	14.0334
k141_100634	1064	15	3.6960	3.4736
k141_100635	1257	31	7.6383	6.0766
k141_100641	1186	24	5.9135	4.9861
k141_100646	1055	21	5.1743	4.9046
k141_100654	1941	79	19.4654	10.0285
k141_100661	2588	120	29.5677	11.4249
k141_100664	1985	95	23.4077	11.7923
k141_100666	1868	101	24.8861	13.3223
k141_100667	1686	103	25.3789	15.0527
k141_100675	1998	92	22.6685	11.3456
k141_100677	2936	128	31.5388	10.7421
k141_100678	1117	40	9.8559	8.8235
k141_100684	2252	67	16.5086	7.3306
k141_100688	5615	209	51.4970	9.1713
k141_100689	1099	46	11.3343	10.3133
k141_100690	1893	55	13.5518	7.1589
k141_100694	1054	21	5.1743	4.9092
k141_100696	1640	46	11.3343	6.9111
k141_100698	1487	57	14.0446	9.4449
k141_10070	2354	75	18.4798	7.8504
k141_100704	1195	29	7.1455	5.9795
k141_100712	5627	324	79.8327	14.1874
k141_100717	1034	33	8.1311	7.8637
k141_100718	1308	29	7.1455	5.4629
k141_100719	1070	33	8.1311	7.5992
k141_100727	1371	65	16.0158	11.6819
k141_100730	1030	33	8.1311	7.8943
k141_100736	1217	34	8.3775	6.8837
k141_100737	1096	20	4.9279	4.4963
k141_100746	1536	55	13.5518	8.8228
k141_100748	1393	30	7.3919	5.3065
k141_100761	2244	73	17.9870	8.0156
k141_100767	14167	974	239.9909	16.9401
k141_100771	1110	46	11.3343	10.2111
k141_100772	1155	26	6.4063	5.5466
k141_100776	1086	35	8.6239	7.9410
k141_100777	1602	40	9.8559	6.1522
k141_100778	1060	52	12.8127	12.0874
k141_100783	1408	46	11.3343	8.0499
k141_100787	1117	85	20.9438	18.7500
k141_10079	1269	40	9.8559	7.7667
k141_10080	1185	38	9.3631	7.9013
k141_100808	1889	64	15.7694	8.3480
k141_100812	1102	26	6.4063	5.8134
k141_100821	1157	32	7.8847	6.8148
k141_100822	1005	18	4.4351	4.4131
k141_100826	1013	44	10.8415	10.7023
k141_100828	2000	61	15.0302	7.5151
k141_100831	1484	27	6.6527	4.4830
k141_100840	3831	179	44.1051	11.5127
k141_100843	1631	50	12.3199	7.5536
k141_100845	1130	16	3.9424	3.4888
k141_100846	1546	50	12.3199	7.9689
k141_100855	1874	58	14.2910	7.6260
k141_100859	1068	29	7.1455	6.6906
k141_100862	1655	67	16.5086	9.9750
k141_100863	2149	60	14.7838	6.8794
k141_100866	1557	52	12.8127	8.2291
k141_100867	1018	24	5.9135	5.8090
k141_100868	1719	47	11.5807	6.7369
k141_100878	1565	33	8.1311	5.1956
k141_100881	2342	85	20.9438	8.9427
k141_100883	1041	70	17.2478	16.5685
k141_100890	1100	34	8.3775	7.6159
k141_100893	1241	32	7.8847	6.3535
k141_100902	1231	34	8.3775	6.8054
k141_100905	1216	31	7.6383	6.2815
k141_100909	1133	46	11.3343	10.0038
k141_100913	1002	44	10.8415	10.8198
k141_100915	1105	31	7.6383	6.9125
k141_100918	1336	35	8.6239	6.4550
k141_10092	1128	26	6.4063	5.6794
k141_100920	1078	19	4.6815	4.3428
k141_100922	1380	37	9.1167	6.6063
k141_100927	1497	35	8.6239	5.7608
k141_100929	1290	33	8.1311	6.3032
k141_10093	3052	115	28.3357	9.2843
k141_100932	2006	56	13.7982	6.8785
k141_100933	1028	25	6.1599	5.9921
k141_100939	1885	56	13.7982	7.3200
k141_100940	1145	20	4.9279	4.3039
k141_100941	2298	98	24.1469	10.5078
k141_100942	1200	61	15.0302	12.5252
k141_100943	1301	46	11.3343	8.7120
k141_100945	1460	49	12.0735	8.2695
k141_100946	1088	29	7.1455	6.5676
k141_100951	1554	31	7.6383	4.9153
k141_100954	1278	202	49.7722	38.9454
k141_100962	1781	53	13.0591	7.3324
k141_100969	2220	55	13.5518	6.1044
k141_100974	1256	29	7.1455	5.6891
k141_100982	1250	24	5.9135	4.7308
k141_100983	1221	33	8.1311	6.6594
k141_100986	1264	27	6.6527	5.2632
k141_100987	1448	66	16.2622	11.2308
k141_10099	1514	56	13.7982	9.1138
k141_100990	1699	58	14.2910	8.4114
k141_100999	2143	81	19.9582	9.3132
k141_1010	1436	49	12.0735	8.4077
k141_10100	2594	109	26.8573	10.3536
k141_101003	1802	46	11.3343	6.2898
k141_101004	9037	683	168.2893	18.6223
k141_101006	1341	38	9.3631	6.9822
k141_101009	1010	24	5.9135	5.8550
k141_101013	1598	53	13.0591	8.1721
k141_101015	1559	52	12.8127	8.2185
k141_101016	1424	45	11.0879	7.7864
k141_10102	1099	38	9.3631	8.5196
k141_101024	1293	53	13.0591	10.0998
k141_10103	1291	48	11.8271	9.1612
k141_101030	4119	200	49.2794	11.9639
k141_101031	2349	111	27.3501	11.6433
k141_101033	2278	48	11.8271	5.1919
k141_101040	1584	44	10.8415	6.8444
k141_101049	1036	21	5.1743	4.9945
k141_10105	1438	44	10.8415	7.5393
k141_101062	2583	85	20.9438	8.1083
k141_101063	1333	59	14.5374	10.9058
k141_101070	1054	30	7.3919	7.0132
k141_101076	1062	27	6.6527	6.2643
k141_101078	1113	33	8.1311	7.3056
k141_101081	2359	133	32.7708	13.8918
k141_101084	1119	18	4.4351	3.9635
k141_101085	2734	92	22.6685	8.2913
k141_101086	4603	211	51.9898	11.2948
k141_101094	2001	85	20.9438	10.4666
k141_101095	2432	93	22.9149	9.4223
k141_101099	2529	66	16.2622	6.4303
k141_10110	1317	48	11.8271	8.9803
k141_101102	2540	65	16.0158	6.3054
k141_101116	1251	43	10.5951	8.4693
k141_10112	1023	27	6.6527	6.5032
k141_101122	1419	49	12.0735	8.5084
k141_101125	1031	24	5.9135	5.7357
k141_101132	1219	24	5.9135	4.8511
k141_101133	2588	121	29.8141	11.5201
k141_101136	1293	33	8.1311	6.2886
k141_101138	1006	26	6.4063	6.3681
k141_101140	2482	101	24.8861	10.0266
k141_101141	1319	34	8.3775	6.3514
k141_101142	1281	30	7.3919	5.7704
k141_101143	1991	52	12.8127	6.4353
k141_101145	1729	54	13.3054	7.6955
k141_101146	6415	259	63.8169	9.9481
k141_101148	1040	27	6.6527	6.3968
k141_101149	1015	27	6.6527	6.5544
k141_101152	1079	21	5.1743	4.7955
k141_10116	1165	21	5.1743	4.4415
k141_101162	2091	67	16.5086	7.8951
k141_101163	1151	24	5.9135	5.1377
k141_101166	1699	53	13.0591	7.6863
k141_101173	1728	61	15.0302	8.6980
k141_101178	1143	40	9.8559	8.6228
k141_101192	4063	186	45.8299	11.2798
k141_101195	1004	26	6.4063	6.3808
k141_101197	1375	37	9.1167	6.6303
k141_101198	1553	55	13.5518	8.7262
k141_101203	1992	56	13.7982	6.9268
k141_101207	2016	61	15.0302	7.4555
k141_10121	1269	35	8.6239	6.7958
k141_101210	1057	24	5.9135	5.5946
k141_101211	1922	100	24.6397	12.8198
k141_101213	2156	88	21.6830	10.0570
k141_101221	1473	38	9.3631	6.3565
k141_101224	1337	42	10.3487	7.7402
k141_101229	1694	45	11.0879	6.5454
k141_101230	1212	21	5.1743	4.2693
k141_101239	1818	73	17.9870	9.8938
k141_101241	1339	39	9.6095	7.1766
k141_101245	2036	84	20.6974	10.1657
k141_101248	8316	602	148.3311	17.8368
k141_101257	1122	32	7.8847	7.0274
k141_101258	1315	25	6.1599	4.6844
k141_10126	1977	67	16.5086	8.3503
k141_101260	1780	58	14.2910	8.0287
k141_101265	6091	305	75.1511	12.3381
k141_101268	1172	36	8.8703	7.5685
k141_101272	1827	52	12.8127	7.0129
k141_101273	2086	64	15.7694	7.5596
k141_101277	1848	59	14.5374	7.8666
k141_101279	1039	25	6.1599	5.9287
k141_10128	1204	22	5.4207	4.5023
k141_101283	4784	355	87.4710	18.2841
k141_101288	1107	31	7.6383	6.9000
k141_101292	1735	57	14.0446	8.0949
k141_101294	1041	20	4.9279	4.7339
k141_101295	2529	83	20.4510	8.0866
k141_101296	1065	27	6.6527	6.2467
k141_101297	1918	87	21.4366	11.1765
k141_101298	1589	49	12.0735	7.5982
k141_10130	1015	31	7.6383	7.5254
k141_101301	1057	28	6.8991	6.5271
k141_101311	1031	27	6.6527	6.4527
k141_101312	1024	18	4.4351	4.3312
k141_101315	1470	56	13.7982	9.3866
k141_101316	3690	163	40.1627	10.8842
k141_101320	4055	167	41.1483	10.1476
k141_101326	2255	109	26.8573	11.9101
