tax_id,rank,name,spades_reads,spades_percent,megahit_reads,megahit_percent,total_reads
0,U,unclassified,342638.0,99.31,46953.0,97.22,389591.0
10239,R1,Viruses,2385.0,0.69,1341.0,2.78,3726.0
1,R,root,2385.0,0.69,1341.0,2.78,3726.0
2731341,R2,Duplodnaviria,1891.0,0.55,981.0,2.03,2872.0
2731360,K,Heunggongvirae,1891.0,0.55,981.0,2.03,2872.0
2731619,C,Caudoviricetes,1816.0,0.53,942.0,1.95,2758.0
2731618,P,Uroviricota,1816.0,0.53,942.0,1.95,2758.0
2946167,F,Peduoviridae,157.0,0.05,72.0,0.15,229.0
2788787,C1,unclassified Caudoviricetes,137.0,0.04,88.0,0.18,225.0
3420545,O,Pantevenvirales,99.0,0.03,37.0,0.08,136.0
3152113,F,Chimalliviridae,75.0,0.02,48.0,0.1,123.0
12429,R2,unclassified viruses,62.0,0.02,25.0,0.05,87.0
2732004,R2,Varidnaviria,55.0,0.02,24.0,0.05,79.0
2732005,K,Bamfordvirae,55.0,0.02,24.0,0.05,79.0
2946170,F,Straboviridae,56.0,0.02,22.0,0.05,78.0
2732007,P,Nucleocytoviricota,51.0,0.01,23.0,0.05,74.0
2060084,G,Pandoravirus,51.0,0.01,19.0,0.04,70.0
51368,R4,unclassified dsDNA viruses,51.0,0.01,19.0,0.04,70.0
2204151,R3,unclassified DNA viruses,51.0,0.01,19.0,0.04,70.0
2559587,R2,Riboviria,41.0,0.01,21.0,0.04,62.0
2732396,K,Orthornavirae,39.0,0.01,21.0,0.04,60.0
3424654,F,Jeanschmidtviridae,41.0,0.01,17.0,0.04,58.0
2732523,C,Megaviricetes,38.0,0.01,19.0,0.04,57.0
186789,G,Punavirus,24.0,0.01,32.0,0.07,56.0
2946173,F,Vilmaviridae,35.0,0.01,15.0,0.03,50.0
1407493,S,Shigella phage SfIV,32.0,0.01,16.0,0.03,48.0
2842329,F,Schitoviridae,31.0,0.01,15.0,0.03,46.0
2946160,F,Kyanoviridae,30.0,0.01,11.0,0.02,41.0
1982875,C1,Arquatrovirinae,30.0,0.01,11.0,0.02,41.0
2731363,C,Herviviricetes,32.0,0.01,6.0,0.01,38.0
2731361,P,Peploviricota,32.0,0.01,6.0,0.01,38.0
548681,O,Herpesvirales,32.0,0.01,6.0,0.01,38.0
1198136,F1,Tevenvirinae,27.0,0.01,10.0,0.02,37.0
3044472,F,Orthoherpesviridae,30.0,0.01,6.0,0.01,36.0
