contig_id,contig_length,mapped_reads,total_reads,rpm,rpkm
contig_260||full,5881,1112,229765,4839.7275,822.9430
contig_1144||full,6178,411,229765,1788.7842,289.5410
contig_1187||0_partial,22278,1018,229765,4430.6139,198.8784
contig_282||full,5282,176,229765,766.0000,145.0208
contig_1088||full,39580,1030,229765,4482.8412,113.2603
contig_1157||0_partial,20656,496,229765,2158.7274,104.5085
contig_190||full,6677,128,229765,557.0909,83.4343
contig_1156||full,13583,136,229765,591.9091,43.5772
contig_1194||full,17484,169,229765,735.5341,42.0690
contig_851||full,3300,30,229765,130.5682,39.5661
contig_1062||full,21799,123,229765,535.3296,24.5575
contig_1012||full,4682,20,229765,87.0455,18.5915
contig_500||full,5464,22,229765,95.7500,17.5238
contig_1031||full,4120,16,229765,69.6364,16.9020
contig_1041||full,8280,32,229765,139.2727,16.8204
contig_123||full,5649,21,229765,91.3977,16.1795
contig_296||full,6663,18,229765,78.3409,11.7576
contig_316||full,8027,19,229765,82.6932,10.3019
contig_895||full,17766,42,229765,182.7955,10.2891
contig_872||full,5532,12,229765,52.2273,9.4409
contig_455||full,9600,20,229765,87.0455,9.0672
contig_140||full,8777,17,229765,73.9886,8.4298
contig_74||full,7482,14,229765,60.9318,8.1438
contig_781||full,5725,10,229765,43.5227,7.6022
contig_1038||full,14582,21,229765,91.3977,6.2678
contig_480||full,3665,5,229765,21.7614,5.9376
contig_748||full,4290,4,229765,17.4091,4.0581
contig_431||full,5447,5,229765,21.7614,3.9951
contig_808||full,4762,4,229765,17.4091,3.6558
