contig_id,contig_length,mapped_reads,total_reads,rpm,rpkm
contig_1138,7655,2755,229765,11990.5120,1566.3634
contig_1149,7063,2486,229765,10819.7506,1531.8916
contig_1195,6447,1752,229765,7625.1823,1182.7489
contig_1030,13142,3105,229765,13513.8076,1028.2916
contig_1165,11300,2364,229765,10288.7733,910.5109
contig_260,6022,1122,229765,4883.2503,810.9017
contig_1174,7286,1279,229765,5566.5571,764.0073
contig_1213,6167,1043,229765,4539.4207,736.0825
contig_1104,26049,3356,229765,14606.2281,560.7213
contig_1150,12271,1558,229765,6780.8413,552.5908
contig_1145,18134,1973,229765,8587.0346,473.5323
contig_1152,21575,2177,229765,9474.8983,439.1610
contig_1182,19428,1891,229765,8230.1482,423.6230
contig_1134,7541,618,229765,2689.7047,356.6775
contig_1207,6863,541,229765,2354.5797,343.0832
contig_1190,71359,5467,229765,23793.8764,333.4390
contig_1093,11326,799,229765,3477.4661,307.0339
contig_1180,18526,1236,229765,5379.4094,290.3708
contig_1170,26802,1787,229765,7777.5118,290.1840
contig_1114,13014,867,229765,3773.4207,289.9509
contig_1137,38154,2512,229765,10932.9097,286.5469
contig_712,7609,463,229765,2015.1024,264.8314
contig_1063,54109,3172,229765,13805.4099,255.1407
contig_1083,12016,702,229765,3055.2956,254.2689
contig_1130,18820,1087,229765,4730.9207,251.3773
contig_1173,8637,436,229765,1897.5910,219.7049
contig_1167,21982,1057,229765,4600.3525,209.2782
contig_1118,10494,488,229765,2123.9092,202.3927
contig_1069,7546,344,229765,1497.1819,198.4074
contig_929,13447,603,229765,2624.4206,195.1677
contig_1127,47303,2050,229765,8922.1596,188.6172
contig_1185,30458,1303,229765,5671.0117,186.1912
contig_1095,162968,6926,229765,30143.8426,184.9679
contig_1105,19278,811,229765,3529.6934,183.0944
contig_1187,91080,3702,229765,16112.1146,176.9007
contig_1089,21683,860,229765,3742.9548,172.6216
contig_1125,16429,645,229765,2807.2161,170.8696
contig_1144,12356,472,229765,2054.2728,166.2571
contig_1084,22243,826,229765,3594.9775,161.6229
contig_1196,10521,388,229765,1688.6819,160.5058
contig_1075,10358,376,229765,1636.4546,157.9894
contig_1060,27117,960,229765,4178.1821,154.0798
contig_1158,7217,253,229765,1101.1251,152.5738
contig_335,10035,349,229765,1518.9433,151.3646
contig_1128,41804,1445,229765,6289.0344,150.4410
contig_1065,27417,875,229765,3808.2389,138.9006
contig_1133,34511,1093,229765,4757.0344,137.8411
contig_1199,8304,261,229765,1135.9432,136.7947
contig_1110,122332,3832,229765,16677.9100,136.3332
contig_1077,55790,1710,229765,7442.3868,133.4000
contig_1098,6939,211,229765,918.3296,132.3432
contig_1198,23642,680,229765,2959.5456,125.1817
contig_1071,47015,1316,229765,5727.5912,121.8248
contig_1102,20508,561,229765,2441.6251,119.0572
contig_1169,50236,1323,229765,5758.0571,114.6201
contig_1088,39632,1032,229765,4491.5457,113.3313
contig_1067,11919,294,229765,1279.5683,107.3553
contig_1153,53599,1296,229765,5640.5458,105.2360
contig_1184,14716,353,229765,1536.3524,104.4001
contig_1070,83876,1970,229765,8573.9778,102.2221
contig_1157,31750,735,229765,3198.9206,100.7534
contig_1141,37657,845,229765,3677.6707,97.6623
contig_1139,31418,649,229765,2824.6252,89.9047
contig_1181,9691,199,229765,866.1023,89.3718
contig_1091,28243,565,229765,2459.0342,87.0670
contig_1177,11550,230,229765,1001.0228,86.6686
contig_1192,202410,3979,229765,17317.6942,85.5575
contig_1210,261217,4990,229765,21717.8421,83.1410
contig_1172,10498,169,229765,735.5341,70.0642
contig_1081,23712,374,229765,1627.7501,68.6467
contig_118,1755,27,229765,117.5114,66.9580
contig_132,5015,76,229765,330.7727,65.9567
contig_1074,17371,256,229765,1114.1819,64.1403
contig_961,14612,215,229765,935.7387,64.0391
