contig_id,contig_length,mapped_reads,total_reads,rpm,rpkm
k141_155354||full,1184,257,4998642,51.4140,43.4240
k141_108531||full,1806,363,4998642,72.6197,40.2103
k141_173236||full,6204,1188,4998642,237.6645,38.3083
k141_119030||full,1931,326,4998642,65.2177,33.7741
k141_59073||full,940,156,4998642,31.2085,33.2005
k141_59871||full,1055,162,4998642,32.4088,30.7192
k141_80550||full,2171,317,4998642,63.4172,29.2111
k141_136685||full,1481,213,4998642,42.6116,28.7722
k141_89801||full,1839,255,4998642,51.0139,27.7400
k141_29084||lt2gene,1568,216,4998642,43.2117,27.5585
k141_16464||full,1851,244,4998642,48.8133,26.3713
k141_175086||full,92327,10604,4998642,2121.3762,22.9768
k141_99043||full,1885,210,4998642,42.0114,22.2872
k141_64150||full,1946,212,4998642,42.4115,21.7942
k141_113549||full,2888,313,4998642,62.6170,21.6818
k141_90142||0_partial,19767,2091,4998642,418.3136,21.1622
k141_77455||full,3656,386,4998642,77.2210,21.1217
k141_50693||full,1287,132,4998642,26.4072,20.5184
k141_170149||full,1506,154,4998642,30.8084,20.4571
k141_178465||full,1817,168,4998642,33.6091,18.4970
k141_155228||full,1459,131,4998642,26.2071,17.9624
k141_140460||full,1232,110,4998642,22.0060,17.8620
k141_16283||full,1359,118,4998642,23.6064,17.3704
k141_86047||full,1246,103,4998642,20.6056,16.5374
k141_21965||full,21765,1799,4998642,359.8977,16.5356
k141_72717||full,7264,591,4998642,118.2321,16.2764
k141_48372||full,3321,266,4998642,53.2145,16.0236
k141_171913||full,1279,101,4998642,20.2055,15.7979
k141_54111||full,1550,122,4998642,24.4066,15.7462
k141_162272||full,14308,1106,4998642,221.2601,15.4641
k141_69495||full,1643,127,4998642,25.4069,15.4637
k141_91510||full,3870,299,4998642,59.8162,15.4564
k141_18801||full,1608,124,4998642,24.8067,15.4271
k141_17532||full,1015,78,4998642,15.6042,15.3736
k141_24198||full,9844,755,4998642,151.0410,15.3435
k141_9287||full,3521,269,4998642,53.8146,15.2839
k141_93167||full,6416,488,4998642,97.6265,15.2161
k141_173627||0_partial,18878,1433,4998642,286.6779,15.1858
k141_35138||full,14163,1062,4998642,212.4577,15.0009
k141_61292||full,1231,91,4998642,18.2049,14.7887
k141_45676||full,5735,423,4998642,84.6230,14.7555
k141_68513||full,5795,427,4998642,85.4232,14.7408
k141_161712||full,1684,124,4998642,24.8067,14.7308
k141_66292||full,11988,881,4998642,176.2479,14.7020
k141_149947||full,1392,101,4998642,20.2055,14.5154
k141_93538||full,2195,159,4998642,31.8086,14.4914
k141_160955||full,1520,109,4998642,21.8059,14.3460
k141_54758||full,1578,113,4998642,22.6061,14.3258
k141_138897||full,4022,288,4998642,57.6156,14.3251
k141_132533||full,6484,459,4998642,91.8249,14.1618
k141_70691||full,3071,215,4998642,43.0117,14.0058
k141_131279||lt2gene,1617,113,4998642,22.6061,13.9803
k141_83585||full,1249,87,4998642,17.4047,13.9349
k141_19559||full,2554,176,4998642,35.2096,13.7860
k141_36020||full,2420,162,4998642,32.4088,13.3921
k141_14401||full,3978,266,4998642,53.2145,13.3772
k141_96050||full,5081,338,4998642,67.6184,13.3081
k141_136254||full,2573,171,4998642,34.2093,13.2955
k141_126702||full,1137,75,4998642,15.0041,13.1962
k141_164021||0_partial,1580,104,4998642,20.8057,13.1681
k141_53231||full,2491,163,4998642,32.6089,13.0907
k141_106856||full,8489,548,4998642,109.6298,12.9143
k141_63905||full,2154,139,4998642,27.8076,12.9097
k141_75120||full,1284,82,4998642,16.4045,12.7761
k141_37192||full,5048,322,4998642,64.4175,12.7610
k141_130204||full,1867,119,4998642,23.8065,12.7512
k141_44986||full,2566,163,4998642,32.6089,12.7081
k141_7062||full,1957,124,4998642,24.8067,12.6759
k141_158789||full,3661,231,4998642,46.2126,12.6229
k141_71954||full,1577,99,4998642,19.8054,12.5589
k141_138005||full,2764,170,4998642,34.0092,12.3044
k141_163004||full,3383,208,4998642,41.6113,12.3001
k141_125701||full,1081,66,4998642,13.2036,12.2142
k141_104665||full,1573,96,4998642,19.2052,12.2093
k141_104658||full,2125,128,4998642,25.6070,12.0503
k141_95526||full,4376,263,4998642,52.6143,12.0234
k141_28865||full,2068,124,4998642,24.8067,11.9955
k141_62985||full,4109,246,4998642,49.2134,11.9770
k141_178274||full,1455,87,4998642,17.4047,11.9620
k141_7834||full,2414,144,4998642,28.8078,11.9336
k141_124401||full,3638,215,4998642,43.0117,11.8229
k141_107672||full,1593,94,4998642,18.8051,11.8048
k141_156828||full,2341,137,4998642,27.4074,11.7076
k141_81200||full,22137,1293,4998642,258.6703,11.6850
k141_120715||full,4040,234,4998642,46.8127,11.5873
k141_68695||full,1807,103,4998642,20.6056,11.4032
k141_87851||full,2679,152,4998642,30.4083,11.3506
k141_144632||full,1569,89,4998642,17.8048,11.3479
k141_25209||full,3125,177,4998642,35.4096,11.3311
k141_155770||full,3666,207,4998642,41.4112,11.2960
k141_99838||full,2542,143,4998642,28.6078,11.2540
k141_84685||full,2720,153,4998642,30.6083,11.2531
k141_127625||full,1227,69,4998642,13.8037,11.2500
k141_11424||full,1371,77,4998642,15.4042,11.2357
k141_146450||full,5277,295,4998642,59.0160,11.1836
k141_111320||full,2241,125,4998642,25.0068,11.1588
k141_16777||full,6239,348,4998642,69.6189,11.1587
k141_76681||full,3557,198,4998642,39.6108,11.1360
k141_130949||full,1637,91,4998642,18.2049,11.1209
k141_149368||full,1429,79,4998642,15.8043,11.0597
k141_98299||full,3499,193,4998642,38.6105,11.0347
k141_156833||full,2269,125,4998642,25.0068,11.0211
k141_60503||full,2577,141,4998642,28.2077,10.9459
k141_111687||full,4115,225,4998642,45.0122,10.9386
k141_161035||full,1688,92,4998642,18.4050,10.9034
k141_161095||full,2098,114,4998642,22.8062,10.8704
k141_35093||full,2424,131,4998642,26.2071,10.8115
k141_89281||full,2111,114,4998642,22.8062,10.8035
k141_179208||full,1649,89,4998642,17.8048,10.7974
k141_57566||full,3339,180,4998642,36.0098,10.7846
k141_176827||full,6625,356,4998642,71.2193,10.7501
k141_111087||full,3152,168,4998642,33.6091,10.6628
k141_110970||full,16449,874,4998642,174.8475,10.6297
k141_152151||full,4128,219,4998642,43.8119,10.6133
k141_12161||full,5011,265,4998642,53.0144,10.5796
k141_172173||full,1495,79,4998642,15.8043,10.5714
k141_117807||full,3041,159,4998642,31.8086,10.4599
k141_28330||full,1611,84,4998642,16.8046,10.4311
k141_56360||full,1650,86,4998642,17.2047,10.4271
k141_140450||full,1190,62,4998642,12.4034,10.4230
k141_180136||full,6934,361,4998642,72.2196,10.4153
k141_82735||full,1370,71,4998642,14.2039,10.3678
k141_35282||full,1294,67,4998642,13.4036,10.3583
k141_105507||full,3013,156,4998642,31.2085,10.3579
k141_10274||full,1971,102,4998642,20.4055,10.3529
k141_130910||full,2246,116,4998642,23.2063,10.3323
k141_175701||full,1472,76,4998642,15.2041,10.3289
k141_78685||full,2568,132,4998642,26.4072,10.2832
k141_133960||full,1794,92,4998642,18.4050,10.2592
k141_31234||full,1152,59,4998642,11.8032,10.2458
k141_1443||full,1895,97,4998642,19.4053,10.2402
k141_154954||full,2404,123,4998642,24.6067,10.2357
k141_37923||full,4555,233,4998642,46.6127,10.2333
k141_32475||full,2565,131,4998642,26.2071,10.2172
k141_76376||full,2723,139,4998642,27.8076,10.2121
k141_148256||full,1984,101,4998642,20.2055,10.1842
k141_65532||full,1947,99,4998642,19.8054,10.1723
k141_104535||full,2380,121,4998642,24.2066,10.1708
k141_97801||full,3621,184,4998642,36.8100,10.1657
k141_66809||lt2gene,1835,93,4998642,18.6051,10.1390
k141_176269||full,1560,79,4998642,15.8043,10.1310
k141_126741||full,6202,314,4998642,62.8171,10.1285
k141_159398||full,1700,86,4998642,17.2047,10.1204
k141_153059||full,1187,60,4998642,12.0033,10.1123
k141_80733||full,4217,213,4998642,42.6116,10.1047
k141_123005||full,2041,103,4998642,20.6056,10.0958
k141_10789||full,3429,173,4998642,34.6094,10.0931
k141_37903||full,1864,94,4998642,18.8051,10.0886
k141_114253||full,4264,215,4998642,43.0117,10.0872
k141_133485||full,2264,114,4998642,22.8062,10.0734
k141_34666||full,1272,64,4998642,12.8035,10.0656
k141_105390||full,1253,63,4998642,12.6034,10.0586
k141_13728||full,5706,286,4998642,57.2155,10.0273
k141_142284||full,2357,118,4998642,23.6064,10.0154
k141_62064||full,1480,74,4998642,14.8040,10.0027
k141_73069||full,2774,138,4998642,27.6075,9.9522
k141_133206||full,1569,78,4998642,15.6042,9.9453
k141_30638||full,5049,251,4998642,50.2136,9.9453
k141_126709||full,1368,68,4998642,13.6037,9.9442
k141_30430||full,1389,69,4998642,13.8037,9.9379
k141_173494||full,2397,119,4998642,23.8065,9.9318
k141_40368||full,1693,84,4998642,16.8046,9.9259
k141_19412||full,2986,148,4998642,29.6080,9.9156
k141_16202||full,969,48,4998642,9.6026,9.9098
k141_168128||lt2gene,1838,91,4998642,18.2049,9.9048
k141_17220||full,912,45,4998642,9.0024,9.8711
k141_177085||full,3203,158,4998642,31.6086,9.8684
k141_104663||full,2823,139,4998642,27.8076,9.8504
k141_47680||full,1506,74,4998642,14.8040,9.8300
k141_25868||full,1120,55,4998642,11.0030,9.8241
k141_160125||full,2750,135,4998642,27.0073,9.8208
k141_117901||full,2060,101,4998642,20.2055,9.8085
k141_160353||full,3450,169,4998642,33.8092,9.7998
k141_76253||full,1858,91,4998642,18.2049,9.7981
k141_59753||full,1410,69,4998642,13.8037,9.7899
k141_121448||full,1780,87,4998642,17.4047,9.7779
k141_19317||full,839,41,4998642,8.2022,9.7762
k141_60250||full,922,45,4998642,9.0024,9.7640
k141_126119||full,3139,153,4998642,30.6083,9.7510
k141_12979||full,7347,358,4998642,71.6195,9.7481
k141_74730||full,1809,88,4998642,17.6048,9.7318
k141_69297||full,3501,170,4998642,34.0092,9.7141
k141_47417||full,2935,142,4998642,28.4077,9.6789
k141_30577||full,1282,62,4998642,12.4034,9.6750
k141_20727||full,1760,85,4998642,17.0046,9.6617
k141_90715||full,3149,152,4998642,30.4083,9.6565
k141_169219||full,1161,56,4998642,11.2030,9.6495
k141_143869||full,2676,129,4998642,25.8070,9.6439
k141_73533||full,2033,98,4998642,19.6053,9.6435
k141_24001||full,2948,142,4998642,28.4077,9.6363
k141_75484||full,2284,110,4998642,22.0060,9.6348
k141_81063||full,3032,146,4998642,29.2079,9.6332
k141_117253||full,1185,57,4998642,11.4031,9.6229
k141_178000||lt2gene,1414,68,4998642,13.6037,9.6207
k141_48965||full,2425,116,4998642,23.2063,9.5696
k141_146885||full,1531,73,4998642,14.6040,9.5388
k141_8439||full,1678,80,4998642,16.0043,9.5378
k141_107460||full,2918,139,4998642,27.8076,9.5297
k141_10945||full,2499,119,4998642,23.8065,9.5264
k141_83828||full,2213,105,4998642,21.0057,9.4920
k141_153050||full,2745,130,4998642,26.0071,9.4743
k141_149153||full,4202,199,4998642,39.8108,9.4743
k141_79443||full,2028,96,4998642,19.2052,9.4700
k141_52803||full,1205,57,4998642,11.4031,9.4632
k141_100417||full,2333,110,4998642,22.0060,9.4325
k141_51202||full,2882,135,4998642,27.0073,9.3710
k141_92325||full,1394,65,4998642,13.0035,9.3282
k141_67569||full,5217,243,4998642,48.6132,9.3182
k141_137518||full,1353,63,4998642,12.6034,9.3152
k141_27416||full,1982,92,4998642,18.4050,9.2861
k141_71268||full,1897,88,4998642,17.6048,9.2803
k141_54132||full,5981,277,4998642,55.4151,9.2652
k141_76480||full,1167,54,4998642,10.8029,9.2570
k141_126055||full,2291,106,4998642,21.2058,9.2561
k141_177227||full,2185,101,4998642,20.2055,9.2474
k141_74732||full,2381,110,4998642,22.0060,9.2423
k141_154833||full,1364,63,4998642,12.6034,9.2400
k141_14142||full,3381,156,4998642,31.2085,9.2305
k141_178381||lt2gene,1368,63,4998642,12.6034,9.2130
k141_3143||full,2216,102,4998642,20.4055,9.2083
k141_47812||full,1283,59,4998642,11.8032,9.1997
k141_33476||full,1697,78,4998642,15.6042,9.1952
k141_54237||full,2460,113,4998642,22.6061,9.1895
k141_84630||full,1611,74,4998642,14.8040,9.1893
k141_139900||full,1200,55,4998642,11.0030,9.1692
k141_92452||full,1768,81,4998642,16.2044,9.1654
k141_62343||full,3540,162,4998642,32.4088,9.1550
k141_163782||full,2383,109,4998642,21.8059,9.1506
k141_126789||full,1094,50,4998642,10.0027,9.1433
k141_58855||full,2495,114,4998642,22.8062,9.1408
k141_82772||full,1555,71,4998642,14.2039,9.1343
k141_42408||full,1318,60,4998642,12.0033,9.1072
k141_93078||full,638,29,4998642,5.8016,9.0934
k141_29969||full,4159,189,4998642,37.8103,9.0912
k141_108121||full,1325,60,4998642,12.0033,9.0591
k141_155443||full,1856,84,4998642,16.8046,9.0542
k141_81561||full,1967,89,4998642,17.8048,9.0518
k141_69523||full,1724,78,4998642,15.6042,9.0512
k141_21993||full,1284,58,4998642,11.6032,9.0367
k141_43112||full,2194,99,4998642,19.8054,9.0271
k141_93276||full,2106,95,4998642,19.0052,9.0243
k141_120127||full,4969,224,4998642,44.8122,9.0183
k141_163047||full,3285,148,4998642,29.6080,9.0131
k141_98109||full,1800,81,4998642,16.2044,9.0024
k141_67786||full,1600,72,4998642,14.4039,9.0024
k141_84696||full,1381,62,4998642,12.4034,8.9814
k141_120342||full,4134,185,4998642,37.0101,8.9526
k141_143415||full,2114,94,4998642,18.8051,8.8955
k141_41071||full,1486,66,4998642,13.2036,8.8853
k141_141208||full,1240,55,4998642,11.0030,8.8734
k141_177056||full,1850,82,4998642,16.4045,8.8673
k141_131346||full,1580,70,4998642,14.0038,8.8632
k141_98061||full,1085,48,4998642,9.6026,8.8503
k141_173286||full,4025,178,4998642,35.6097,8.8471
k141_7854||full,3348,148,4998642,29.6080,8.8435
k141_26257||full,1903,84,4998642,16.8046,8.8306
k141_162461||full,4538,200,4998642,40.0109,8.8169
k141_122240||full,1453,64,4998642,12.8035,8.8118
k141_34399||full,1159,51,4998642,10.2028,8.8031
k141_118432||full,1091,48,4998642,9.6026,8.8017
k141_35204||full,933,41,4998642,8.2022,8.7912
k141_9208||full,2279,100,4998642,20.0054,8.7782
k141_171570||full,2192,96,4998642,19.2052,8.7615
k141_101701||full,2538,111,4998642,22.2060,8.7494
k141_162016||full,1213,53,4998642,10.6029,8.7410
k141_21640||full,3394,148,4998642,29.6080,8.7236
k141_92606||full,1102,48,4998642,9.6026,8.7138
k141_146500||full,1470,64,4998642,12.8035,8.7098
k141_97802||full,1264,55,4998642,11.0030,8.7049
k141_7989||full,2896,126,4998642,25.2068,8.7040
k141_101222||full,1360,59,4998642,11.8032,8.6788
k141_100784||full,1130,49,4998642,9.8027,8.6749
k141_76890||full,2080,90,4998642,18.0049,8.6562
k141_72430||full,1318,57,4998642,11.4031,8.6518
k141_98823||full,1506,65,4998642,13.0035,8.6345
k141_137096||full,1831,79,4998642,15.8043,8.6315
k141_108804||full,2554,110,4998642,22.0060,8.6163
k141_167311||full,1673,72,4998642,14.4039,8.6096
k141_102834||full,1373,59,4998642,11.8032,8.5967
k141_160894||full,2677,115,4998642,23.0062,8.5940
k141_26976||lt2gene,1282,55,4998642,11.0030,8.5827
k141_110873||lt2gene,1283,55,4998642,11.0030,8.5760
k141_102560||lt2gene,1704,73,4998642,14.6040,8.5704
k141_23880||full,3246,139,4998642,27.8076,8.5667
k141_72694||full,2595,111,4998642,22.2060,8.5572
k141_51132||full,2198,94,4998642,18.8051,8.5556
k141_54487||full,983,42,4998642,8.4023,8.5476
k141_132557||full,1733,74,4998642,14.8040,8.5424
k141_122565||full,2038,87,4998642,17.4047,8.5401
k141_118907||full,1571,67,4998642,13.4036,8.5319
k141_42154||full,4403,187,4998642,37.4102,8.4965
k141_169248||full,1295,55,4998642,11.0030,8.4965
k141_49274||full,1390,59,4998642,11.8032,8.4915
k141_85374||full,1296,55,4998642,11.0030,8.4900
k141_7700||full,1415,60,4998642,12.0033,8.4829
k141_57238||full,1629,69,4998642,13.8037,8.4738
k141_36102||full,1678,71,4998642,14.2039,8.4648
k141_130250||full,3687,156,4998642,31.2085,8.4645
k141_1205||full,1491,63,4998642,12.6034,8.4530
k141_45173||full,1403,59,4998642,11.8032,8.4128
k141_100368||full,2735,115,4998642,23.0062,8.4118
k141_144062||full,1523,64,4998642,12.8035,8.4067
k141_60987||full,1001,42,4998642,8.4023,8.3939
k141_39569||full,2871,120,4998642,24.0065,8.3617
k141_95978||full,2058,86,4998642,17.2047,8.3599
