name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Sholavirus caenivivens	2846214	S	17618664	0	17618664	0.11221
Sholavirus sp. 'caenihabitans'	2846212	S	10354304	0	10354304	0.06594
Sholavirus sp. 'caenicola'	2846211	S	999827	0	999827	0.00637
Sholavirus sp. 'caenivicinum'	2846213	S	225106	0	225106	0.00143
Grendvuvirus asiocola	2844785	S	3068825	0	3068825	0.01954
Olmsdivirus lutivivens	2845714	S	3066232	0	3066232	0.01953
Hihdivirus caenenecus	2844830	S	1381661	0	1381661	0.00880
Hihdivirus caenicola	2844831	S	929226	0	929226	0.00592
Pehohrivirus asiovicinum	2845782	S	1759733	0	1759733	0.01121
Pehohrivirus asiohabitans	2845781	S	535020	0	535020	0.00341
Upborqevirus asiovivens	3433078	S	1732376	0	1732376	0.01103
Upborqevirus asiovicinum	3433077	S	15594	0	15594	0.00010
Mahqeavirus limicola	2845561	S	584344	0	584344	0.00372
Mahqeavirus limihabitans	2845562	S	29770	0	29770	0.00019
Ishugivirus pelohabitans	2845020	S	595588	0	595588	0.00379
Ulinhavirus borborovivens	3433053	S	425226	0	425226	0.00271
Ulinhavirus borborohabitans	3433051	S	117504	0	117504	0.00075
Ulinhavirus borborovicinum	3433052	S	5186	0	5186	0.00003
Nehwtovirus borborohabitans	3431070	S	493688	0	493688	0.00314
Nehwtovirus limadaptatum	3431073	S	26216	0	26216	0.00017
Yuhrihovirus borborohabitans	2846692	S	365185	0	365185	0.00233
Yuhrihovirus borborovivens	2846694	S	7135	0	7135	0.00005
Yuhrihovirus borborovicinum	2846693	S	4413	0	4413	0.00003
Yuhrihovirus humenecus	2846695	S	3139	0	3139	0.00002
Johnovirus asienecus	2845032	S	363485	0	363485	0.00231
Vohsuavirus limivicinum	2846615	S	279992	0	279992	0.00178
Vohsuavirus soladaptatum	2846617	S	20031	0	20031	0.00013
Vohsuavirus pedovivens	2846616	S	17777	0	17777	0.00011
Vohsuavirus limihabitans	2846614	S	12620	0	12620	0.00008
Vohsuavirus solicola	2846619	S	9305	0	9305	0.00006
Vohsuavirus solenecus	2846618	S	2285	0	2285	0.00001
Paysduvirus asiocola	2845773	S	314057	0	314057	0.00200
Tahluvirus peladaptatum	2846423	S	314056	0	314056	0.00200
Niuhvovirus limivicinum	2845685	S	192616	0	192616	0.00123
Niuhvovirus limivivens	2845686	S	595	0	595	0.00000
Cintrevirus pelocola	2843951	S	180143	0	180143	0.00115
Decadevirus asiocola	2844064	S	165484	0	165484	0.00105
Decadevirus asienecus	2844063	S	9622	0	9622	0.00006
Emesvirus japonicum	329853	S	137619	0	137619	0.00088
Emesvirus zinderi	329852	S	19831	0	19831	0.00013
Emesvirus piscicola	2844113	S	10774	0	10774	0.00007
Kehmevirus defluviicola	2843657	S	160038	0	160038	0.00102
Kehmevirus caenenecus	2845046	S	6096	0	6096	0.00004
Piponevirus borborenecus	2845847	S	142636	0	142636	0.00091
Piponevirus borborocola	2845848	S	19045	0	19045	0.00012
Lohngkovirus caenadaptatum	3430433	S	63228	0	63228	0.00040
Lohngkovirus defluviicola	3430437	S	34229	0	34229	0.00022
Lohngkovirus borborovivens	3430432	S	27523	0	27523	0.00018
Lohngkovirus humadaptatum	3430442	S	10202	0	10202	0.00006
Lohngkovirus caenicola	3430435	S	6916	0	6916	0.00004
Lohngkovirus borborovicinum	3430431	S	6248	0	6248	0.00004
Lohngkovirus caenenecus	3430434	S	1886	0	1886	0.00001
Luthavirus pedadaptatum	2845551	S	61426	0	61426	0.00039
Luthavirus terrenecus	3430547	S	35172	0	35172	0.00022
Luthavirus edaphovicinum	2845549	S	28387	0	28387	0.00018
Luthavirus edaphovivens	2845550	S	20116	0	20116	0.00013
Thiwvovirus asienecus	2846441	S	141203	0	141203	0.00090
Kowinovirus pelenecus	2845117	S	132610	0	132610	0.00084
Bahscuvirus limivicinum	2843829	S	126214	0	126214	0.00080
Cehakivirus limihabitans	2843924	S	123835	0	123835	0.00079
Shebanavirus borborovicinum	2846196	S	120136	0	120136	0.00077
Mahraivirus limivicinum	2845564	S	103318	0	103318	0.00066
Iruqauvirus pelocola	2845019	S	94097	0	94097	0.00060
Yahnavirus asienecus	2843643	S	62103	0	62103	0.00040
Yahnavirus asiovicinum	2846675	S	22482	0	22482	0.00014
Koteshevirus asiovivens	3430236	S	15522	0	15522	0.00010
Koteshevirus caenihabitans	3430237	S	11171	0	11171	0.00007
Koteshevirus terrivivens	3430270	S	9343	0	9343	0.00006
Koteshevirus edaphocola	3430246	S	9000	0	9000	0.00006
Koteshevirus lutadaptatum	3430255	S	8959	0	8959	0.00006
Koteshevirus edaphadaptatum	3430244	S	6841	0	6841	0.00004
Koteshevirus arvenecus	3430230	S	4602	0	4602	0.00003
Koteshevirus edaphohabitans	3430247	S	4238	0	4238	0.00003
Koteshevirus arvicola	3430231	S	3574	0	3574	0.00002
Koteshevirus arvivicinum	3430232	S	2620	0	2620	0.00002
Koteshevirus edaphovicinum	3430248	S	2550	0	2550	0.00002
Koteshevirus luticola	3430256	S	1671	0	1671	0.00001
Koteshevirus arvivivens	3430233	S	1594	0	1594	0.00001
Chahsmivirus lutadaptatum	2843933	S	40220	0	40220	0.00026
Chahsmivirus limivicinum	2843931	S	19889	0	19889	0.00013
Chahsmivirus limivivens	2843932	S	11461	0	11461	0.00007
Chahsmivirus choradaptatum	2843930	S	5577	0	5577	0.00004
Chahsmivirus agrivivens	2843929	S	1748	0	1748	0.00001
Chahsmivirus agrivicinum	2843928	S	659	0	659	0.00000
Haeldovirus borboradaptatum	3429139	S	49900	0	49900	0.00032
Haeldovirus asiohabitans	3429138	S	24200	0	24200	0.00015
Omohevirus peladaptatum	2845715	S	74312	0	74312	0.00047
Skhembuvirus limivivens	2846233	S	69334	0	69334	0.00044
Methovirus lutivicinum	2845584	S	69267	0	69267	0.00044
Mintuvirus asiadaptatum	2845612	S	24469	0	24469	0.00016
Mintuvirus borborovivens	3430887	S	14485	0	14485	0.00009
Mintuvirus pelovivens	2845614	S	13829	0	13829	0.00009
Mintuvirus pelovicinum	3430889	S	7104	0	7104	0.00005
Mintuvirus asienecus	2845613	S	1458	0	1458	0.00001
Blafavirus pelovivens	2843851	S	61051	0	61051	0.00039
Bohnovirus asienecus	2843857	S	54277	0	54277	0.00035
Sehpovirus borboradaptatum	2846176	S	53825	0	53825	0.00034
Thiyevirus asiocola	2846442	S	53041	0	53041	0.00034
Nohrdovirus limihabitans	3431189	S	52026	0	52026	0.00033
Choctavirus fulminicola	2843944	S	50021	0	50021	0.00032
Pohlevirus chorovivens	2845866	S	9457	0	9457	0.00006
Pohlevirus arvadaptatum	2845862	S	9234	0	9234	0.00006
Pohlevirus caenicola	2845865	S	6732	0	6732	0.00004
Pohlevirus arvicola	2845864	S	5353	0	5353	0.00003
Pohlevirus arvenecus	2845863	S	1127	0	1127	0.00001
Andhaxevirus chorenecus	2843689	S	19909	0	19909	0.00013
Andhaxevirus choradaptatum	2843688	S	14450	0	14450	0.00009
Andhaxevirus pedenecus	3426372	S	7327	0	7327	0.00005
Andhaxevirus chorovicinum	2843693	S	3985	0	3985	0.00003
Andhaxevirus chorocola	2843690	S	1117	0	1117	0.00001
Palsdevirus asienecus	2845755	S	46209	0	46209	0.00029
Cauhldivirus limicola	2843921	S	19967	0	19967	0.00013
Cauhldivirus limenecus	2843920	S	19235	0	19235	0.00012
Cauhldivirus limadaptatum	2843919	S	6590	0	6590	0.00004
Buhdavirus caenihabitans	2843895	S	45674	0	45674	0.00029
Radbaivirus edaphovicinum	3432109	S	20741	0	20741	0.00013
Radbaivirus telluricola	2846026	S	7725	0	7725	0.00005
Radbaivirus tellurihabitans	2846027	S	4638	0	4638	0.00003
Radbaivirus tellurenecus	2846025	S	3649	0	3649	0.00002
Radbaivirus edaphohabitans	3432108	S	2948	0	2948	0.00002
Radbaivirus edaphovivens	3432110	S	1441	0	1441	0.00001
Radbaivirus edaphocola	3432107	S	892	0	892	0.00001
Radbaivirus edaphenecus	3432106	S	814	0	814	0.00001
Radbaivirus edaphadaptatum	3432105	S	521	0	521	0.00000
Dohlivirus borborovivens	2844092	S	40307	0	40307	0.00026
Mihkrovirus soladaptatum	2845604	S	6599	0	6599	0.00004
Mihkrovirus solenecus	2845605	S	6060	0	6060	0.00004
Mihkrovirus pelocola	2845603	S	5493	0	5493	0.00003
Mihkrovirus lutihabitans	3430861	S	4943	0	4943	0.00003
Mihkrovirus pedovivens	2845600	S	4858	0	4858	0.00003
Mihkrovirus solicola	2845606	S	4723	0	4723	0.00003
Mihkrovirus pelenecus	2845602	S	2278	0	2278	0.00001
Mihkrovirus peladaptatum	2845601	S	1995	0	1995	0.00001
Mihkrovirus pedovicinum	2845599	S	1402	0	1402	0.00001
Hagavirus psychrophilum	2844808	S	37002	0	37002	0.00024
Jupbevirus asiohabitans	2845035	S	23338	0	23338	0.00015
Jupbevirus asiocola	2845034	S	10113	0	10113	0.00006
Martavirus lutenecus	2845575	S	34647	0	34647	0.00022
Gmuhndevirus pelovivens	2844656	S	34197	0	34197	0.00022
Ashucavirus caenivicinum	2843740	S	25469	0	25469	0.00016
Ashucavirus caenihabitans	2843739	S	6126	0	6126	0.00004
Ashucavirus caenicola	2843738	S	2462	0	2462	0.00002
Wyahnevirus asiohabitans	2846670	S	32559	0	32559	0.00021
Scuadavirus asiohabitans	2846168	S	32442	0	32442	0.00021
Chihyovirus lutenecus	2843937	S	30630	0	30630	0.00020
Gahlovirus lutihabitans	2844311	S	30497	0	30497	0.00019
Caloevirus humivivens	2843906	S	28819	0	28819	0.00018
Caloevirus agradaptatum	2843905	S	1013	0	1013	0.00001
Whietlevirus defluviicola	2846660	S	28286	0	28286	0.00018
Sincthavirus limivicinum	2846231	S	26852	0	26852	0.00017
Gehnevirus pelenecus	2844407	S	26556	0	26556	0.00017
Kuhshuvirus pelovicinum	2845120	S	25979	0	25979	0.00017
Thobivirus asiohabitans	2846443	S	25614	0	25614	0.00016
Eerlswovirus asiohabitans	3428446	S	25529	0	25529	0.00016
Dreytovirus telluricola	3428339	S	14668	0	14668	0.00009
Dreytovirus telluradaptatum	3428338	S	9613	0	9613	0.00006
Kemicevirus caenihabitans	2845057	S	21083	0	21083	0.00013
Kemicevirus caenicola	2845056	S	2717	0	2717	0.00002
Kihryuvirus limihabitans	2845065	S	23685	0	23685	0.00015
Fiyodovirus limihabitans	2844285	S	23682	0	23682	0.00015
Duhcivirus defluviicola	2844108	S	23120	0	23120	0.00015
Bohwovirus asiocola	2843858	S	22293	0	22293	0.00014
Chobevirus lutivicinum	2843943	S	22041	0	22041	0.00014
Hukohnovirus limicola	2844980	S	21946	0	21946	0.00014
Mucrahivirus sp. 'geohabitans'	2845643	S	10394	0	10394	0.00007
