taxonomy_id	count
2846214	17618664
2846212	10354304
2846211	999827
2846213	225106
2844785	3068825
2845714	3066232
2844830	1381661
2844831	929226
2845782	1759733
2845781	535020
3433078	1732376
3433077	15594
2845561	584344
2845562	29770
2845020	595588
3433053	425226
3433051	117504
3433052	5186
3431070	493688
3431073	26216
2846692	365185
2846694	7135
2846693	4413
2846695	3139
2845032	363485
2846615	279992
2846617	20031
2846616	17777
2846614	12620
2846619	9305
2846618	2285
2845773	314057
2846423	314056
2845685	192616
2845686	595
2843951	180143
2844064	165484
2844063	9622
329853	137619
329852	19831
2844113	10774
2843657	160038
2845046	6096
2845847	142636
2845848	19045
3430433	63228
3430437	34229
3430432	27523
3430442	10202
3430435	6916
3430431	6248
3430434	1886
2845551	61426
3430547	35172
2845549	28387
2845550	20116
2846441	141203
2845117	132610
2843829	126214
2843924	123835
2846196	120136
2845564	103318
2845019	94097
2843643	62103
2846675	22482
3430236	15522
3430237	11171
3430270	9343
3430246	9000
3430255	8959
3430244	6841
3430230	4602
3430247	4238
3430231	3574
3430232	2620
3430248	2550
3430256	1671
3430233	1594
2843933	40220
2843931	19889
2843932	11461
2843930	5577
2843929	1748
2843928	659
3429139	49900
3429138	24200
2845715	74312
2846233	69334
2845584	69267
2845612	24469
3430887	14485
2845614	13829
3430889	7104
2845613	1458
2843851	61051
2843857	54277
2846176	53825
2846442	53041
3431189	52026
2843944	50021
2845866	9457
2845862	9234
2845865	6732
2845864	5353
2845863	1127
2843689	19909
2843688	14450
3426372	7327
2843693	3985
2843690	1117
2845755	46209
2843921	19967
2843920	19235
2843919	6590
2843895	45674
3432109	20741
2846026	7725
2846027	4638
2846025	3649
3432108	2948
3432110	1441
3432107	892
3432106	814
3432105	521
2844092	40307
2845604	6599
2845605	6060
2845603	5493
3430861	4943
2845600	4858
2845606	4723
2845602	2278
2845601	1995
2845599	1402
2844808	37002
2845035	23338
2845034	10113
2845575	34647
2844656	34197
2843740	25469
2843739	6126
2843738	2462
2846670	32559
2846168	32442
2843937	30630
2844311	30497
2843906	28819
2843905	1013
2846660	28286
2846231	26852
2844407	26556
2845120	25979
2846443	25614
3428446	25529
3428339	14668
3428338	9613
2845057	21083
2845056	2717
2845065	23685
2844285	23682
2844108	23120
2843858	22293
2843943	22041
2844980	21946
2845643	10394
2844003	8594
2846439	1334
2027243	470
2845718	383
2844279	140
3433009	8456
3433018	8302
3433014	3604
2846447	20245
2845005	20031
3429146	14284
3429147	4543
3429150	826
39804	11117
39803	8180
2845531	19061
2844049	18709
2845725	3111
2845724	2798
3431552	2310
2845722	2066
2845721	1890
2845726	1762
3431551	1640
2845723	1145
2846429	16705
2845716	14935
2845570	14559
3428423	13404
2846666	11901
2845833	8610
2845832	2799
2845009	6604
2845008	4687
3433045	11037
2843834	10628
2844059	10392
2843835	10142
2844081	10032
3428335	9993
2845804	9643
2845647	9585
2845831	9430
2845071	9036
2844655	7202
2844654	1781
2843687	5189
2843686	3295
2845974	5593
2845973	3132
2845007	4806
2845006	3590
2844798	8353
3430393	8244
2843848	8092
2845113	7993
2844116	7679
3428327	7665
3428432	5502
3428433	2002
2845030	7341
3428646	2553
3428647	1780
2844276	1554
3428652	1156
2845044	5905
2845045	789
3432270	6108
2846076	3549
2846077	2406
2844054	5856
2846426	5831
2846691	5470
2845580	5454
2846418	5416
2846579	5308
2845783	5292
2846455	5127
2846209	3490
3241305	1339
2845872	4402
2846235	4232
3430500	1511
3430502	1354
3430501	1176
2845717	3995
3428426	3570
2843705	198
2845578	2482
3430785	1261
2843927	3656
3430515	2513
3430516	734
2846215	3141
3432722	2836
3432723	303
2844406	3116
3430429	3053
2845799	2341
2845798	620
2843881	9043
2845004	2681
2843902	1858
2843901	623
2846054	2457
2846055	2377
2844809	2366
3428326	2291
2846191	2282
2843899	2238
2845678	2192
2845720	2189
2845577	2140
2846237	2056
2845661	1912
2843866	1907
2844096	1841
2844680	1755
2845073	1546
2846677	1323
2845696	1319
2846594	1305
2844811	1297
