contig_id,length_bp,length_kb,mapped_reads,RPM,RPKM
contig_1145,7063,7.063,1701,13731.47,1944.14
contig_1027,13142,13.142,2644,21343.92,1624.1
contig_258,6022,6.022,749,6046.37,1004.05
contig_1171,7286,7.286,887,7160.39,982.76
contig_1100,26049,26.049,3015,24338.85,934.35
contig_1211,6167,6.167,697,5626.59,912.37
contig_1147,12271,12.271,1241,10018.08,816.4
contig_1141,18134,18.134,1689,13634.6,751.88
contig_1148,21575,21.575,1907,15394.43,713.53
contig_1177,19428,19.428,1623,13101.81,674.38
contig_1187,71359,71.359,5242,42316.51,593.01
contig_1133,38154,38.154,2322,18744.55,491.29
contig_1166,26802,26.802,1592,12851.56,479.5
contig_1130,7541,7.541,434,3503.5,464.59
contig_1058,54109,54.109,3003,24241.98,448.02
contig_1089,11326,11.326,628,5069.59,447.61
contig_1126,18820,18.82,940,7588.23,403.2
contig_1079,12016,12.016,570,4601.38,382.94
contig_1091,162968,162.968,6797,54869.39,336.69
contig_1163,21982,21.982,906,7313.77,332.72
contig_1123,47303,47.303,1920,15499.37,327.66
contig_1111,13014,13.014,516,4165.46,320.07
contig_1184,91080,91.08,3584,28932.16,317.66
contig_1183,30458,30.458,1166,9412.64,309.04
contig_1168,8637,8.637,330,2663.95,308.44
contig_927,13447,13.447,504,4068.58,302.56
contig_710,7613,7.613,280,2260.32,296.9
contig_1102,19278,19.278,707,5707.32,296.05
contig_1115,10494,10.494,384,3099.87,295.39
contig_1085,21683,21.683,735,5933.35,273.64
contig_1121,16429,16.429,544,4391.49,267.3
contig_1080,22243,22.243,725,5852.63,263.12
contig_1124,41804,41.804,1337,10793.05,258.18
contig_1212,27117,27.117,839,6772.9,249.77
contig_1104,122332,122.332,3710,29949.3,244.82
contig_1060,27417,27.417,795,6417.71,234.08
contig_1073,55790,55.79,1611,13004.94,233.11
contig_1129,34511,34.511,993,8016.08,232.28
contig_1071,10358,10.358,294,2373.34,229.13
contig_1194,10521,10.521,297,2397.56,227.88
contig_1196,23642,23.642,603,4867.77,205.9
contig_1165,50236,50.236,1234,9961.57,198.3
contig_1098,20508,20.508,496,4004.0,195.24
contig_1084,39632,39.632,954,7701.25,194.32
contig_1151,53599,53.599,1215,9808.2,182.99
contig_1065,83876,83.876,1880,15176.47,180.94
contig_1152,31750,31.75,676,5457.07,171.88
contig_1138,37657,37.657,780,6296.62,167.21
contig_1094,6939,6.939,142,1146.31,165.2
contig_1062,11919,11.919,239,1929.35,161.87
contig_1189,202410,202.41,3918,31628.4,156.26
contig_1134,31418,31.418,589,4754.75,151.34
contig_1208,261217,261.217,4880,39394.23,150.81
contig_1087,28243,28.243,523,4221.96,149.49
contig_1174,11550,11.55,180,1453.07,125.81
contig_1179,9691,9.691,150,1210.89,124.95
contig_1077,23712,23.712,329,2655.88,112.01
contig_332,10328,10.328,142,1146.31,110.99
contig_1088,78866,78.866,1057,8532.73,108.19
contig_1063,157845,157.845,2101,16960.51,107.45
contig_796,8725,8.725,112,904.13,103.63
contig_715,5414,5.414,69,557.01,102.88
contig_1128,18798,18.798,236,1905.13,101.35
contig_1070,17371,17.371,217,1751.75,100.84
contig_1169,10501,10.501,131,1057.51,100.71
contig_629,15206,15.206,189,1525.72,100.34
contig_1200,29327,29.327,356,2873.84,97.99
contig_1203,46238,46.238,555,4480.29,96.9
contig_1142,83833,83.833,998,8056.44,96.1
contig_1170,52020,52.02,619,4996.93,96.06
contig_1204,53682,53.682,638,5150.31,95.94
contig_1125,32620,32.62,385,3107.95,95.28
contig_1096,63744,63.744,741,5981.79,93.84
contig_131,5008,5.008,58,468.21,93.49
contig_1172,18155,18.155,210,1695.24,93.38
contig_136,5331,5.331,61,492.43,92.37
contig_1202,104248,104.248,1188,9590.24,91.99
contig_1207,40334,40.334,450,3632.66,90.06
contig_1097,47229,47.229,520,4197.75,88.88
contig_267,46672,46.672,460,3713.39,79.56
contig_1192,17488,17.488,170,1372.34,78.47
contig_539,5193,5.193,48,387.48,74.62
contig_1167,28523,28.523,252,2034.29,71.32
contig_1101,11094,11.094,98,791.11,71.31
contig_1201,56459,56.459,497,4012.08,71.06
contig_1153,13586,13.586,112,904.13,66.55
contig_1112,18447,18.447,147,1186.67,64.33
contig_1068,141480,141.48,1109,8952.5,63.28
contig_508,32062,32.062,250,2018.15,62.95
contig_1119,32559,32.559,250,2018.15,61.98
contig_1090,12462,12.462,95,766.9,61.54
contig_763,17207,17.207,131,1057.51,61.46
contig_1117,59482,59.482,451,3640.74,61.21
contig_158,177424,177.424,1330,10736.54,60.51
contig_656,6289,6.289,47,379.41,60.33
contig_1109,68217,68.217,507,4092.8,60.0
contig_1206,39875,39.875,288,2324.91,58.3
contig_634,10199,10.199,72,581.23,56.99
contig_764,5329,5.329,37,298.69,56.05
contig_1149,17156,17.156,119,960.64,55.99
contig_85,65821,65.821,456,3681.1,55.93
contig_1042,9965,9.965,69,557.01,55.9
contig_372,22459,22.459,154,1243.18,55.35
contig_831,33522,33.522,228,1840.55,54.91
contig_816,77352,77.352,517,4173.53,53.96
contig_1069,165536,165.536,1100,8879.85,53.64
contig_1056,39146,39.146,260,2098.87,53.62
contig_935,35955,35.955,235,1897.06,52.76
contig_585,19937,19.937,130,1049.44,52.64
contig_1191,43105,43.105,281,2268.4,52.62
contig_1173,34963,34.963,227,1832.48,52.41
contig_1137,12730,12.73,82,661.95,52.0
contig_430,55626,55.626,357,2881.91,51.81
contig_302,8261,8.261,53,427.85,51.79
contig_394,15433,15.433,99,799.19,51.78
contig_1046,8563,8.563,54,435.92,50.91
contig_311,90753,90.753,570,4601.38,50.7
contig_1158,93617,93.617,588,4746.68,50.7
contig_383,86535,86.535,543,4383.42,50.65
contig_378,34794,34.794,217,1751.75,50.35
contig_1007,9224,9.224,57,460.14,49.88
contig_152,40168,40.168,246,1985.86,49.44
contig_642,5591,5.591,34,274.47,49.09
contig_1182,163312,163.312,991,7999.94,48.99
contig_45,16679,16.679,101,815.33,48.88
contig_907,21013,21.013,127,1025.22,48.79
contig_1092,9521,9.521,56,452.06,47.48
contig_1156,74007,74.007,434,3503.5,47.34
contig_1016,9216,9.216,54,435.92,47.3
contig_992,15367,15.367,89,718.46,46.75
contig_188,34376,34.376,199,1606.45,46.73
contig_1083,83659,83.659,484,3907.13,46.7
contig_910,86310,86.31,499,4028.22,46.67
contig_1198,30652,30.652,169,1364.27,44.51
contig_146,52470,52.47,289,2332.98,44.46
contig_598,44908,44.908,247,1993.93,44.4
contig_678,67559,67.559,371,2994.93,44.33
contig_1082,26822,26.822,145,1170.53,43.64
contig_1176,39508,39.508,213,1719.46,43.52
contig_199,13182,13.182,71,573.15,43.48
contig_1162,25404,25.404,136,1097.87,43.22
contig_116,6185,6.185,33,266.4,43.07
contig_434,13518,13.518,72,581.23,43.0
contig_1213,45006,45.006,238,1921.28,42.69
contig_346,9268,9.268,49,395.56,42.68
contig_918,10234,10.234,53,427.85,41.81
contig_534,69219,69.219,358,2889.99,41.75
contig_1195,82400,82.4,424,3422.78,41.54
contig_1154,8641,8.641,44,355.19,41.11
contig_1209,9133,9.133,46,371.34,40.66
contig_471,14038,14.038,70,565.08,40.25
contig_445,69867,69.867,344,2776.97,39.75
contig_574,12677,12.677,62,500.5,39.48
contig_151,28029,28.029,136,1097.87,39.17
contig_1047,17211,17.211,83,670.02,38.93
contig_772,7269,7.269,35,282.54,38.87
contig_201,16263,16.263,77,621.59,38.22
contig_911,29729,29.729,140,1130.16,38.02
contig_733,77975,77.975,358,2889.99,37.06
contig_172,25592,25.592,117,944.49,36.91
contig_1074,60272,60.272,272,2195.74,36.43
contig_830,21350,21.35,94,758.82,35.54
contig_277,14272,14.272,62,500.5,35.07
contig_961,66651,66.651,289,2332.98,35.0
contig_903,24509,24.509,106,855.69,34.91
contig_943,37013,37.013,157,1267.4,34.24
contig_348,30727,30.727,129,1041.36,33.89
contig_1116,86500,86.5,358,2889.99,33.41
contig_536,29100,29.1,118,952.57,32.73
contig_667,7738,7.738,31,250.25,32.34
contig_515,5245,5.245,21,169.52,32.32
contig_700,33124,33.124,132,1065.58,32.17
contig_1110,31157,31.157,124,1001.0,32.13
contig_128,17411,17.411,69,557.01,31.99
contig_433,26292,26.292,103,831.48,31.62
contig_1055,33755,33.755,132,1065.58,31.57
contig_368,9207,9.207,36,290.61,31.56
contig_42,27275,27.275,106,855.69,31.37
contig_155,9845,9.845,38,306.76,31.16
contig_1067,32202,32.202,121,976.78,30.33
contig_578,11265,11.265,42,339.05,30.1
contig_249,46559,46.559,173,1396.56,30.0
contig_551,66750,66.75,247,1993.93,29.87
contig_75,33977,33.977,125,1009.07,29.7
contig_899,16682,16.682,61,492.43,29.52
contig_1186,11365,11.365,41,330.98,29.12
contig_739,6228,6.228,22,177.6,28.52
contig_1059,55425,55.425,190,1533.79,27.67
contig_20,62037,62.037,209,1687.17,27.2
contig_1139,6883,6.883,23,185.67,26.98
contig_666,40480,40.48,133,1073.65,26.52
contig_364,56328,56.328,180,1453.07,25.8
contig_1175,62082,62.082,197,1590.3,25.62
