================================================================================
Viral Abundance Report (viralFlye - Long Reads) - llnl_66d1047e
================================================================================

Total mapped reads: 123876
Viral contigs reported: 193

Contig ID                                 Length(bp)     Reads         RPM        RPKM
--------------------------------------------------------------------------------
contig_1145                                     7063      1701    13731.47     1944.14
contig_1027                                    13142      2644    21343.92     1624.10
contig_258                                      6022       749     6046.37     1004.05
contig_1171                                     7286       887     7160.39      982.76
contig_1100                                    26049      3015    24338.85      934.35
contig_1211                                     6167       697     5626.59      912.37
contig_1147                                    12271      1241    10018.08      816.40
contig_1141                                    18134      1689    13634.60      751.88
contig_1148                                    21575      1907    15394.43      713.53
contig_1177                                    19428      1623    13101.81      674.38
contig_1187                                    71359      5242    42316.51      593.01
contig_1133                                    38154      2322    18744.55      491.29
contig_1166                                    26802      1592    12851.56      479.50
contig_1130                                     7541       434     3503.50      464.59
contig_1058                                    54109      3003    24241.98      448.02
contig_1089                                    11326       628     5069.59      447.61
contig_1126                                    18820       940     7588.23      403.20
contig_1079                                    12016       570     4601.38      382.94
contig_1091                                   162968      6797    54869.39      336.69
contig_1163                                    21982       906     7313.77      332.72
contig_1123                                    47303      1920    15499.37      327.66
contig_1111                                    13014       516     4165.46      320.07
contig_1184                                    91080      3584    28932.16      317.66
contig_1183                                    30458      1166     9412.64      309.04
contig_1168                                     8637       330     2663.95      308.44
contig_927                                     13447       504     4068.58      302.56
contig_710                                      7613       280     2260.32      296.90
contig_1102                                    19278       707     5707.32      296.05
contig_1115                                    10494       384     3099.87      295.39
contig_1085                                    21683       735     5933.35      273.64
contig_1121                                    16429       544     4391.49      267.30
contig_1080                                    22243       725     5852.63      263.12
contig_1124                                    41804      1337    10793.05      258.18
contig_1212                                    27117       839     6772.90      249.77
contig_1104                                   122332      3710    29949.30      244.82
contig_1060                                    27417       795     6417.71      234.08
contig_1073                                    55790      1611    13004.94      233.11
contig_1129                                    34511       993     8016.08      232.28
contig_1071                                    10358       294     2373.34      229.13
contig_1194                                    10521       297     2397.56      227.88
contig_1196                                    23642       603     4867.77      205.90
contig_1165                                    50236      1234     9961.57      198.30
contig_1098                                    20508       496     4004.00      195.24
contig_1084                                    39632       954     7701.25      194.32
contig_1151                                    53599      1215     9808.20      182.99
contig_1065                                    83876      1880    15176.47      180.94
contig_1152                                    31750       676     5457.07      171.88
contig_1138                                    37657       780     6296.62      167.21
contig_1094                                     6939       142     1146.31      165.20
contig_1062                                    11919       239     1929.35      161.87
contig_1189                                   202410      3918    31628.40      156.26
contig_1134                                    31418       589     4754.75      151.34
contig_1208                                   261217      4880    39394.23      150.81
contig_1087                                    28243       523     4221.96      149.49
contig_1174                                    11550       180     1453.07      125.81
contig_1179                                     9691       150     1210.89      124.95
contig_1077                                    23712       329     2655.88      112.01
contig_332                                     10328       142     1146.31      110.99
contig_1088                                    78866      1057     8532.73      108.19
contig_1063                                   157845      2101    16960.51      107.45
contig_796                                      8725       112      904.13      103.63
contig_715                                      5414        69      557.01      102.88
contig_1128                                    18798       236     1905.13      101.35
contig_1070                                    17371       217     1751.75      100.84
contig_1169                                    10501       131     1057.51      100.71
contig_629                                     15206       189     1525.72      100.34
contig_1200                                    29327       356     2873.84       97.99
contig_1203                                    46238       555     4480.29       96.90
contig_1142                                    83833       998     8056.44       96.10
contig_1170                                    52020       619     4996.93       96.06
contig_1204                                    53682       638     5150.31       95.94
contig_1125                                    32620       385     3107.95       95.28
contig_1096                                    63744       741     5981.79       93.84
contig_131                                      5008        58      468.21       93.49
contig_1172                                    18155       210     1695.24       93.38
contig_136                                      5331        61      492.43       92.37
contig_1202                                   104248      1188     9590.24       91.99
contig_1207                                    40334       450     3632.66       90.06
contig_1097                                    47229       520     4197.75       88.88
contig_267                                     46672       460     3713.39       79.56
contig_1192                                    17488       170     1372.34       78.47
contig_539                                      5193        48      387.48       74.62
contig_1167                                    28523       252     2034.29       71.32
contig_1101                                    11094        98      791.11       71.31
contig_1201                                    56459       497     4012.08       71.06
contig_1153                                    13586       112      904.13       66.55
contig_1112                                    18447       147     1186.67       64.33
contig_1068                                   141480      1109     8952.50       63.28
contig_508                                     32062       250     2018.15       62.95
contig_1119                                    32559       250     2018.15       61.98
contig_1090                                    12462        95      766.90       61.54
contig_763                                     17207       131     1057.51       61.46
contig_1117                                    59482       451     3640.74       61.21
contig_158                                    177424      1330    10736.54       60.51
contig_656                                      6289        47      379.41       60.33
contig_1109                                    68217       507     4092.80       60.00
contig_1206                                    39875       288     2324.91       58.30
contig_634                                     10199        72      581.23       56.99
contig_764                                      5329        37      298.69       56.05
contig_1149                                    17156       119      960.64       55.99
contig_85                                      65821       456     3681.10       55.93
contig_1042                                     9965        69      557.01       55.90
contig_372                                     22459       154     1243.18       55.35
contig_831                                     33522       228     1840.55       54.91
contig_816                                     77352       517     4173.53       53.96
contig_1069                                   165536      1100     8879.85       53.64
contig_1056                                    39146       260     2098.87       53.62
contig_935                                     35955       235     1897.06       52.76
contig_585                                     19937       130     1049.44       52.64
contig_1191                                    43105       281     2268.40       52.62
contig_1173                                    34963       227     1832.48       52.41
contig_1137                                    12730        82      661.95       52.00
contig_430                                     55626       357     2881.91       51.81
contig_302                                      8261        53      427.85       51.79
contig_394                                     15433        99      799.19       51.78
contig_1046                                     8563        54      435.92       50.91
contig_311                                     90753       570     4601.38       50.70
contig_1158                                    93617       588     4746.68       50.70
contig_383                                     86535       543     4383.42       50.65
contig_378                                     34794       217     1751.75       50.35
contig_1007                                     9224        57      460.14       49.88
contig_152                                     40168       246     1985.86       49.44
contig_642                                      5591        34      274.47       49.09
contig_1182                                   163312       991     7999.94       48.99
contig_45                                      16679       101      815.33       48.88
contig_907                                     21013       127     1025.22       48.79
contig_1092                                     9521        56      452.06       47.48
contig_1156                                    74007       434     3503.50       47.34
contig_1016                                     9216        54      435.92       47.30
contig_992                                     15367        89      718.46       46.75
contig_188                                     34376       199     1606.45       46.73
contig_1083                                    83659       484     3907.13       46.70
contig_910                                     86310       499     4028.22       46.67
contig_1198                                    30652       169     1364.27       44.51
contig_146                                     52470       289     2332.98       44.46
contig_598                                     44908       247     1993.93       44.40
contig_678                                     67559       371     2994.93       44.33
contig_1082                                    26822       145     1170.53       43.64
contig_1176                                    39508       213     1719.46       43.52
contig_199                                     13182        71      573.15       43.48
contig_1162                                    25404       136     1097.87       43.22
contig_116                                      6185        33      266.40       43.07
contig_434                                     13518        72      581.23       43.00
contig_1213                                    45006       238     1921.28       42.69
contig_346                                      9268        49      395.56       42.68
contig_918                                     10234        53      427.85       41.81
contig_534                                     69219       358     2889.99       41.75
contig_1195                                    82400       424     3422.78       41.54
contig_1154                                     8641        44      355.19       41.11
contig_1209                                     9133        46      371.34       40.66
contig_471                                     14038        70      565.08       40.25
contig_445                                     69867       344     2776.97       39.75
contig_574                                     12677        62      500.50       39.48
contig_151                                     28029       136     1097.87       39.17
contig_1047                                    17211        83      670.02       38.93
contig_772                                      7269        35      282.54       38.87
contig_201                                     16263        77      621.59       38.22
contig_911                                     29729       140     1130.16       38.02
contig_733                                     77975       358     2889.99       37.06
contig_172                                     25592       117      944.49       36.91
contig_1074                                    60272       272     2195.74       36.43
contig_830                                     21350        94      758.82       35.54
contig_277                                     14272        62      500.50       35.07
contig_961                                     66651       289     2332.98       35.00
contig_903                                     24509       106      855.69       34.91
contig_943                                     37013       157     1267.40       34.24
contig_348                                     30727       129     1041.36       33.89
contig_1116                                    86500       358     2889.99       33.41
contig_536                                     29100       118      952.57       32.73
contig_667                                      7738        31      250.25       32.34
contig_515                                      5245        21      169.52       32.32
contig_700                                     33124       132     1065.58       32.17
contig_1110                                    31157       124     1001.00       32.13
contig_128                                     17411        69      557.01       31.99
contig_433                                     26292       103      831.48       31.62
contig_1055                                    33755       132     1065.58       31.57
contig_368                                      9207        36      290.61       31.56
contig_42                                      27275       106      855.69       31.37
contig_155                                      9845        38      306.76       31.16
contig_1067                                    32202       121      976.78       30.33
contig_578                                     11265        42      339.05       30.10
contig_249                                     46559       173     1396.56       30.00
contig_551                                     66750       247     1993.93       29.87
contig_75                                      33977       125     1009.07       29.70
contig_899                                     16682        61      492.43       29.52
contig_1186                                    11365        41      330.98       29.12
contig_739                                      6228        22      177.60       28.52
contig_1059                                    55425       190     1533.79       27.67
contig_20                                      62037       209     1687.17       27.20
contig_1139                                     6883        23      185.67       26.98
contig_666                                     40480       133     1073.65       26.52
contig_364                                     56328       180     1453.07       25.80
contig_1175                                    62082       197     1590.30       25.62
