taxonomic_id,spades_count,megahit_count,total_count,spades_only,megahit_only,both
1737588,2933,789,3722,False,False,True
3070911,2097,714,2811,False,False,True
2596887,2039,693,2732,False,False,True
2487770,1449,492,1941,False,False,True
2487775,1337,413,1750,False,False,True
2487769,1238,269,1507,False,False,True
2506605,1166,316,1482,False,False,True
1977640,1125,299,1424,False,False,True
2487765,1031,348,1379,False,False,True
2506606,951,375,1326,False,False,True
62099,894,406,1300,False,False,True
2506604,920,331,1251,False,False,True
2809302,911,264,1175,False,False,True
1977631,847,232,1079,False,False,True
455367,861,169,1030,False,False,True
2487768,697,299,996,False,False,True
2763269,735,203,938,False,False,True
3240092,681,243,924,False,False,True
2506594,645,140,785,False,False,True
2023057,592,178,770,False,False,True
1977638,571,196,767,False,False,True
4568,583,181,764,False,False,True
2506609,575,154,729,False,False,True
2024608,531,153,684,False,False,True
2060617,519,143,662,False,False,True
1977633,446,154,600,False,False,True
3880,442,132,574,False,False,True
2506608,437,120,557,False,False,True
2763270,425,129,554,False,False,True
2487774,354,133,487,False,False,True
47929,322,163,485,False,False,True
3072188,373,110,483,False,False,True
2971331,347,77,424,False,False,True
1349410,331,93,424,False,False,True
3019033,333,64,397,False,False,True
2506602,288,107,395,False,False,True
693272,299,79,378,False,False,True
1278272,293,75,368,False,False,True
3114988,284,83,367,False,False,True
3045048,275,87,362,False,False,True
2848915,280,65,345,False,False,True
3057169,252,91,343,False,False,True
2922419,264,76,340,False,False,True
2704073,269,60,329,False,False,True
2126980,170,154,324,False,False,True
938083,221,102,323,False,False,True
10090,279,44,323,False,False,True
455364,264,55,319,False,False,True
2847767,261,55,316,False,False,True
1450746,170,142,312,False,False,True
2487771,222,88,310,False,False,True
1349409,240,69,309,False,False,True
2487763,245,58,303,False,False,True
2809609,249,53,302,False,False,True
1605721,231,69,300,False,False,True
104782,199,88,287,False,False,True
37665,211,75,286,False,False,True
1474867,184,97,281,False,False,True
1586713,208,63,271,False,False,True
2704074,197,68,265,False,False,True
2811091,197,67,264,False,False,True
5547,225,31,256,False,False,True
3052230,194,51,245,False,False,True
2568002,186,52,238,False,False,True
2823154,174,55,229,False,False,True
3702,192,34,226,False,False,True
2530038,175,50,225,False,False,True
7955,196,28,224,False,False,True
4932,171,52,223,False,False,True
2937230,149,51,200,False,False,True
83442,154,39,193,False,False,True
38705,143,49,192,False,False,True
2506603,112,80,192,False,False,True
2487766,142,49,191,False,False,True
1924548,138,53,191,False,False,True
411359,140,50,190,False,False,True
1678078,148,40,188,False,False,True
1835008,136,50,186,False,False,True
4577,152,33,185,False,False,True
51543,142,40,182,False,False,True
1477405,130,52,182,False,False,True
4952,132,49,181,False,False,True
39420,111,58,169,False,False,True
1278261,126,40,166,False,False,True
3032484,106,60,166,False,False,True
1956188,125,39,164,False,False,True
1278270,134,29,163,False,False,True
2506593,113,47,160,False,False,True
251749,132,27,159,False,False,True
2008368,127,32,159,False,False,True
231992,105,53,158,False,False,True
109981,116,38,154,False,False,True
2487767,102,49,151,False,False,True
2713452,96,53,149,False,False,True
205075,121,28,149,False,False,True
1278268,112,35,147,False,False,True
1278251,103,43,146,False,False,True
158683,115,29,144,False,False,True
1278276,78,63,141,False,False,True
2737033,113,26,139,False,False,True
4547,88,50,138,False,False,True
399781,117,20,137,False,False,True
2700071,115,16,131,False,False,True
2071566,106,22,128,False,False,True
938082,107,19,126,False,False,True
880161,89,36,125,False,False,True
2506585,87,34,121,False,False,True
1955172,72,43,115,False,False,True
2023205,73,42,115,False,False,True
1278246,97,18,115,False,False,True
2587224,85,26,111,False,False,True
1859492,79,31,110,False,False,True
938081,91,18,109,False,False,True
3378357,85,23,108,False,False,True
2109587,86,22,108,False,False,True
328615,66,42,108,False,False,True
3111543,82,21,103,False,False,True
2364897,80,21,101,False,False,True
2506591,75,26,101,False,False,True
1120767,75,25,100,False,False,True
2506600,65,34,99,False,False,True
28321,70,29,99,False,False,True
2506597,69,30,99,False,False,True
262968,79,19,98,False,False,True
1302812,73,24,97,False,False,True
46021,77,15,92,False,False,True
2506586,62,29,91,False,False,True
1421424,78,13,91,False,False,True
1278271,72,18,90,False,False,True
1955170,70,19,89,False,False,True
3040692,70,18,88,False,False,True
3116536,74,13,87,False,False,True
3129788,61,26,87,False,False,True
1663209,70,16,86,False,False,True
2831644,64,21,85,False,False,True
2530039,72,13,85,False,False,True
3131770,69,14,83,False,False,True
1653087,60,21,81,False,False,True
1586714,56,24,80,False,False,True
1586715,54,26,80,False,False,True
1924550,43,36,79,False,False,True
3349365,58,21,79,False,False,True
3378370,55,20,75,False,False,True
97195,59,15,74,False,False,True
6183,57,16,73,False,False,True
3378374,56,16,72,False,False,True
2742700,65,6,71,False,False,True
42683,60,11,71,False,False,True
1586712,42,29,71,False,False,True
2107707,52,18,70,False,False,True
1421421,57,13,70,False,False,True
2984284,55,13,68,False,False,True
3077364,60,7,67,False,False,True
3433150,43,23,66,False,False,True
2506592,48,17,65,False,False,True
3017316,39,25,64,False,False,True
1421422,45,17,62,False,False,True
2506607,42,19,61,False,False,True
2506588,53,7,60,False,False,True
2905229,41,19,60,False,False,True
2576451,31,29,60,False,False,True
154974,43,14,57,False,False,True
755272,38,19,57,False,False,True
1924551,31,25,56,False,False,True
2506595,35,20,55,False,False,True
3138182,45,10,55,False,False,True
575979,42,12,54,False,False,True
3078405,46,8,54,False,False,True
2704071,48,6,54,False,False,True
3066973,39,14,53,False,False,True
206392,36,16,52,False,False,True
2079134,38,14,52,False,False,True
373996,33,18,51,False,False,True
2726183,41,9,50,False,False,True
880162,35,15,50,False,False,True
1461100,35,14,49,False,False,True
1128135,43,5,48,False,False,True
3032485,28,19,47,False,False,True
10497,34,13,47,False,False,True
1128131,38,8,46,False,False,True
3130360,40,6,46,False,False,True
2984272,30,15,45,False,False,True
554168,39,6,45,False,False,True
2862371,32,12,44,False,False,True
2487772,33,11,44,False,False,True
10261,32,12,44,False,False,True
696472,33,10,43,False,False,True
442302,32,11,43,False,False,True
2801461,32,11,43,False,False,True
2909297,23,20,43,False,False,True
145856,34,8,42,False,False,True
2530040,36,6,42,False,False,True
2107709,29,13,42,False,False,True
2506589,33,9,42,False,False,True
1278278,24,17,41,False,False,True
1974596,29,11,40,False,False,True
880159,32,8,40,False,False,True
2809551,29,10,39,False,False,True
10913,24,14,38,False,False,True
2984273,33,4,37,False,False,True
1720526,30,6,36,False,False,True
1988039,26,10,36,False,False,True
1826170,28,8,36,False,False,True
2496520,27,8,35,False,False,True
68347,24,11,35,False,False,True
1903266,16,18,34,False,False,True
3694,25,9,34,False,False,True
946046,21,13,34,False,False,True
44088,22,11,33,False,False,True
3131568,21,11,32,False,False,True
1278269,26,6,32,False,False,True
137758,19,13,32,False,False,True
3069717,24,7,31,False,False,True
4896,22,8,30,False,False,True
10371,20,9,29,False,False,True
3109969,23,6,29,False,False,True
4679,15,14,29,False,False,True
3134525,26,3,29,False,False,True
1278255,18,11,29,False,False,True
2506596,20,9,29,False,False,True
2487773,23,5,28,False,False,True
10244,23,5,28,False,False,True
3130044,21,7,28,False,False,True
2704072,17,11,28,False,False,True
3050019,18,10,28,False,False,True
1697349,21,6,27,False,False,True
1269028,22,5,27,False,False,True
150286,19,7,26,False,False,True
2202954,13,13,26,False,False,True
4081,19,6,25,False,False,True
1239565,19,6,25,False,False,True
3130069,19,6,25,False,False,True
3378358,20,5,25,False,False,True
2107708,14,10,24,False,False,True
3116512,15,9,24,False,False,True
1842663,21,3,24,False,False,True
464988,17,6,23,False,False,True
212035,13,9,22,False,False,True
3101553,17,5,22,False,False,True
1958810,17,5,22,False,False,True
2739783,18,4,22,False,False,True
2487764,17,4,21,False,False,True
3130402,13,8,21,False,False,True
1278274,16,5,21,False,False,True
336486,18,3,21,False,False,True
10280,14,6,20,False,False,True
180170,18,2,20,False,False,True
1813599,18,2,20,False,False,True
1932881,12,8,20,False,False,True
1769778,15,5,20,False,False,True
160691,19,0,19,True,False,False
3019552,15,4,19,False,False,True
1278252,16,3,19,False,False,True
3425993,16,3,19,False,False,True
1278273,11,7,18,False,False,True
2109586,14,4,18,False,False,True
