contig_id,length_bp,length_kb,mapped_reads,RPM,RPKM,best_hit,identity,evalue,bitscore,taxid
k141_149959,1319,1.319,1446,318.84,241.73,AUI39789.1,61.7,6.1100000000000005e-77,233.0,47929.0
k141_192,1416,1.416,1472,324.57,229.22,AUI39789.1,40.0,6.76e-30,114.0,47929.0
k141_3944,4268,4.268,2739,603.94,141.5,WAX25994.1,78.1,4.54e-09,52.8,10566.0
k141_32718,3754,3.754,2179,480.46,127.99,QKF94607.1,31.0,9.27e-06,46.6,3070911.0
k141_170898,1431,1.431,707,155.89,108.94,AUI39789.1,46.2,1.57e-51,171.0,47929.0
k141_99507,1186,1.186,570,125.68,105.97,WAX25994.1,96.9,6.85e-15,68.9,10566.0
k141_8538,1288,1.288,542,119.51,92.79,XHA87591.1,92.3,7.62e-46,149.0,3348870.0
k141_56181,1892,1.892,766,168.9,89.27,ARF10731.1,26.8,4.14e-15,78.6,1977638.0
k141_162413,1075,1.075,388,85.55,79.58,XHA87591.1,59.3,4.21e-12,61.6,3348870.0
k141_52677,1013,1.013,344,75.85,74.88,CAA73251.1,25.0,5e-06,51.6,10090.0
k141_148544,2820,2.82,886,195.36,69.28,WAX26015.1,78.6,2.5600000000000003e-22,94.0,10566.0
k141_38224,1904,1.904,583,128.55,67.52,AUI39789.1,28.6,2.07e-19,87.8,47929.0
k141_43622,1255,1.255,376,82.91,66.06,WZI33504.1,65.0,6.02e-11,55.8,2971765.0
k141_150116,1644,1.644,470,103.63,63.04,WAX26015.1,78.6,7.299999999999999e-23,95.5,10566.0
k141_8649,1696,1.696,440,97.02,57.2,XHA87591.1,61.0,2.68e-22,89.0,3348870.0
k141_42415,1831,1.831,461,101.65,55.52,AUI39789.1,39.9,5.26e-36,129.0,47929.0
k141_92596,1251,1.251,285,62.84,50.23,AUI39789.1,35.1,1.8000000000000003e-21,93.6,47929.0
k141_41818,9826,9.826,2071,456.65,46.47,YP_009408214.1,30.6,4.38e-26,107.0,2025359.0
k141_158666,1549,1.549,323,71.22,45.98,AUI39789.1,36.0,2.8900000000000002e-31,116.0,47929.0
k141_37593,1661,1.661,330,72.76,43.81,AAL89278.1,47.0,1.13e-119,356.0,342409.0
k141_115711,1620,1.62,312,68.79,42.47,NP_044929.1,25.9,3.42e-07,56.6,207343.0
k141_146300,1469,1.469,280,61.74,42.03,QXT57843.1,28.5,3.15e-07,57.4,2859906.0
k141_156389,4929,4.929,925,203.96,41.38,USI00828.1,26.1,5.54e-08,58.5,39947.0
k141_138302,1848,1.848,335,73.87,39.97,YP_009173673.1,39.6,1.08e-17,76.6,455364.0
k141_14828,34166,34.166,6142,1354.29,39.64,QIG59668.1,33.7,2.2299999999999997e-52,189.0,2704074.0
k141_86566,1908,1.908,342,75.41,39.52,XDO02170.1,32.2,1e-37,153.0,3240092.0
k141_88222,1292,1.292,230,50.71,39.25,AEJ89574.1,32.8,8.6e-10,61.2,11723.0
k141_121345,1539,1.539,273,60.2,39.11,QOI90522.1,38.2,1.21e-43,157.0,455367.0
k141_91879,1231,1.231,218,48.07,39.05,AYV78014.1,32.2,9.38e-44,159.0,2487765.0
k141_29531,1073,1.073,188,41.45,38.63,AUI39789.1,35.0,2.16e-15,75.9,47929.0
k141_23319,1490,1.49,261,57.55,38.62,AYV77371.1,30.3,8.79e-09,56.2,2487764.0
k141_37051,4707,4.707,819,180.59,38.37,QFG74851.1,29.5,1.3899999999999998e-42,170.0,1737588.0
k141_103855,2495,2.495,432,95.25,38.18,AYV78014.1,32.6,3.1000000000000003e-43,159.0,2487765.0
k141_131543,5816,5.816,993,218.95,37.65,QKF94107.1,25.0,1.75e-39,159.0,3070911.0
k141_132764,2243,2.243,379,83.57,37.26,ATZ80450.1,25.7,5.09e-29,128.0,2024608.0
k141_121942,1024,1.024,171,37.7,36.82,AAZ28935.1,29.9,1.25e-06,50.1,273507.0
k141_33548,1014,1.014,165,36.38,35.88,XHA87591.1,52.5,9.66e-11,57.4,3348870.0
k141_1221,6614,6.614,1064,234.61,35.47,APT43408.1,52.5,2.38e-101,300.0,10371.0
k141_38943,1244,1.244,196,43.22,34.74,AYV78014.1,33.1,2.28e-44,161.0,2487765.0
k141_68858,1066,1.066,167,36.82,34.54,YP_009448213.1,45.3,1.81e-14,74.7,2023057.0
k141_73442,45816,45.816,7130,1572.14,34.31,YP_009001225.1,29.0,8.05e-19,94.7,1450746.0
k141_53318,2315,2.315,358,78.94,34.1,YP_009010932.1,28.8,1.15e-37,155.0,345198.0
k141_66493,9402,9.402,1444,318.4,33.86,ARF10911.1,27.2,6.53e-12,71.6,1977638.0
k141_9525,21278,21.278,3257,718.16,33.75,UMO80163.1,36.4,3.62e-46,166.0,2848915.0
k141_127339,1055,1.055,161,35.5,33.65,YP_009173627.1,53.0,2.62e-113,347.0,455364.0
k141_92509,1855,1.855,283,62.4,33.64,AUI39789.1,27.8,3e-18,84.7,47929.0
k141_40397,3791,3.791,563,124.14,32.75,AUI39789.1,27.8,3.13e-16,79.3,47929.0
k141_108502,14525,14.525,2113,465.91,32.08,YP_009174445.1,48.8,3.91e-52,174.0,1586715.0
k141_166955,3096,3.096,449,99.0,31.98,XHA87591.1,81.4,8.89e-25,94.4,3348870.0
k141_165092,3450,3.45,500,110.25,31.96,UPW42252.1,48.3,1.07e-21,103.0,2937230.0
k141_153046,2542,2.542,367,80.92,31.83,QOI90522.1,51.6,1.49e-40,152.0,455367.0
k141_139970,4235,4.235,610,134.5,31.76,AGE55605.1,29.8,1.47e-59,221.0,1278272.0
k141_61050,1662,1.662,236,52.04,31.31,QQH14887.1,33.3,3.36e-10,63.2,1157040.0
k141_128928,1341,1.341,190,41.89,31.24,QKF93461.1,34.9,4.2099999999999995e-52,186.0,3070911.0
k141_180461,1012,1.012,143,31.53,31.16,AAK92822.1,56.2,5.5800000000000005e-117,348.0,3702.0
k141_33878,2770,2.77,387,85.33,30.81,AYV81649.1,31.8,1.36e-10,65.1,2487768.0
k141_3814,54875,54.875,7654,1687.68,30.75,QDY52327.1,26.4,6.69e-15,75.9,2596887.0
k141_71980,1585,1.585,221,48.73,30.74,AYV81995.1,41.1,1.53e-69,239.0,2487769.0
k141_72531,122177,122.177,17010,3750.64,30.7,CAA38181.1,42.5,9.25e-79,252.0,5547.0
k141_163652,24826,24.826,3448,760.27,30.62,QBK89188.1,51.3,2.46e-128,380.0,2506609.0
k141_165407,22584,22.584,3135,691.26,30.61,ULY68560.1,33.9,4.61e-31,121.0,2922419.0
k141_170768,24343,24.343,3364,741.75,30.47,QFG73678.1,43.1,4.92e-43,144.0,1737588.0
k141_33171,3103,3.103,428,94.37,30.41,QIG60138.1,46.6,2.48e-133,406.0,2704073.0
k141_176642,1626,1.626,224,49.39,30.38,QBK86717.1,28.2,3.07e-19,95.1,2506604.0
k141_74201,1289,1.289,177,39.03,30.28,YP_009173653.1,28.2,2.84e-19,93.6,455364.0
k141_162421,1531,1.531,209,46.08,30.1,QOI90522.1,51.7,7.09e-71,238.0,455367.0
