sequence_name,identified_by,vs2_score,vs2_group,dvf_score,dvf_pvalue,consensus
k141_32965,DeepVirFinder_only,,,8.17639102024259e-06,0.7903920235667347,False
k141_1092,DeepVirFinder_only,,,0.0043238443322479,0.403542563637737,False
k141_47749,DeepVirFinder_only,,,4.040569820062956e-06,0.8213233627917517,False
k141_139034,DeepVirFinder_only,,,0.0156552828848361,0.3119004456529949,False
k141_160241,DeepVirFinder_only,,,0.000270089629339,0.5970805952111187,False
k141_104279,DeepVirFinder_only,,,0.0001228054752573,0.6465933982929224,False
k141_133022,DeepVirFinder_only,,,0.0137836728245019,0.3206057859354936,False
k141_169215,DeepVirFinder_only,,,0.0042092567309737,0.4054309237857844,False
k141_53325,DeepVirFinder_only,,,1.2550479766559874e-07,0.9253720069491652,False
k141_117956,DeepVirFinder_only,,,0.0475306846201419,0.2377445426391721,False
k141_138070,DeepVirFinder_only,,,9.408532059751452e-05,0.6622101367172747,False
k141_125531,DeepVirFinder_only,,,0.0710357651114463,0.2116474053931565,False
k141_115702,DeepVirFinder_only,,,0.0435232147574424,0.2438061787144044,False
k141_18762,DeepVirFinder_only,,,0.0018074363470077,0.4667270941914042,False
k141_115866,DeepVirFinder_only,,,0.019649876281619,0.2958305007931112,False
k141_156636,DeepVirFinder_only,,,0.2142660021781921,0.1420046831331671,False
k141_64245,DeepVirFinder_only,,,0.0772842392325401,0.2057934889342095,False
k141_92363,DeepVirFinder_only,,,6.119543741078815e-06,0.8031195709645743,False
k141_123412,DeepVirFinder_only,,,0.0250077042728662,0.2798549739406299,False
k141_105288,DeepVirFinder_only,,,1.830907336852761e-08,0.9578140342926202,False
k141_48798,DeepVirFinder_only,,,0.0018757618963718,0.4637434851574892,False
k141_36051,DeepVirFinder_only,,,0.5762345790863037,0.044867437117607,False
k141_122776,DeepVirFinder_only,,,0.0006373419892042,0.5399765843341642,False
k141_69311,DeepVirFinder_only,,,0.0002270365366712,0.6075421104313015,False
k141_112193,DeepVirFinder_only,,,4.761770469485782e-05,0.7018090490218294,False
k141_140579,DeepVirFinder_only,,,4.289295702619711e-06,0.8187551929904071,False
k141_125323,DeepVirFinder_only,,,0.0118681350722908,0.3307840471334693,False
k141_10451,DeepVirFinder_only,,,0.0001642988354433,0.6275209607976433,False
k141_59801,DeepVirFinder_only,,,0.0021003379952162,0.456171160963819,False
k141_146017,DeepVirFinder_only,,,0.0809190422296524,0.2029042979076969,False
k141_37902,DeepVirFinder_only,,,0.0002978767442982,0.5911700279477302,False
k141_4547,DeepVirFinder_only,,,0.0164863783866167,0.3085013973865095,False
k141_106305,DeepVirFinder_only,,,0.0022819312289357,0.450279477301911,False
k141_4792,DeepVirFinder_only,,,0.0074939876794815,0.3643779741672331,False
k141_71290,DeepVirFinder_only,,,0.019245758652687,0.2974733741219125,False
k141_179866,DeepVirFinder_only,,,0.0310623347759246,0.2656922728302742,False
k141_45880,DeepVirFinder_only,,,0.0072922213003039,0.3660208474960344,False
k141_29842,DeepVirFinder_only,,,0.3063445091247558,0.1176637208248357,False
k141_153220,Both,0.847,ssDNA,2.0575112102960705e-07,0.9145894705038145,True
k141_39439,DeepVirFinder_only,,,0.3981247544288635,0.0970994788125991,False
k141_42075,DeepVirFinder_only,,,0.0356776230037212,0.2571191177581388,False
k141_133464,DeepVirFinder_only,,,0.000243959686486,0.6031611148878314,False
k141_66004,DeepVirFinder_only,,,0.0341149270534515,0.2598005891683662,False
k141_175818,DeepVirFinder_only,,,0.0151934092864394,0.3137132713951204,False
k141_21571,DeepVirFinder_only,,,0.0002112940128426,0.612338545207342,False
k141_49645,DeepVirFinder_only,,,0.0639147832989692,0.2182000151068812,False
k141_22098,DeepVirFinder_only,,,0.0432909354567527,0.2442782687514162,False
k141_97354,DeepVirFinder_only,,,5.708363460144028e-05,0.6917063222297757,False
k141_134723,DeepVirFinder_only,,,0.0076139159500598,0.3632449580784047,False
k141_119622,DeepVirFinder_only,,,0.3096351325511932,0.1168517259611753,False
k141_34708,DeepVirFinder_only,,,3.901554190832712e-09,0.97452602160284,False
k141_112986,DeepVirFinder_only,,,5.610018342849799e-05,0.692556084296397,False
k141_162657,DeepVirFinder_only,,,0.0061503923498094,0.3778230984213309,False
k141_67239,DeepVirFinder_only,,,0.0237368792295455,0.2833484402145177,False
k141_38269,DeepVirFinder_only,,,0.9759656190872192,0.0098005891683661,False
k141_6400,DeepVirFinder_only,,,2.9148400244594086e-06,0.8338054233703452,False
k141_136735,DeepVirFinder_only,,,0.0005577624542638,0.5491917818566358,False
k141_62303,DeepVirFinder_only,,,0.1549892574548721,0.1629088299720522,False
k141_67737,DeepVirFinder_only,,,0.0016050012782216,0.475677921293149,False
k141_146954,DeepVirFinder_only,,,0.0745742470026016,0.2083238915325931,False
k141_175368,DeepVirFinder_only,,,0.3079934418201446,0.1172293979907848,False
k141_151599,DeepVirFinder_only,,,0.0002236216969322,0.6086562429186494,False
k141_147393,DeepVirFinder_only,,,0.0001044979144353,0.6561107334390816,False
k141_80644,DeepVirFinder_only,,,4.2986463085981086e-05,0.7076629654807765,False
k141_133709,DeepVirFinder_only,,,3.727932380570565e-06,0.8242125538182642,False
k141_50479,DeepVirFinder_only,,,0.0033479211851954,0.4221240274945237,False
k141_30486,DeepVirFinder_only,,,0.8621529340744019,0.0206775436211194,False
k141_180328,DeepVirFinder_only,,,0.0415932312607765,0.2467520205453584,False
k141_61321,DeepVirFinder_only,,,0.0011405622353777,0.4993013067452224,False
k141_89259,DeepVirFinder_only,,,1.2942679461502848e-07,0.9248243825062316,False
k141_1383,DeepVirFinder_only,,,0.0082142855972051,0.3579197824609109,False
k141_821,DeepVirFinder_only,,,0.0522143766283988,0.2314563033461741,False
k141_63123,DeepVirFinder_only,,,0.1832275837659835,0.152749452375557,False
k141_154770,DeepVirFinder_only,,,8.463857739116065e-06,0.788975753455699,False
k141_934,DeepVirFinder_only,,,0.0037148403935134,0.4147594229171387,False
k141_114624,DeepVirFinder_only,,,0.3742065131664276,0.102670141249339,False
k141_146066,DeepVirFinder_only,,,0.043208509683609,0.2443915703602991,False
k141_42596,DeepVirFinder_only,,,0.0143831921741366,0.3174899916912153,False
k141_176036,DeepVirFinder_only,,,0.0112344529479742,0.3350517410680565,False
k141_19825,DeepVirFinder_only,,,0.4836468994617462,0.0724186116776191,False
k141_127484,DeepVirFinder_only,,,0.0045843762345612,0.3992371025001888,False
k141_24753,DeepVirFinder_only,,,0.0007374326814897,0.5297227887302667,False
k141_11942,DeepVirFinder_only,,,0.0004349761293269,0.565563864340207,False
k141_162559,DeepVirFinder_only,,,0.0391903184354305,0.2505476244429337,False
k141_50,DeepVirFinder_only,,,1.0637357263476588e-05,0.7785897726414381,False
k141_41232,DeepVirFinder_only,,,2.218886947957799e-06,0.8441725205831256,False
k141_77070,DeepVirFinder_only,,,0.00110226101242,0.5016617569302817,False
k141_44480,DeepVirFinder_only,,,0.7851027846336365,0.0265692272830274,False
k141_109037,DeepVirFinder_only,,,0.0017094642389565,0.4708248357126671,False
k141_123324,DeepVirFinder_only,,,0.0213823206722736,0.2901465367474884,False
k141_75979,DeepVirFinder_only,,,0.0433576442301273,0.2440894327366115,False
k141_17897,DeepVirFinder_only,,,1.5745448763482273e-05,0.7604048644157414,False
k141_79147,DeepVirFinder_only,,,0.032542236149311,0.2627086637963592,False
k141_49471,DeepVirFinder_only,,,0.1684975326061248,0.1577347231664023,False
k141_177199,DeepVirFinder_only,,,0.000220396745135,0.6094115869778685,False
k141_150885,DeepVirFinder_only,,,0.0003240438818465,0.5859392703376388,False
