seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
k141_170120||full	0.653	0.940	0.940	ssDNA	1331	0	33.300	0.000
k141_107755||full	0.967	0.820	0.967	dsDNAphage	1418	0	100.000	0.000
k141_158789||full	0.633	0.680	0.680	ssDNA	3661	0	75.000	0.000
k141_141800||full	0.893	0.967	0.967	ssDNA	1008	0	66.700	0.000
k141_170149||full	0.900	0.980	0.980	ssDNA	1506	0	75.000	0.000
k141_119116||full	0.973	1.000	1.000	ssDNA	930	0	100.000	0.000
k141_28390||full	1.000	0.820	1.000	dsDNAphage	2983	3	100.000	0.000
k141_73748||full	0.747	0.133	0.747	dsDNAphage	2909	0	40.000	0.000
k141_62425||full	0.540	0.907	0.907	ssDNA	2560	0	66.700	0.000
k141_96464||full	0.727	0.740	0.740	ssDNA	1343	0	25.000	0.000
k141_64||full	0.713	0.507	0.713	dsDNAphage	1172	0	50.000	0.000
k141_130482||full	0.520	0.947	0.947	ssDNA	880	0	33.300	0.000
k141_113483||full	0.740	0.160	0.740	dsDNAphage	1285	0	66.700	33.300
k141_79443||full	0.880	0.127	0.880	dsDNAphage	2028	2	50.000	0.000
k141_17101||full	0.453	0.873	0.873	ssDNA	1724	0	33.300	0.000
k141_22753||full	0.860	0.993	0.993	ssDNA	1366	0	50.000	0.000
k141_11423||full	0.293	0.533	0.533	ssDNA	2958	0	33.300	0.000
k141_11424||full	0.473	0.767	0.767	ssDNA	1371	0	25.000	0.000
k141_85146||full	0.540	0.780	0.780	ssDNA	1193	0	50.000	0.000
k141_73810||full	0.587	0.373	0.587	dsDNAphage	1313	0	33.300	0.000
k141_51132||full	0.580	0.100	0.580	dsDNAphage	2198	0	25.000	0.000
k141_17122||full	0.473	0.747	0.747	ssDNA	979	0	50.000	0.000
k141_153220||full	0.313	0.847	0.847	ssDNA	1208	0	33.300	0.000
k141_124871||full	0.753	0.987	0.987	ssDNA	1066	0	33.300	0.000
k141_51148||full	0.693	0.173	0.693	dsDNAphage	1637	0	40.000	20.000
k141_119187||full	0.980	0.887	0.980	dsDNAphage	2403	1	25.000	0.000
k141_164571||full	0.933	0.987	0.987	ssDNA	1199	0	33.300	0.000
k141_141904||full	0.753	0.173	0.753	dsDNAphage	1039	0	66.700	33.300
k141_56837||full	0.267	0.560	0.560	ssDNA	3096	0	33.300	0.000
k141_113549||full	0.307	0.660	0.660	ssDNA	2888	0	50.000	0.000
k141_164594||full	0.947	0.960	0.960	ssDNA	2516	0	80.000	0.000
k141_51202||full	0.560	0.040	0.560	dsDNAphage	2882	0	50.000	25.000
k141_119243||full	0.567	0.100	0.567	dsDNAphage	1931	0	25.000	0.000
k141_136254||full	0.647	0.407	0.647	dsDNAphage	2573	0	66.700	0.000
k141_164620||full	0.500	1.000	1.000	ssDNA	1118	0	50.000	0.000
k141_62555||full	0.940	0.120	0.940	dsDNAphage	1720	1	33.300	0.000
k141_17198||full	0.780	0.973	0.973	ssDNA	1894	0	33.300	0.000
k141_119254||full	0.813	0.667	0.813	dsDNAphage	1043	0	66.700	0.000
k141_96584||full	0.640	0.247	0.640	dsDNAphage	1965	0	33.300	0.000
k141_102255||full	0.960	1.000	1.000	ssDNA	1089	0	100.000	0.000
k141_5835||full	0.673	0.300	0.673	dsDNAphage	1611	0	33.300	0.000
k141_175980||full	0.607	0.853	0.853	ssDNA	1492	0	50.000	0.000
k141_17213||full	0.720	0.253	0.720	dsDNAphage	1126	0	33.300	0.000
k141_153326||full	0.673	0.980	0.980	ssDNA	873	0	50.000	0.000
k141_17220||full	0.733	0.993	0.993	ssDNA	912	0	100.000	0.000
k141_136309||full	0.993	0.267	0.993	dsDNAphage	1612	1	100.000	0.000
k141_22795||full	0.753	0.960	0.960	ssDNA	1106	0	50.000	0.000
k141_5873||full	0.500	0.780	0.780	ssDNA	1130	0	25.000	0.000
k141_34256||full	0.893	0.987	0.987	ssDNA	1552	0	66.700	0.000
k141_79608||full	0.787	0.807	0.807	ssDNA	1078	0	66.700	0.000
k141_56974||full	0.887	0.987	0.987	ssDNA	1229	0	33.300	0.000
k141_68302||full	0.887	0.993	0.993	ssDNA	1275	0	100.000	0.000
k141_22836||full	0.713	0.087	0.713	dsDNAphage	1413	0	25.000	0.000
k141_147688||full	0.973	0.973	0.973	dsDNAphage	1529	0	66.700	0.000
k141_34278||full	1.000	0.020	1.000	dsDNAphage	2221	2	50.000	25.000
k141_153385||full	0.907	0.987	0.987	ssDNA	1242	0	66.700	0.000
k141_11614||full	0.533	0.053	0.533	dsDNAphage	1473	0	33.300	0.000
k141_39967||full	0.613	0.293	0.613	dsDNAphage	1006	0	33.300	0.000
k141_153410||full	0.887	0.167	0.887	dsDNAphage	1153	0	33.300	0.000
k141_22889||full	0.707	0.353	0.707	dsDNAphage	1140	0	50.000	0.000
k141_68342||full	0.673	0.653	0.673	dsDNAphage	1542	0	33.300	0.000
k141_309||full	0.733	0.653	0.733	dsDNAphage	1747	0	20.000	0.000
k141_108037||full	0.673	0.987	0.987	ssDNA	1155	0	33.300	0.000
k141_51354||full	0.820	0.867	0.867	ssDNA	4336	0	33.300	0.000
k141_85374||full	0.447	0.920	0.920	ssDNA	1296	0	50.000	0.000
k141_57039||full	0.973	0.247	0.973	dsDNAphage	1714	0	40.000	0.000
k141_5946||full	0.760	0.467	0.760	dsDNAphage	1045	0	25.000	0.000
k141_51380||full	0.560	0.167	0.560	dsDNAphage	1273	0	50.000	0.000
k141_85388||full	0.900	0.773	0.900	dsDNAphage	1351	0	66.700	0.000
