================================================================================
Viral Abundance Report (MEGAHIT) - llnl_66ce4dde
================================================================================

Total mapped reads: 4,535,221
Viral contigs detected: 12878

Contig ID                      Length (bp)     Reads      RPM          RPKM         Identity (%)
--------------------------------------------------------------------------------
k141_149959                    1319            1446       318.84       241.73       61.70       
k141_192                       1416            1472       324.57       229.22       40.00       
k141_3944                      4268            2739       603.94       141.50       78.10       
k141_32718                     3754            2179       480.46       127.99       31.00       
k141_170898                    1431            707        155.89       108.94       46.20       
k141_99507                     1186            570        125.68       105.97       96.90       
k141_8538                      1288            542        119.51       92.79        92.30       
k141_56181                     1892            766        168.90       89.27        26.80       
k141_162413                    1075            388        85.55        79.58        59.30       
k141_52677                     1013            344        75.85        74.88        25.00       
k141_148544                    2820            886        195.36       69.28        78.60       
k141_38224                     1904            583        128.55       67.52        28.60       
k141_43622                     1255            376        82.91        66.06        65.00       
k141_150116                    1644            470        103.63       63.04        78.60       
k141_8649                      1696            440        97.02        57.20        61.00       
k141_42415                     1831            461        101.65       55.52        39.90       
k141_92596                     1251            285        62.84        50.23        35.10       
k141_41818                     9826            2071       456.65       46.47        30.60       
k141_158666                    1549            323        71.22        45.98        36.00       
k141_37593                     1661            330        72.76        43.81        47.00       
k141_115711                    1620            312        68.79        42.47        25.90       
k141_146300                    1469            280        61.74        42.03        28.50       
k141_156389                    4929            925        203.96       41.38        26.10       
k141_138302                    1848            335        73.87        39.97        39.60       
k141_14828                     34166           6142       1354.29      39.64        33.70       
k141_86566                     1908            342        75.41        39.52        32.20       
k141_88222                     1292            230        50.71        39.25        32.80       
k141_121345                    1539            273        60.20        39.11        38.20       
k141_91879                     1231            218        48.07        39.05        32.20       
k141_29531                     1073            188        41.45        38.63        35.00       
k141_23319                     1490            261        57.55        38.62        30.30       
k141_37051                     4707            819        180.59       38.37        29.50       
k141_103855                    2495            432        95.25        38.18        32.60       
k141_131543                    5816            993        218.95       37.65        25.00       
k141_132764                    2243            379        83.57        37.26        25.70       
k141_121942                    1024            171        37.70        36.82        29.90       
k141_33548                     1014            165        36.38        35.88        52.50       
k141_1221                      6614            1064       234.61       35.47        52.50       
k141_38943                     1244            196        43.22        34.74        33.10       
k141_68858                     1066            167        36.82        34.54        45.30       
k141_73442                     45816           7130       1572.14      34.31        29.00       
k141_53318                     2315            358        78.94        34.10        28.80       
k141_66493                     9402            1444       318.40       33.86        27.20       
k141_9525                      21278           3257       718.16       33.75        36.40       
k141_127339                    1055            161        35.50        33.65        53.00       
k141_92509                     1855            283        62.40        33.64        27.80       
k141_40397                     3791            563        124.14       32.75        27.80       
k141_108502                    14525           2113       465.91       32.08        48.80       
k141_166955                    3096            449        99.00        31.98        81.40       
k141_165092                    3450            500        110.25       31.96        48.30       
k141_153046                    2542            367        80.92        31.83        51.60       
k141_139970                    4235            610        134.50       31.76        29.80       
k141_61050                     1662            236        52.04        31.31        33.30       
k141_128928                    1341            190        41.89        31.24        34.90       
k141_180461                    1012            143        31.53        31.16        56.20       
k141_33878                     2770            387        85.33        30.81        31.80       
k141_3814                      54875           7654       1687.68      30.75        26.40       
k141_71980                     1585            221        48.73        30.74        41.10       
