qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	staxids	organism_name	superkingdom	kingdom	phylum	class	order	family	genus	species
contig_1000_4	YP_009001498.1	33.0	197	116	4	114	308	482	664	3.5700000000000003e-22	102.0	62099.0	Alphaentomopoxvirus acuprea	N/A	Bamfordvirae	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Alphaentomopoxvirus	Alphaentomopoxvirus acuprea
contig_1001_8	QKU34200.1	33.7	199	107	7	3	195	318	497	7.04e-11	64.7		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
contig_1002_1	XCA47502.1	42.6	197	102	4	6	201	5	191	1.52e-41	149.0	3057169.0	Micromonas commoda virus	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	N/A	Micromonas commoda virus
contig_1002_7	QBK89424.1	29.9	144	91	4	4	139	14	155	3.74e-12	65.5	2506609.0	Mimivirus LCMiAC02	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	N/A	Mimivirus LCMiAC02
contig_1002_14	AYV79923.1	28.2	117	79	3	46	159	94	208	2.54e-12	65.9	2487767.0	Gaeavirus sp.	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	N/A	Gaeavirus sp.
contig_1004_5	QBK87125.1	25.4	244	160	7	9	245	7	235	8.74e-13	70.5	2506605.0	Marseillevirus LCMAC201	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	N/A	Marseillevirus LCMAC201
contig_1006_6	QFG74153.1	28.5	235	162	3	127	357	23	255	2.51e-17	88.2	1737588.0	Megaviridae environmental sample	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	N/A	Megaviridae environmental sample
contig_1006_12	AHJ40166.2	27.4	350	218	7	14	340	65	401	6.96e-36	137.0	1461100.0	Samba virus	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Mimivirus	Mimivirus bradfordmassiliense
contig_1006_13	WZO82738.1	41.2	294	167	1	30	317	55	348	7.390000000000001e-73	233.0	2809302.0	Chlorovirus sp.	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Chlorovirus	Chlorovirus sp.
contig_1007_1	QKU33701.1	26.4	1668	1072	44	630	2251	4	1561	4.84e-133	464.0		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
contig_1007_2	QKU34944.1	32.9	167	93	4	1	159	22	177	3.41e-20	90.1		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
contig_1008_3	WGU26825.1	36.4	272	154	9	2	258	272	539	1.23e-35	137.0	4568.0	Triticum monococcum	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Poales	Poaceae	Triticum	Triticum monococcum
contig_1009_2	QBK87874.1	33.7	101	66	1	1	101	164	263	1.28e-14	73.2	2506606.0	Marseillevirus LCMAC202	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	N/A	Marseillevirus LCMAC202
contig_1009_3	QBK87607.1	50.8	63	31	0	55	117	2	64	1.54e-12	66.2	2506605.0	Marseillevirus LCMAC201	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	N/A	Marseillevirus LCMAC201
contig_1009_4	QBK86221.1	28.5	333	214	8	262	577	122	447	7.050000000000001e-26	116.0	2506603.0	Marseillevirus LCMAC102	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	N/A	Marseillevirus LCMAC102
contig_1010_1	QFG73938.1	33.3	138	64	3	60	197	559	668	2.11e-10	64.3	1737588.0	Megaviridae environmental sample	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	N/A	Megaviridae environmental sample
contig_1010_6	SPN79293.1	26.5	366	218	14	380	731	262	590	4.59e-14	80.9	2126980.0	Brazilian cedratvirus IHUMI	N/A	N/A	N/A	N/A	N/A	N/A	Alphacedratvirus	Alphacedratvirus brasiliense
contig_1011_12	QDY52085.1	38.6	321	183	4	33	339	3	323	8.98e-62	203.0	2596887.0	Mimiviridae sp. ChoanoV1	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Schizomimiviridae	N/A	Mimiviridae sp. ChoanoV1
contig_1014_3	ACD54816.1	29.2	192	118	8	11	184	16	207	7.03e-10	61.2	104782.0	Adineta vaga	Eukaryota	Metazoa	Rotifera	Eurotatoria	Adinetida	Adinetidae	Adineta	Adineta vaga
contig_1015_1	QKF93884.1	33.7	383	228	9	9	378	92	461	5.2999999999999996e-52	183.0	3070911.0	Fadolivirus FV1/VV64	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Fadolivirus	Fadolivirus algeromassiliense
contig_1015_2	CAK7596793.1	36.9	282	173	3	8	285	4	284	2.71e-54	182.0	3072188.0	Catovirus sp. 'naegleriensis'	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Catovirus	Catovirus sp. 'naegleriensis'
contig_1016_3	QDY51984.1	35.2	88	57	0	16	103	1380	1467	7.28e-07	49.7	2596887.0	Mimiviridae sp. ChoanoV1	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Schizomimiviridae	N/A	Mimiviridae sp. ChoanoV1
contig_1016_6	UIB20784.1	43.3	60	32	1	35	94	914	971	6.35e-08	52.4	2905229.0	Cricket iridovirus	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Pimascovirales	Iridoviridae	N/A	Cricket iridovirus
contig_1016_7	UYE94304.1	31.4	226	132	5	7	209	286	511	3.02e-20	95.5	251749.0	Phaeocystis globosa virus	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Prymnesiovirus	Phaeocystis globosa virus
contig_1016_9	QDH91039.1	66.7	30	10	0	85	114	1	30	3.55e-07	51.2	2587224.0	Mitovirus sp.	N/A	Orthornavirae	Lenarviricota	Howeltoviricetes	Cryppavirales	Mitoviridae	Mitovirus	Mitovirus sp.
contig_1016_10	AYV79457.1	43.5	92	52	0	9	100	67	158	1.25e-17	80.1	2487766.0	Faunusvirus sp.	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	N/A	Faunusvirus sp.
contig_1018_3	QKU33818.1	24.0	521	307	19	31	509	48	521	1.44e-18	93.2		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
contig_1020_1	WZO85486.1	30.4	194	108	1	75	241	469	662	1.88e-22	100.0	2809302.0	Chlorovirus sp.	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Chlorovirus	Chlorovirus sp.
contig_1022_10	YP_001426582.1	24.7	667	376	16	230	840	163	759	3.5299999999999996e-46	181.0	411359.0	Acanthocystis turfacea chlorella virus 1	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Chlorovirus	Chlorovirus heliozoae
contig_1022_15	WRJ69891.1	21.0	377	220	13	9	376	3	310	1.52e-15	81.3	3045048.0	Oceanusvirus sp.	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Allomimiviridae	Oceanusvirus	Oceanusvirus sp.
contig_1023_4	CAD61259.1	55.7	88	37	1	11	96	111	198	2.6999999999999997e-24	99.0	7955.0	Danio rerio	Eukaryota	Metazoa	Chordata	Actinopteri	Cypriniformes	Danionidae	Danio	Danio rerio
contig_1023_5	CAD61259.1	30.2	537	329	14	13	518	200	721	1.9600000000000003e-58	209.0	7955.0	Danio rerio	Eukaryota	Metazoa	Chordata	Actinopteri	Cypriniformes	Danionidae	Danio	Danio rerio
contig_1023_6	QFG73887.1	38.1	294	164	7	37	320	24	309	9.97e-49	171.0	1737588.0	Megaviridae environmental sample	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	N/A	Megaviridae environmental sample
contig_1023_7	WBR14829.1	27.2	169	92	7	11	159	10	167	1.67e-06	51.2	3019033.0	Pandoravirus kuranda	N/A	N/A	N/A	N/A	N/A	N/A	Pandoravirus	Pandoravirus kuranda
contig_1024_2	ARF11840.1	40.4	193	109	2	3	193	171	359	7.9e-41	145.0	1977640.0	Klosneuvirus KNV1	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Klosneuvirus	Klosneuvirus KNV1
contig_1024_3	AVL94846.1	60.0	60	22	1	4	63	1	58	1.42e-17	78.6	2109587.0	Moumouvirus australiensis	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Moumouvirus	Moumouvirus australiense
contig_1024_7	BCS83197.1	33.7	101	64	2	1	100	202	300	1.02e-13	70.5	2811091.0	Cotonvirus japonicus	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Cotonvirus	Cotonvirus japonicum
contig_1026_10	AYV76625.1	27.1	362	219	11	12	357	11	343	2.06e-33	133.0	2487775.0	Terrestrivirus sp.	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	N/A	Terrestrivirus sp.
contig_1026_11	CCQ71393.1	34.1	428	174	10	3	326	18	441	4.56e-63	222.0	51543.0	Cotesia congregata	Eukaryota	Metazoa	Arthropoda	Insecta	Hymenoptera	Braconidae	Cotesia	Cotesia congregata
contig_1027_2	UYE94460.1	25.8	186	121	4	26	204	56	231	1.59e-08	58.9	251749.0	Phaeocystis globosa virus	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Prymnesiovirus	Phaeocystis globosa virus
contig_1027_10	AGE56437.1	31.8	264	139	7	4	236	8	261	1.5999999999999998e-30	117.0	1278261.0	Paramecium bursaria Chlorella virus NE-JV-1	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Chlorovirus	Paramecium bursaria Chlorella virus NE-JV-1
contig_1027_12	YP_009449055.1	22.4	322	194	12	2	301	4	291	5.76e-06	52.0	2023057.0	Orpheovirus IHUMI-LCC2	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Pimascovirales	Orpheoviridae	Alphaorpheovirus	Alphaorpheovirus massiliense
contig_1029_4	XAO13380.1	34.8	66	41	1	23	86	39	104	1.21e-06	47.0	3111543.0	Mantoniella tinhauana virus 1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Mantoniella tinhauana virus 1
contig_1029_7	AWA44806.1	21.8	289	192	8	4	277	360	629	1.2e-12	71.6	4547.0	Saccharum officinarum	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Poales	Poaceae	Saccharum	Saccharum officinarum
