name	len	score	pvalue
k141_85069 flag=1 multi=2.0000 len=1063	1063	0.019104406237602234	0.29777551174560013
k141_11342 flag=1 multi=2.0000 len=2135	2135	0.008028807118535042	0.35946823778230985
k141_51043 flag=1 multi=3.0000 len=1921	1921	0.0011526516173034906	0.49848931188156204
k141_11347 flag=1 multi=2.8046 len=1236	1236	0.18567311763763428	0.15189969030893571
k141_147439 flag=1 multi=3.0000 len=1891	1891	0.004281176719814539	0.40407130447919026
k141_175796 flag=1 multi=3.0000 len=1563	1563	0.005794457159936428	0.38207190875443764
k141_34026 flag=1 multi=3.0000 len=1075	1075	0.014718406833708286	0.31588488556537503
k141_39699 flag=1 multi=2.0000 len=1026	1026	0.06237233430147171	0.22014502605937003
k141_34027 flag=1 multi=3.0000 len=1054	1054	4.274404273019172e-05	0.7079839867059445
k141_79394 flag=1 multi=2.0000 len=1272	1272	0.04807036370038986	0.23717803459475792
k141_62383 flag=1 multi=2.0000 len=1056	1056	0.00040321642882190645	0.5707379711458569
k141_68055 flag=1 multi=2.0000 len=1217	1217	0.6252952814102173	0.039636679507515676
k141_102085 flag=1 multi=2.0000 len=1119	1119	0.19672539830207825	0.14774529798323136
k141_73724 flag=1 multi=2.9536 len=3245	3245	0.005279645323753357	0.38885112168592795
k141_119093 flag=1 multi=5.0000 len=2721	2721	0.0022207293659448624	0.45213007024699753
k141_170120 flag=1 multi=2.0000 len=1333	1333	0.2912048101425171	0.12168592794017676
k141_22685 flag=1 multi=2.0000 len=1175	1175	3.995384031441063e-05	0.7113263841679885
k141_147444 flag=1 multi=3.0000 len=1164	1164	0.0012087340001016855	0.4954301684417252
k141_73727 flag=1 multi=2.0000 len=1133	1133	8.3884401647083e-07	0.8764257119117758
k141_68058 flag=1 multi=2.0000 len=1112	1112	0.0002871686592698097	0.5933038749150238
k141_17013 flag=1 multi=4.0000 len=1212	1212	0.03558332473039627	0.2572324193670217
k141_102080 flag=1 multi=2.0000 len=1093	1093	1.666561217916751e-07	0.9191404184606088
k141_5675 flag=1 multi=2.0000 len=1048	1048	0.0005784258246421814	0.5463403580330841
k141_158785 flag=1 multi=2.0000 len=1297	1297	0.45103418827056885	0.08320114812297001
k141_107750 flag=1 multi=3.0000 len=2237	2237	0.0005341969081200659	0.5518732532668631
k141_96410 flag=1 multi=2.0000 len=1307	1307	0.0016393682453781366	0.47420500037767205
k141_124763 flag=1 multi=2.0000 len=1057	1057	0.0008915620273910463	0.516560918498376
k141_141777 flag=1 multi=3.0000 len=1015	1015	0.009394466876983643	0.3485535161265957
k141_147445 flag=1 multi=2.8242 len=1131	1131	0.0002288083196617663	0.6068434171765239
k141_113420 flag=1 multi=2.0000 len=1318	1318	0.18437767028808594	0.15227736233854522
k141_73728 flag=1 multi=2.0000 len=1415	1415	0.10639230161905289	0.18611677619155526
k141_39701 flag=1 multi=4.0000 len=3165	3165	0.1521732062101364	0.16375859203867363
k141_22686 flag=1 multi=1.9111 len=1254	1254	0.00016768963541835546	0.6264823627162173
k141_28363 flag=1 multi=3.0000 len=1293	1293	1.2431810318958014e-06	0.8646045773849989
k141_96409 flag=1 multi=2.8316 len=3104	3104	0.04497889056801796	0.24157791373970844
k141_79395 flag=1 multi=2.0000 len=1515	1515	2.3875298893472063e-07	0.9111715386358487
k141_136106 flag=1 multi=2.0000 len=2511	2511	0.14606797695159912	0.1664967142533424
k141_22687 flag=1 multi=2.9518 len=3256	3256	0.021232275292277336	0.290486441574137
k141_158787 flag=1 multi=2.0000 len=1234	1234	0.0013959420612081885	0.4854218596570738
k141_175797 flag=1 multi=2.0000 len=1139	1139	9.195673919748515e-05	0.6635886396253493
k141_113423 flag=1 multi=3.0000 len=2717	2717	0.0007513193413615227	0.5283254022207116
k141_170130 flag=1 multi=2.7058 len=1419	1419	0.36658915877342224	0.10444519978850367
k141_56711 flag=1 multi=3.0000 len=2352	2352	0.003143438370898366	0.4266560918498376
k141_62385 flag=1 multi=3.0000 len=3050	3050	0.014152806252241135	0.31856635697560237
k141_85072 flag=1 multi=2.0000 len=1048	1048	0.03398389369249344	0.26004607598761237
k141_34032 flag=1 multi=1.0000 len=1594	1594	3.097204171353951e-06	0.8313505551778835
k141_124765 flag=1 multi=3.0000 len=2726	2726	0.008246006444096565	0.35752322682982096
k141_153115 flag=1 multi=4.0000 len=2186	2186	0.011784395202994347	0.33135055517788353
k141_62381 flag=1 multi=2.0000 len=1474	1474	1.1406674502723035e-06	0.8671160963819019
k141_102086 flag=1 multi=2.0000 len=1427	1427	0.128839910030365	0.17427675806329784
k141_5680 flag=1 multi=3.0000 len=1293	1293	0.024378741160035133	0.2813090112546265
k141_164458 flag=1 multi=3.0000 len=1668	1668	0.0033907671459019184	0.4210854294130977
k141_28364 flag=1 multi=4.0000 len=2210	2210	0.00023517794033978134	0.6052571946521641
k141_90743 flag=1 multi=3.0000 len=1426	1426	0.09121333062648773	0.1952186721051439
k141_39703 flag=1 multi=3.0000 len=1311	1311	4.8041357558759046e-09	0.9725054762444293
k141_51049 flag=1 multi=4.0000 len=1057	1057	0.0025950041599571705	0.44083767656167383
k141_130439 flag=1 multi=3.0000 len=1220	1220	0.005891888868063688	0.3808633582596873
k141_17020 flag=1 multi=4.0000 len=2575	2575	0.000790998397860676	0.5248885867512652
k141_119096 flag=1 multi=2.0000 len=1051	1051	8.012611215235665e-05	0.6715575194501096
k141_17025 flag=1 multi=1.8952 len=1172	1172	0.0004745106562040746	0.559634413475338
k141_39704 flag=1 multi=2.0000 len=1506	1506	0.017435846850275993	0.30429035425636375
k141_68059 flag=1 multi=4.0000 len=2857	2857	0.2012578547000885	0.1463856786766372
k141_22692 flag=1 multi=2.0000 len=1054	1054	0.002141798846423626	0.4549248432661077
k141_107758 flag=1 multi=2.0000 len=1642	1642	0.01768062263727188	0.30311957096457437
k141_56721 flag=1 multi=2.0000 len=1071	1071	0.07202616333961487	0.21070322531913285
k141_136107 flag=1 multi=4.0000 len=3477	3477	0.1228862926363945	0.17729813430017372
k141_130444 flag=1 multi=3.0000 len=1203	1203	0.0003858654818031937	0.5738159981871742
k141_73730 flag=1 multi=2.0000 len=1112	1112	0.0001169780662166886	0.6491426844927864
k141_45377 flag=1 multi=1.0000 len=1593	1593	9.373707143822685e-06	0.7846514087166705
k141_158789 flag=1 multi=5.0000 len=3740	3740	0.019299648702144623	0.2973411889115492
k141_170134 flag=1 multi=4.0000 len=1047	1047	0.017374282702803612	0.30446030666968804
k141_28368 flag=1 multi=3.0000 len=1233	1233	0.2324821949005127	0.13686834353047814
k141_79402 flag=1 multi=2.0000 len=1041	1041	3.381606802577153e-06	0.8278004380995544
k141_107761 flag=1 multi=2.0000 len=1018	1018	0.03897605091333389	0.2507931112621799
k141_175798 flag=1 multi=3.0000 len=4058	4058	0.00013996733468957245	0.6380202432207871
k141_51052 flag=1 multi=2.8140 len=1141	1141	0.0008263483177870512	0.5219805121232721
k141_96422 flag=1 multi=1.0000 len=1017	1017	0.002426083665341139	0.4456529949391948
k141_85076 flag=1 multi=2.0000 len=1408	1408	0.15725727379322052	0.1618702318906262
k141_45376 flag=1 multi=3.0000 len=1506	1506	0.000146449965541251	0.6348100309691064
k141_79400 flag=1 multi=4.0000 len=3212	3212	0.0006991706322878599	0.5334239746204396
k141_68063 flag=1 multi=3.0000 len=1403	1403	3.226442640880123e-05	0.7234118891154921
k141_28369 flag=1 multi=2.0000 len=1044	1044	0.0016553127206861973	0.47331747110808975
k141_73731 flag=1 multi=2.0000 len=1566	1566	0.004219966474920511	0.40518543696653825
k141_102087 flag=1 multi=3.0000 len=2654	2654	0.44745808839797974	0.08420197900143515
k141_130446 flag=1 multi=3.0000 len=1119	1119	0.0002400875964667648	0.6040297605559333
k141_11360 flag=1 multi=2.0000 len=1011	1011	0.008180986158549786	0.358240803686079
k141_124769 flag=1 multi=1.9619 len=1242	1242	0.41789835691452026	0.09222750963063675
k141_62388 flag=1 multi=3.0000 len=1659	1659	0.019113678485155106	0.29777551174560013
k141_141787 flag=1 multi=2.0000 len=1044	1044	0.025836456567049026	0.2777777777777778
k141_45382 flag=1 multi=2.0000 len=1245	1245	3.1211436635203427e-07	0.9044300929073192
k141_107755 flag=1 multi=3.0000 len=1505	1505	0.005974056199193001	0.3797869929753003
k141_34036 flag=1 multi=3.0000 len=4695	4695	0.05632218345999718	0.2269620061938213
k141_62387 flag=1 multi=2.0000 len=2680	2680	0.0035510677844285965	0.41793186796585846
