seqname	trim_orf_index_start	trim_orf_index_end	trim_bp_start	trim_bp_end	trim_pr	trim_pr_max	prox_orf_index_start	prox_orf_index_end	prox_bp_start	prox_bp_end	prox_pr	prox_pr_max	partial	full_orf_index_start	full_orf_index_end	full_bp_start	full_bp_end	pr_full	arc	bac	euk	vir	mix	unaligned	hallmark_cnt	group	shape	seqname_new	final_max_score	final_max_score_group
k141_9993	1	7	2	3473	1.0	1.0	1	7	2	3473	NA	NA	0	1	7	2	3473	1.0	0.0	14.3	0.0	71.4	0.0	14.3	5	dsDNAphage	linear	k141_9993||full	1.0	dsDNAphage
k141_99894	1	2	46	1341	0.987	0.987	1	2	46	1341	NA	NA	0	1	2	46	1341	0.987	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	k141_99894||full	0.987	ssDNA
k141_99838	1	4	2	2543	0.967	0.967	1	4	2	2543	NA	NA	0	1	4	2	2543	0.967	0.0	0.0	0.0	50.0	25.0	25.0	2	dsDNAphage	linear	k141_99838||full	0.967	dsDNAphage
k141_9982	1	2	22	1158	0.987	0.987	1	2	22	1158	NA	NA	0	1	2	22	1158	0.987	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	k141_9982||full	0.987	ssDNA
k141_99757	1	2	3	1051	0.993	0.993	1	2	3	1051	NA	NA	0	1	2	3	1051	0.993	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	k141_99757||full	0.993	ssDNA
k141_99678	1	8	1	4985	0.767	0.767	1	8	1	4985	NA	NA	0	1	8	1	4985	0.767	0.0	0.0	0.0	25.0	0.0	75.0	0	ssDNA	linear	k141_99678||full	0.767	ssDNA
k141_99672	1	3	3	854	0.793	0.793	1	3	3	854	NA	NA	0	1	3	3	854	0.793	0.0	0.0	0.0	33.3	0.0	66.7	0	dsDNAphage	linear	k141_99672||full	0.793	dsDNAphage
k141_9961	1	3	3	1311	0.773	0.773	1	3	3	1311	NA	NA	0	1	3	3	1311	0.773	0.0	0.0	0.0	66.7	0.0	33.3	0	dsDNAphage	linear	k141_9961||full	0.773	dsDNAphage
k141_99289	1	3	2	1216	0.64	0.64	1	3	2	1216	NA	NA	0	1	3	2	1216	0.64	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	k141_99289||full	0.64	ssDNA
k141_9918	1	3	2	1171	0.893	0.893	1	3	2	1171	NA	NA	0	1	3	2	1171	0.893	0.0	0.0	0.0	33.3	0.0	66.7	1	dsDNAphage	linear	k141_9918||full	0.893	dsDNAphage
k141_99043	1	4	267	2151	0.627	0.627	1	4	267	2151	NA	NA	0	1	4	267	2151	0.627	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	k141_99043||full	0.627	ssDNA
k141_98823	1	3	1	1506	0.607	0.607	1	3	1	1506	NA	NA	0	1	3	1	1506	0.607	0.0	0.0	0.0	33.3	33.3	33.3	0	dsDNAphage	linear	k141_98823||full	0.607	dsDNAphage
k141_98692	1	3	46	2955	0.54	0.54	1	3	46	2955	NA	NA	0	1	3	46	2955	0.54	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	k141_98692||full	0.54	ssDNA
k141_98658	1	3	2	3075	0.74	0.74	1	3	2	3075	NA	NA	0	1	3	2	3075	0.74	0.0	0.0	0.0	33.3	0.0	66.7	0	dsDNAphage	linear	k141_98658||full	0.74	dsDNAphage
k141_98572	1	3	1	1653	1.0	1.0	1	3	1	1653	NA	NA	0	1	3	1	1653	1.0	0.0	0.0	0.0	66.7	0.0	33.3	0	ssDNA	linear	k141_98572||full	1.0	ssDNA
k141_98491	1	3	1	1100	0.553	0.553	1	3	1	1100	NA	NA	0	1	3	1	1100	0.553	0.0	0.0	0.0	33.3	0.0	66.7	0	dsDNAphage	linear	k141_98491||full	0.553	dsDNAphage
k141_98450	1	3	3	1895	0.52	0.52	1	3	3	1895	NA	NA	0	1	3	3	1895	0.52	0.0	0.0	0.0	66.7	33.3	0.0	0	dsDNAphage	linear	k141_98450||full	0.52	dsDNAphage
k141_98299	1	7	3	3501	0.553	0.553	1	7	3	3501	NA	NA	0	1	7	3	3501	0.553	0.0	14.3	0.0	42.9	14.3	28.6	0	dsDNAphage	linear	k141_98299||full	0.553	dsDNAphage
