qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	staxids	organism_name	superkingdom	kingdom	phylum	class	order	family	genus	species
contig_1007_1	QKU33701.1	26.4	1668	1072	44	630	2251	4	1561	4.84e-133	464.0		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
contig_1007_2	QKU34944.1	32.9	167	93	4	1	159	22	177	3.41e-20	90.1		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
contig_1016_3	QDY51984.1	35.2	88	57	0	16	103	1380	1467	7.28e-07	49.7	2596887.0	Mimiviridae sp. ChoanoV1	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Schizomimiviridae	N/A	Mimiviridae sp. ChoanoV1
contig_1016_6	UIB20784.1	43.3	60	32	1	35	94	914	971	6.35e-08	52.4	2905229.0	Cricket iridovirus	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Pimascovirales	Iridoviridae	N/A	Cricket iridovirus
contig_1016_7	UYE94304.1	31.4	226	132	5	7	209	286	511	3.02e-20	95.5	251749.0	Phaeocystis globosa virus	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Prymnesiovirus	Phaeocystis globosa virus
contig_1016_9	QDH91039.1	66.7	30	10	0	85	114	1	30	3.55e-07	51.2	2587224.0	Mitovirus sp.	N/A	Orthornavirae	Lenarviricota	Howeltoviricetes	Cryppavirales	Mitoviridae	Mitovirus	Mitovirus sp.
contig_1016_10	AYV79457.1	43.5	92	52	0	9	100	67	158	1.25e-17	80.1	2487766.0	Faunusvirus sp.	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	N/A	Faunusvirus sp.
contig_1027_2	UYE94460.1	25.8	186	121	4	26	204	56	231	1.59e-08	58.9	251749.0	Phaeocystis globosa virus	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Prymnesiovirus	Phaeocystis globosa virus
contig_1027_10	AGE56437.1	31.8	264	139	7	4	236	8	261	1.5999999999999998e-30	117.0	1278261.0	Paramecium bursaria Chlorella virus NE-JV-1	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Chlorovirus	Paramecium bursaria Chlorella virus NE-JV-1
contig_1027_12	YP_009449055.1	22.4	322	194	12	2	301	4	291	5.76e-06	52.0	2023057.0	Orpheovirus IHUMI-LCC2	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Pimascovirales	Orpheoviridae	Alphaorpheovirus	Alphaorpheovirus massiliense
contig_1042_1	QBK90293.1	28.2	397	248	11	205	569	192	583	3.01e-33	138.0	2506587.0	Pithovirus LCPAC102	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Pithovirus LCPAC102
contig_1042_2	ATZ80560.1	23.8	172	130	1	362	533	89	259	1.05e-09	64.3	2024608.0	Bodo saltans virus	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Theiavirus	Theiavirus salishense
contig_1042_6	QBK90293.1	49.2	63	32	0	17	79	596	658	1.77e-14	70.1	2506587.0	Pithovirus LCPAC102	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Pithovirus LCPAC102
contig_1046_2	QDY52415.1	46.5	86	46	0	15	100	1056	1141	2.92e-16	79.3	2596887.0	Mimiviridae sp. ChoanoV1	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Schizomimiviridae	N/A	Mimiviridae sp. ChoanoV1
contig_1046_5	QFG74851.1	32.7	263	152	6	3	241	227	488	3.51e-30	123.0	1737588.0	Megaviridae environmental sample	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	N/A	Megaviridae environmental sample
contig_1046_7	YP_009173653.1	64.9	37	13	0	65	101	1043	1079	3.75e-06	48.9	455364.0	Chrysochromulina ericina virus	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	N/A	Chrysochromulina ericina virus
contig_1047_6	QIG60138.1	48.2	463	217	5	166	620	204	651	3.1499999999999996e-128	397.0	2704073.0	Dishui Lake large algae virus 1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Dishui Lake large algae virus 1
contig_1047_7	AYV80843.1	43.6	163	90	2	14	174	5	167	6.92e-36	126.0	2487768.0	Harvfovirus sp.	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	N/A	Harvfovirus sp.
contig_1047_8	YP_003969693.1	26.6	259	166	5	16	256	70	322	1.02e-13	76.3	693272.0	Cafeteria roenbergensis virus BV-PW1	N/A	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Rheavirus	Rheavirus sinusmexicani
