qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	staxids	organism_name	superkingdom	kingdom	phylum	class	order	family	genus	species	contig_id
contig_15_5	QFG74471.1	40.5	953	524	14	14	946	3	932	1.06e-227	672.0	1737588.0	Megaviridae environmental sample		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae		Megaviridae environmental sample	contig_15
contig_94_14	AUF82510.1	43.2	730	410	3	16	742	81	808	4.0700000000000004e-212	620.0	2060617.0	Tetraselmis virus 1		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Allomimiviridae	Oceanusvirus	Oceanusvirus kaneohense	contig_94
contig_1099_21	QKF94251.1	40.8	786	433	11	21	795	15	779	6.18e-202	598.0	3070911.0	Fadolivirus FV1/VV64		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Fadolivirus	Fadolivirus algeromassiliense	contig_1099
contig_420_3	QKF94091.1	48.7	532	269	3	35	562	4	535	2.69e-174	508.0	3070911.0	Fadolivirus FV1/VV64		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Fadolivirus	Fadolivirus algeromassiliense	contig_420
contig_71_4	WZO87299.1	48.4	535	271	5	34	567	4	534	2.0299999999999998e-172	503.0	2809302.0	Chlorovirus sp.		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Chlorovirus	Chlorovirus sp.	contig_71
contig_408_8	BBI30180.1	54.0	415	189	1	9	423	11	423	1.92e-155	449.0	3114988.0	Acanthamoeba castellanii medusavirus J1		Bamfordvirae	Nucleocytoviricota	Megaviricetes		Mamonoviridae	Medusavirus	Medusavirus medusae	contig_408
contig_1053_2	QFG74471.1	41.6	622	344	7	62	676	44	653	1.78e-153	472.0	1737588.0	Megaviridae environmental sample		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae		Megaviridae environmental sample	contig_1053
contig_344_6	QFG74176.1	60.4	346	136	1	1	346	1	345	6.65e-147	421.0	1737588.0	Megaviridae environmental sample		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae		Megaviridae environmental sample	contig_344
contig_142_8	QOI90522.1	40.6	636	297	13	184	806	9	576	4.86e-139	428.0	455367.0	Pyramimonas orientalis virus		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Allomimiviridae	Heliosvirus	Heliosvirus raunefjordenense	contig_142
contig_92_17	AUF82510.1	33.3	745	469	10	30	765	80	805	1.38e-137	429.0	2060617.0	Tetraselmis virus 1		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Allomimiviridae	Oceanusvirus	Oceanusvirus kaneohense	contig_92
contig_1131_6	QFG74489.1	53.9	369	163	6	1	365	3	368	1.26e-136	397.0	1737588.0	Megaviridae environmental sample		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae		Megaviridae environmental sample	contig_1131
contig_726_13	QOI90522.1	39.6	619	309	10	89	693	9	576	1.7400000000000002e-132	407.0	455367.0	Pyramimonas orientalis virus		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Allomimiviridae	Heliosvirus	Heliosvirus raunefjordenense	contig_726
contig_889_2	AYV82034.1	40.6	545	284	9	52	584	29	545	3.5200000000000004e-129	393.0	2487769.0	Homavirus sp.		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae		Homavirus sp.	contig_889
contig_270_1	BBI30180.1	57.1	315	135	0	3	317	5	319	1.86e-127	374.0	3114988.0	Acanthamoeba castellanii medusavirus J1		Bamfordvirae	Nucleocytoviricota	Megaviricetes		Mamonoviridae	Medusavirus	Medusavirus medusae	contig_270
contig_84_2	ARF09189.1	47.9	399	204	3	12	409	4	399	2.01e-127	376.0	1977631.0	Catovirus CTV1		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Catovirus	Catovirus CTV1	contig_84
contig_863_13	QBK89188.1	50.3	394	183	5	1	385	22	411	3.54e-125	372.0	2506609.0	Mimivirus LCMiAC02		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae		Mimivirus LCMiAC02	contig_863
contig_934_9	QBK88577.1	36.7	602	365	10	6	604	65	653	4.14e-125	386.0	2506608.0	Mimivirus LCMiAC01		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae		Mimivirus LCMiAC01	contig_934
contig_921_3	QBK89188.1	52.3	371	168	4	22	387	45	411	3.4800000000000006e-123	367.0	2506609.0	Mimivirus LCMiAC02		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae		Mimivirus LCMiAC02	contig_921
contig_164_3	ARF11840.1	48.3	362	181	4	1	360	1	358	3.15e-120	355.0	1977640.0	Klosneuvirus KNV1		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Klosneuvirus	Klosneuvirus KNV1	contig_164
contig_1143_38	QDY51833.1	55.2	310	136	2	9	315	3	312	2.05e-119	351.0	2596887.0	Mimiviridae sp. ChoanoV1		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Schizomimiviridae		Mimiviridae sp. ChoanoV1	contig_1143
contig_978_1	QFG74471.1	45.7	431	212	5	9	421	507	933	2.1000000000000002e-119	373.0	1737588.0	Megaviridae environmental sample		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae		Megaviridae environmental sample	contig_978
contig_106_18	QFG74471.1	43.5	469	238	7	5	455	473	932	1.38e-117	370.0	1737588.0	Megaviridae environmental sample		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae		Megaviridae environmental sample	contig_106
contig_451_4	ARF11252.1	39.2	531	281	14	27	545	3	503	2.88e-117	364.0	1977640.0	Klosneuvirus KNV1		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Klosneuvirus	Klosneuvirus KNV1	contig_451
contig_55_8	AYV83454.1	34.9	634	375	10	41	671	14	612	3.4399999999999996e-114	359.0	2487770.0	Hyperionvirus sp.		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae		Hyperionvirus sp.	contig_55
contig_347_4	QKF93763.1	36.9	480	290	6	5	479	21	492	1.72e-113	347.0	3070911.0	Fadolivirus FV1/VV64		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Fadolivirus	Fadolivirus algeromassiliense	contig_347
contig_87_3	QKF93918.1	44.4	435	230	5	3	432	47	474	5.04e-111	338.0	3070911.0	Fadolivirus FV1/VV64		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Fadolivirus	Fadolivirus algeromassiliense	contig_87
contig_1122_1	QOI90522.1	37.3	544	274	8	2	539	94	576	7.420000000000001e-110	344.0	455367.0	Pyramimonas orientalis virus		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Allomimiviridae	Heliosvirus	Heliosvirus raunefjordenense	contig_1122
contig_950_7	QBK86799.1	44.9	425	225	5	3	425	4	421	2.3e-108	341.0	2506604.0	Marseillevirus LCMAC103		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae		Marseillevirus LCMAC103	contig_950
contig_538_7	CAK7596788.1	52.3	354	150	7	5	351	10	351	7.52e-107	329.0	3072188.0	Catovirus sp. 'naegleriensis'		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Catovirus	Catovirus sp. 'naegleriensis'	contig_538
contig_305_1	QBK88182.1	31.4	854	510	20	86	934	70	852	1.12e-106	363.0	2506606.0	Marseillevirus LCMAC202		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae		Marseillevirus LCMAC202	contig_305
contig_1143_21	QBK87745.1	45.0	402	218	2	1	400	1	401	7.57e-105	319.0	2506606.0	Marseillevirus LCMAC202		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae		Marseillevirus LCMAC202	contig_1143
contig_30_3	QFG74489.1	44.4	363	195	7	2	357	6	368	1.0900000000000001e-103	313.0	1737588.0	Megaviridae environmental sample		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae		Megaviridae environmental sample	contig_30
contig_268_5	QIH04859.1	51.8	284	137	0	13	296	9	292	2.32e-103	307.0	2713452.0	Dasineura jujubifolia toursvirus 2a		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Pimascovirales	Ascoviridae	Toursvirus	Dasineura jujubifolia toursvirus 2a	contig_268
contig_828_4	ARF08656.1	36.7	488	291	6	29	502	12	495	2.56e-99	311.0	1977631.0	Catovirus CTV1		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Catovirus	Catovirus CTV1	contig_828
contig_576_7	QFG73957.1	42.3	459	242	12	10	456	7	454	1.49e-98	306.0	1737588.0	Megaviridae environmental sample		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae		Megaviridae environmental sample	contig_576
contig_134_10	WZO75052.1	49.7	294	134	2	444	724	5	297	2.14e-97	306.0	2809302.0	Chlorovirus sp.		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Chlorovirus	Chlorovirus sp.	contig_134
contig_931_7	QFG74538.1	45.3	331	178	2	9	339	5	332	1.24e-96	294.0	1737588.0	Megaviridae environmental sample		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae		Megaviridae environmental sample	contig_931
contig_542_9	QKF93461.1	40.0	478	254	11	8	464	6	471	9.79e-95	303.0	3070911.0	Fadolivirus FV1/VV64		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Fadolivirus	Fadolivirus algeromassiliense	contig_542
contig_178_2	QKF94222.1	39.3	453	231	14	26	448	5	443	2.24e-93	305.0	3070911.0	Fadolivirus FV1/VV64		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Fadolivirus	Fadolivirus algeromassiliense	contig_178
contig_602_5	QFG74489.1	41.3	363	206	7	13	368	6	368	3.52e-92	285.0	1737588.0	Megaviridae environmental sample		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae		Megaviridae environmental sample	contig_602
contig_519_2	ARF12388.1	45.0	342	174	6	8	346	9	339	1.53e-90	278.0	1977640.0	Klosneuvirus KNV1		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Klosneuvirus	Klosneuvirus KNV1	contig_519
contig_921_2	QDY52184.1	45.7	328	154	8	2	310	1	323	3.47e-89	272.0	2596887.0	Mimiviridae sp. ChoanoV1		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Schizomimiviridae		Mimiviridae sp. ChoanoV1	contig_921
contig_518_9	YP_009448418.1	32.1	532	318	10	71	563	78	605	5.469999999999999e-89	290.0	2023057.0	Orpheovirus IHUMI-LCC2		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Pimascovirales	Orpheoviridae	Alphaorpheovirus	Alphaorpheovirus massiliense	contig_518
contig_586_7	ARF12079.1	41.3	361	205	3	4	362	98	453	1.54e-87	283.0	1977640.0	Klosneuvirus KNV1		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Klosneuvirus	Klosneuvirus KNV1	contig_586
contig_981_5	QDY52168.1	34.1	578	350	10	19	579	20	583	2.46e-87	286.0	2596887.0	Mimiviridae sp. ChoanoV1		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Schizomimiviridae		Mimiviridae sp. ChoanoV1	contig_981
contig_236_16	QFG74471.1	38.2	434	243	8	47	459	459	888	2.82e-87	290.0	1737588.0	Megaviridae environmental sample		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae		Megaviridae environmental sample	contig_236
contig_576_8	ARF08211.1	34.3	528	268	7	7	532	3	453	3.11e-85	279.0	1977631.0	Catovirus CTV1		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Catovirus	Catovirus CTV1	contig_576
contig_691_8	YP_009448418.1	31.7	549	325	10	58	563	64	605	2.74e-84	277.0	2023057.0	Orpheovirus IHUMI-LCC2		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Pimascovirales	Orpheoviridae	Alphaorpheovirus	Alphaorpheovirus massiliense	contig_691
contig_1043_8	AYV84288.1	46.2	325	159	5	6	328	3	313	4.7e-84	260.0	2487770.0	Hyperionvirus sp.		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae		Hyperionvirus sp.	contig_1043
contig_274_7	QFG74502.1	49.0	261	121	6	4	253	3	262	7.33e-82	249.0	1737588.0	Megaviridae environmental sample		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae		Megaviridae environmental sample	contig_274
contig_702_11	AYV75213.1	45.5	336	158	4	26	338	36	369	2.4e-81	255.0	2487775.0	Terrestrivirus sp.		Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae		Terrestrivirus sp.	contig_702
