================================================================================
Viral Identification Comprehensive Analysis Report - MEGAHIT Assembly Results
VirSorter2 + DeepVirFinder
================================================================================

[Overall Statistics]
--------------------------------------------------------------------------------
VirSorter2 identified viral sequences:    1,600
DeepVirFinder identified viral sequences: 48,283
Consensus viral sequences (both tools):   1,600
VirSorter2 only:                          0
DeepVirFinder only:                       46,683

DeepVirFinder significant sequences (p<0.05): 2,241


[Consensus Viral Sequences (High Confidence)]
--------------------------------------------------------------------------------
Sequence Name                            VS2 Score    DVF Score    DVF P-value 
--------------------------------------------------------------------------------
k141_100217                              nan          0.002        4.73e-01    
k141_100275                              0.813        0.000        8.42e-01    
k141_100334                              0.560        0.611        4.11e-02    
k141_100368                              0.653        0.308        1.17e-01    
k141_100417                              0.980        0.328        1.13e-01    
k141_100664                              0.527        0.000        8.13e-01    
k141_100784                              0.907        0.187        1.51e-01    
k141_100818                              0.520        0.093        1.94e-01    
k141_101222                              0.820        0.001        4.92e-01    
k141_101589                              0.947        0.112        1.83e-01    
k141_101685                              0.920        0.609        4.13e-02    
k141_101701                              0.907        0.503        6.02e-02    
k141_101792                              0.833        0.040        2.49e-01    
k141_101924                              0.867        0.054        2.30e-01    
k141_102075                              0.860        0.000        9.83e-01    
k141_102255                              1.000        0.551        4.85e-02    
k141_102495                              0.713        0.000        8.12e-01    
k141_102560                              nan          0.009        3.54e-01    
k141_10274                               0.927        0.002        4.44e-01    
k141_102834                              0.867        0.003        4.24e-01    
k141_10290                               0.953        0.068        2.14e-01    
k141_102949                              0.620        0.050        2.35e-01    
k141_102988                              0.993        0.480        7.39e-02    
k141_10303                               0.967        0.000        6.61e-01    
k141_103044                              0.867        0.000        8.65e-01    
k141_103058                              0.740        0.156        1.62e-01    
k141_10308                               0.947        0.000        7.05e-01    
k141_103115                              1.000        0.007        3.65e-01    
k141_103411                              0.947        0.932        1.54e-02    
k141_103542                              0.993        0.554        4.78e-02    
k141_103979                              0.807        0.427        9.00e-02    
k141_104116                              0.887        0.774        2.75e-02    
k141_104362                              0.647        0.104        1.87e-01    
k141_104405                              nan          0.182        1.53e-01    
k141_104418                              0.827        0.003        4.19e-01    
k141_104535                              0.940        0.968        1.12e-02    
k141_104658                              0.767        0.016        3.10e-01    
k141_104663                              1.000        0.007        3.73e-01    
k141_104665                              0.833        0.090        1.96e-01    
k141_104694                              0.780        0.019        2.97e-01    
k141_104721                              0.787        0.026        2.76e-01    
