================================================================================
Viral Abundance Report (MetaFlye - Long Reads) - llnl_66d1047e
================================================================================

Total mapped reads: 148104
Viral contigs reported: 825

Contig ID                                 Length(bp)     Reads         RPM        RPKM
--------------------------------------------------------------------------------
contig_1145                                     7063      1701    11485.17     1626.10
contig_689                                      9921      2263    15279.80     1540.15
contig_1027                                    13142      2644    17852.32     1358.42
contig_1044                                    13263      1938    13085.40      986.61
contig_258                                      6022       749     5057.26      839.80
contig_1171                                     7286       887     5989.03      821.99
contig_1100                                    26049      2999    20249.28      777.35
contig_1211                                     6167       697     4706.15      763.12
contig_1147                                    12271      1231     8311.73      677.35
contig_1141                                    18134      1689    11404.15      628.88
contig_1148                                    21575      1907    12876.09      596.81
contig_1177                                    19428      1623    10958.52      564.06
contig_1187                                    71359      5211    35184.74      493.07
contig_1133                                    38154      2312    15610.65      409.15
contig_1166                                    26802      1592    10749.20      401.06
contig_1130                                     7541       434     2930.37      388.59
contig_1058                                    54109      3003    20276.29      374.73
contig_1089                                    11326       628     4240.26      374.38
contig_1126                                    18820       940     6346.89      337.24
contig_1079                                    12016       556     3754.12      312.43
contig_1163                                    21982       906     6117.32      278.29
contig_1091                                   162968      6695    45204.72      277.38
contig_1123                                    47303      1920    12963.86      274.06
contig_1184                                    91080      3577    24151.95      265.17
contig_1111                                    13014       510     3443.53      264.60
contig_1183                                    30458      1154     7791.82      255.82
contig_927                                     13447       504     3403.01      253.07
contig_1168                                     8637       320     2160.64      250.16
contig_1102                                    19278       707     4773.67      247.62
contig_1115                                    10494       382     2579.27      245.79
contig_1085                                    21683       735     4962.73      228.88
contig_1121                                    16429       544     3673.09      223.57
contig_1080                                    22243       723     4881.70      219.47
contig_1124                                    41804      1337     9027.44      215.95
contig_1212                                    27117       839     5664.94      208.91
contig_1104                                   122332      3656    24685.36      201.79
contig_1060                                    27417       794     5361.10      195.54
contig_1129                                    34511       993     6704.75      194.28
contig_1071                                    10358       294     1985.09      191.65
contig_1194                                    10521       297     2005.35      190.60
contig_1073                                    55790      1561    10539.89      188.92
contig_710                                      7613       205     1384.16      181.82
contig_1196                                    23642       603     4071.46      172.21
contig_1165                                    50236      1229     8298.22      165.18
contig_1098                                    20508       496     3349.00      163.30
contig_1084                                    39632       954     6441.42      162.53
contig_1151                                    53599      1215     8203.69      153.06
contig_1065                                    83876      1848    12477.72      148.76
contig_1152                                    31750       676     4564.36      143.76
contig_1138                                    37657       776     5239.56      139.14
contig_1094                                     6939       142      958.79      138.17
contig_1062                                    11919       239     1613.73      135.39
contig_1189                                   202410      3918    26454.38      130.70
contig_1134                                    31418       589     3976.94      126.58
contig_1087                                    28243       523     3531.30      125.03
contig_1208                                   261217      4819    32537.95      124.56
contig_731                                      3078        52      351.10      114.07
contig_1174                                    11550       180     1215.36      105.23
contig_1179                                     9691       150     1012.80      104.51
contig_334                                      4978        70      472.64       94.95
contig_1077                                    23712       328     2214.66       93.40
contig_1088                                    78866      1056     7130.12       90.41
contig_1063                                   157845      2079    14037.43       88.93
contig_796                                      8725       111      749.47       85.90
contig_1128                                    18798       235     1586.72       84.41
contig_681                                      3842        48      324.10       84.36
contig_1070                                    17371       217     1465.19       84.35
contig_629                                     15206       189     1276.13       83.92
contig_1169                                    10501       129      871.01       82.95
contig_1200                                    29327       356     2403.72       81.96
contig_1142                                    83833       998     6738.51       80.38
contig_1170                                    52020       619     4179.50       80.34
contig_1204                                    53682       638     4307.78       80.25
contig_131                                      5008        59      398.37       79.55
contig_1125                                    32620       384     2592.77       79.48
contig_1203                                    46238       539     3639.33       78.71
contig_1172                                    18155       210     1417.92       78.10
contig_1096                                    63744       724     4888.46       76.69
contig_1207                                    40334       426     2876.36       71.31
contig_332                                     10328       109      735.97       71.26
contig_595                                      7226        76      513.15       71.01
contig_136                                      5331        55      371.36       69.66
contig_1202                                   104248      1053     7109.87       68.20
contig_804                                      6159        61      411.87       66.87
contig_1097                                    47229       467     3153.19       66.76
contig_592                                      3867        37      249.82       64.60
contig_1032                                     7815        74      499.65       63.93
contig_855                                      7400        70      472.64       63.87
contig_1192                                    17488       158     1066.82       61.00
contig_1167                                    28523       252     1701.51       59.65
contig_1201                                    56459       497     3355.75       59.44
contig_1101                                    11094        96      648.19       58.43
contig_392                                      3547        30      202.56       57.11
contig_1153                                    13586       112      756.23       55.66
contig_1112                                    18447       147      992.55       53.81
contig_124                                      8331        65      438.88       52.68
contig_1068                                   141480      1097     7406.96       52.35
contig_1119                                    32559       250     1688.00       51.84
contig_484                                      6513        50      337.60       51.83
contig_508                                     32062       244     1647.49       51.38
contig_1117                                    59482       444     2997.89       50.40
contig_823                                      5831        43      290.34       49.79
contig_1075                                    13324        98      661.70       49.66
contig_267                                     46672       341     2302.44       49.33
contig_158                                    177424      1296     8750.61       49.32
contig_802                                      5817        42      283.58       48.75
contig_1109                                    68217       488     3294.98       48.30
contig_634                                     10199        72      486.14       47.67
contig_679                                     16193       114      769.73       47.53
contig_303                                      6976        49      330.85       47.43
contig_326                                     11678        82      553.66       47.41
contig_1090                                    12462        87      587.43       47.14
contig_395                                      5016        35      236.32       47.11
contig_764                                      5329        37      249.82       46.88
contig_85                                      65821       456     3078.92       46.78
contig_831                                     33522       228     1539.46       45.92
contig_715                                      5414        36      243.07       44.90
contig_763                                     17207       114      769.73       44.73
contig_1069                                   165536      1090     7359.69       44.46
contig_1191                                    43105       281     1897.32       44.02
contig_1173                                    34963       227     1532.71       43.84
contig_585                                     19937       129      871.01       43.69
contig_1137                                    12730        82      553.66       43.49
contig_1042                                     9965        64      432.13       43.36
contig_867                                      8440        54      364.61       43.20
contig_1206                                    39875       254     1715.01       43.01
contig_935                                     35955       228     1539.46       42.82
contig_430                                     55626       352     2376.71       42.73
contig_898                                     13439        85      573.92       42.71
contig_816                                     77352       486     3281.48       42.42
contig_1158                                    93617       588     3970.18       42.41
contig_311                                     90753       561     3787.88       41.74
contig_29                                       3610        22      148.54       41.15
contig_378                                     34794       212     1431.43       41.14
contig_383                                     86535       523     3531.30       40.81
contig_152                                     40168       241     1627.23       40.51
contig_1182                                   163312       979     6610.22       40.48
contig_539                                      5193        31      209.31       40.31
contig_1046                                     8563        51      344.35       40.21
contig_1149                                    17156       102      688.71       40.14
contig_302                                      8261        49      330.85       40.05
contig_656                                      6289        37      249.82       39.72
contig_1092                                     9521        56      378.11       39.71
contig_372                                     22459       131      884.51       39.38
contig_1056                                    39146       227     1532.71       39.15
contig_992                                     15367        89      600.93       39.11
contig_910                                     86310       499     3369.25       39.04
contig_1016                                     9216        53      357.86       38.83
contig_1083                                    83659       481     3247.72       38.82
contig_642                                      5591        32      216.06       38.65
contig_541                                      5815        33      222.82       38.32
contig_1156                                    74007       416     2808.84       37.95
contig_928                                      5526        31      209.31       37.88
contig_673                                      5373        30      202.56       37.70
contig_86                                       3416        19      128.29       37.56
contig_510                                      6615        36      243.07       36.75
contig_1007                                     9224        50      337.60       36.60
contig_199                                     13182        71      479.39       36.37
contig_678                                     67559       361     2437.48       36.08
contig_350                                      6551        35      236.32       36.07
contig_1082                                    26822       143      965.54       36.00
contig_1199                                    10880        58      391.62       35.99
contig_417                                     18964       101      681.95       35.96
contig_146                                     52470       279     1883.81       35.90
contig_1198                                    30652       161     1087.07       35.47
contig_394                                     15433        81      546.91       35.44
contig_907                                     21013       110      742.72       35.35
contig_918                                     10234        53      357.86       34.97
contig_116                                      6185        32      216.06       34.93
contig_547                                      8523        44      297.09       34.86
contig_940                                     15327        79      533.41       34.80
contig_188                                     34376       177     1195.11       34.77
contig_534                                     69219       355     2396.96       34.63
contig_598                                     44908       229     1546.21       34.43
contig_1154                                     8641        44      297.09       34.38
contig_1176                                    39508       201     1357.15       34.35
contig_1209                                     9133        46      310.59       34.01
contig_429                                     21468       105      708.96       33.02
contig_672                                      7771        38      256.58       33.02
contig_574                                     12677        62      418.62       33.02
contig_45                                      16679        81      546.91       32.79
contig_7                                       10777        52      351.10       32.58
contig_1047                                    17211        83      560.42       32.56
contig_828                                      4998        24      162.05       32.42
contig_445                                     69867       333     2248.42       32.18
contig_1113                                    14588        69      465.89       31.94
contig_480                                     10374        49      330.85       31.89
contig_1162                                    25404       120      810.24       31.89
contig_1213                                    45006       212     1431.43       31.81
contig_68                                      17071        80      540.16       31.64
contig_836                                      5775        27      182.30       31.57
contig_346                                      9268        43      290.34       31.33
contig_506                                      4755        22      148.54       31.24
contig_151                                     28029       129      871.01       31.08
contig_172                                     25592       117      789.99       30.87
contig_733                                     77975       356     2403.72       30.83
contig_130                                     16665        76      513.15       30.79
contig_316                                     15833        72      486.14       30.70
contig_424                                      7938        36      243.07       30.62
contig_1074                                    60272       270     1823.04       30.25
contig_571                                      4960        22      148.54       29.95
contig_830                                     21350        94      634.69       29.73
contig_772                                      7269        32      216.06       29.72
contig_528                                      5921        26      175.55       29.65
contig_425                                     12331        54      364.61       29.57
contig_478                                      7572        33      222.82       29.43
contig_26                                       8721        38      256.58       29.42
contig_77                                      14022        61      411.87       29.37
contig_277                                     14272        62      418.62       29.33
contig_961                                     66651       289     1951.33       29.28
contig_441                                      5552        24      162.05       29.19
contig_201                                     16263        70      472.64       29.06
contig_1072                                    20732        89      600.93       28.99
contig_434                                     13518        58      391.62       28.97
contig_1195                                    82400       353     2383.46       28.93
contig_719                                      5846        25      168.80       28.87
contig_218                                      7962        34      229.57       28.83
contig_348                                     30727       129      871.01       28.35
contig_283                                      5533        23      155.30       28.07
contig_527                                      4817        20      135.04       28.03
contig_1116                                    86500       358     2417.22       27.94
contig_943                                     37013       153     1033.06       27.91
contig_1107                                     8499        35      236.32       27.81
contig_911                                     29729       121      816.99       27.48
contig_1093                                    10076        41      276.83       27.47
contig_1009                                     4681        19      128.29       27.41
contig_604                                      6415        26      175.55       27.37
contig_561                                      4959        20      135.04       27.23
contig_576                                     10179        41      276.83       27.20
contig_498                                      5467        22      148.54       27.17
contig_947                                     16212        65      438.88       27.07
contig_540                                     10984        44      297.09       27.05
contig_76                                      16777        67      452.38       26.96
contig_471                                     14038        56      378.11       26.93
contig_128                                     17411        69      465.89       26.76
contig_80                                       8370        33      222.82       26.62
contig_1036                                    25765       101      681.95       26.47
contig_433                                     26292       103      695.46       26.45
contig_368                                      9207        36      243.07       26.40
contig_1122                                    16702        65      438.88       26.28
contig_42                                      27275       106      715.71       26.24
contig_493                                      9087        35      236.32       26.01
contig_117                                     16690        64      432.13       25.89
contig_1006                                    16991        65      438.88       25.83
contig_61                                      14433        55      371.36       25.73
contig_106                                     17431        66      445.63       25.57
contig_90                                       8486        32      216.06       25.46
contig_1055                                    33755       126      850.75       25.20
contig_1061                                    24671        92      621.19       25.18
contig_249                                     46559       173     1168.10       25.09
contig_631                                     16002        59      398.37       24.89
contig_121                                      4347        16      108.03       24.85
contig_75                                      33977       125      844.00       24.84
contig_841                                      5190        19      128.29       24.72
contig_899                                     16682        61      411.87       24.69
contig_358                                      5478        20      135.04       24.65
contig_730                                      5215        19      128.29       24.60
contig_143                                      5766        21      141.79       24.59
contig_536                                     29100       106      715.71       24.59
contig_905                                      3855        14       94.53       24.52
contig_343                                      4972        18      121.54       24.44
contig_1186                                    11365        41      276.83       24.36
contig_1110                                    31157       112      756.23       24.27
contig_376                                      5028        18      121.54       24.17
